1123634010019; ZYTIGA; ZYTIGA; NOT FOUND; 250 MG COM CT FR PLAS OPC X 120; NO_ACR
1002500500087; ZOFRAN; ZOFRAN; NOT FOUND; 4MG X 5 AMPOLAS X 2ML; NO_ACR
1002500500095; ZOFRAN; ZOFRAN; NOT FOUND; 8MG X 5 AMPOLAS X 4ML; NO_ACR
1010702680055; ZOFRAN; ZOFRAN; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP PLAS X 2 ML; NO_ACR
1010702680063; ZOFRAN; ZOFRAN; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP PLAS X 4 ML; NO_ACR
1010702680071; ZOFRAN; ZOFRAN; NOT FOUND; 4 MG COM REV CT BL AL PLAS OPC BCO X 10; NO_ACR
1010702680081; ZOFRAN; ZOFRAN; NOT FOUND; 8 MG COM REV CT BL AL PLAS OPC BCO X 10; NO_ACR
1002501000013; ZYRTEC D; ZYRTEC D; NOT FOUND; 5 MG + 120 MG COM REV LIB PROL CT BL AL PLAS INC X 10; NO_ACR
1039401030068; ZYLIUM; ZYLIUM; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML; NO_ACR
1039401030114; ZYLIUM; ZYLIUM; NOT FOUND; 25 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; NO_ACR
1039401030149; ZYLIUM; ZYLIUM; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1039401030157; ZYLIUM; ZYLIUM; NOT FOUND; 150 MG COMP REV CT 6 BL AL PLAST INC X 10; NO_ACR
1039401030173; ZYLIUM; ZYLIUM; NOT FOUND; 300 MG COMP REV CT 4 BL AL PLAST INC X 8; NO_ACR
1039401030165; ZYLIUM; ZYLIUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
1039401030181; ZYLIUM; ZYLIUM; NOT FOUND; 75MG CT 1 BL X 10 CPR; NO_ACR
1039401030211; ZYLIUM; ZYLIUM; NOT FOUND; 75MG CT 25 BL X 4 CPR; NO_ACR
1055000520015; ZADINE; ZADINE; NOT FOUND; 150 MG COM. CX C/20; NO_ACR
1055000520041; ZADINE; ZADINE; NOT FOUND; 300 MG COM. CX C/16; NO_ACR
1055000520120; ZADINE; ZADINE; NOT FOUND; 75 MG COM REV CT 50 BL AL PLAS INC X 4; NO_ACR
1055000520082; ZADINE; ZADINE; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
1781700480036; ZYLIUM; ZYLIUM; NOT FOUND; 300 MG COMP REV CT BL AL PLAST INC X 8; NO_ACR
1064601460040; ZAMADOL; ZAMADOL; NOT FOUND; 100 MG/2 ML SOL INJ CT 6 AMP VD AMB X 2 ML; NO_ACR
1064601460091; ZAMADOL; ZAMADOL; NOT FOUND; 100 MG/2 ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); NO_ACR
1064601460024; ZAMADOL; ZAMADOL; NOT FOUND; 100 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
1064601460016; ZAMADOL; ZAMADOL; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; NO_ACR
1010702320024; ZYRTEC; ZYRTEC; NOT FOUND; 1.0 MG/ML SOL OR CT FR VD AMB X 120 ML; NO_ACR
1055000730036; ZETALERG; ZETALERG; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 75 ML; NO_ACR
1010702320016; ZYRTEC; ZYRTEC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 12; NO_ACR
1002500460020; ZYRTEC; ZYRTEC; NOT FOUND; 10MG X 6CPDS; NO_ACR
1055000730011; ZETALERG; ZETALERG; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
1123500110027; ZITALGIN; ZITALGIN; NOT FOUND; 500 MG/ML SOL.OR. CT FR PLAS OPC GOT X 20 ML; NO_ACR
1121304510021; ZIPTUSS; ZIPTUSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOS; NO_ACR
1121304510038; ZIPTUSS; ZIPTUSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; NO_ACR
1121304510046; ZIPTUSS; ZIPTUSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP; NO_ACR
1121304510054; ZIPTUSS; ZIPTUSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 60 ML + COP; NO_ACR
1121304510062; ZIPTUSS; ZIPTUSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + COP ; NO_ACR
1017101900058; ZETIA; ZETIA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 60; NO_ACR
1661400050035; ZETIA; ZETIA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10 ; NO_ACR
1661400050027; ZETIA; ZETIA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
1661400050019; ZETIA; ZETIA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
1017101930038; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 10 MG COM CT BL AL PVC X 28 ; NO_ACR
1017101930100; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 14 ; NO_ACR
1017101930119; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 28 ; NO_ACR
1017101930143; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 14 ; NO_ACR
1017101930151; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 28; NO_ACR
1017101930021; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 10 MG COM CT BL AL PVC X 14 ; NO_ACR
1017101930186; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 80 MG COM CT BL AL PVC BRANCO ACLAR X 14 
 ; NO_ACR
1661400080074; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 10 MG COM CT BL AL AL X 28 ; NO_ACR
1661400080066; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 10 MG COM CT BL AL AL X 14 ; NO_ACR
1661400080104; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 14 ; NO_ACR
1661400080112; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 20 MG COM CT BL AL PVC BRANCO ACLAR X 28 ; NO_ACR
1661400080147; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 40 MG COM CT BL AL PVC BRANCO ACLAR X 14 ; NO_ACR
1661400080155; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 40 MG COM CT BL AL PVC OPC ACLAR X 28; NO_ACR
1661400080181; ZETSIM; ZETSIM; NOT FOUND; 10 MG + 80 MG COM CT BL AL PVC BRANCO ACLAR X 14 
 ; NO_ACR
1186100430030; ZELIX; ZELIX; NOT FOUND; 150 MG CAP GEL DURA CT ENV AL POLIET X 1; NO_ACR
1186100430049; ZELIX; ZELIX; NOT FOUND; 150 MG CAP GEL DURA CT ENV AL POLIET X 2; NO_ACR
1121303610020; ZINDACLIN; ZINDACLIN; NOT FOUND; 10 MG/G GEL DERMATOLOGICO CT BG PLAS LAMINADA X 30 G ; NO_ACR
1055000770021; ZETITEC; ZETITEC; NOT FOUND; 1 MG/ML SOL OR FR VD AMB X 30 ML + CGT; NO_ACR
1055000770038; ZETITEC; ZETITEC; NOT FOUND; 0.2 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
1055000770011; ZETITEC; ZETITEC; NOT FOUND; 1 MG COM CT BL AL PLAS X 20; NO_ACR
1017101950020; ZENHALE; ZENHALE; NOT FOUND; 100 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR; NO_ACR
1017101950039; ZENHALE; ZENHALE; NOT FOUND; 200 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR; NO_ACR
1017101950012; ZENHALE; ZENHALE; NOT FOUND; 50 MCG + 5 MCG/ATOM SUS AER CT TB AL X 13 G (120 ATOM) + BOCAL + DOSADOR; NO_ACR
1211002960013; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 10; NO_ACR
1211002960021; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 15; NO_ACR
1211002960031; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 20; NO_ACR
1211002960048; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 30; NO_ACR
1211002960056; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 10; NO_ACR
1211002960064; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 15; NO_ACR
1211002960072; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 20; NO_ACR
1211002960080; ZOLPIREST; ZOLPIREST; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 30; NO_ACR
1002501040023; ZEFFIX; ZEFFIX; NOT FOUND; 100MG X 14CPDS; NO_ACR
1002501040015; ZEFFIX; ZEFFIX; NOT FOUND; 100MG X 28CPDS; NO_ACR
1246100020026; ZIDOV+LAMIV; ZIDOV LAMIV; NOT FOUND; ZIDOVUDINA + LAMIVUDINA 300 + 150 MG COMPRIMIDO REVESTIDO CX COM 35 FRASCOS PLASTICO OPACO COM 60 COMPRIMIDOS; NO_ACR
1196100160022; ZYLET; ZYLET; NOT FOUND; 5 MG/ML + 3 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
1376400840019; ZYLPEN; ZYLPEN; NOT FOUND; 500 MG PO INJ CT 10 FA VD INC ; NO_ACR
1376400840027; ZYLPEN; ZYLPEN; NOT FOUND; 1 G PO INJ CT 10 FA VD INC ; NO_ACR
1376400840043; ZYLPEN; ZYLPEN; NOT FOUND; 1 G PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX SIST FECH X 100 ML ; NO_ACR
1376400840035; ZYLPEN; ZYLPEN; NOT FOUND; 1 G PO INJ CT FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML; NO_ACR
1376400840051; ZYLPEN; ZYLPEN; NOT FOUND; 500 MG PO INJ CT FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML; NO_ACR
1376400840061; ZYLPEN; ZYLPEN; NOT FOUND; 500 MG PO INJ CT 10 FA VD INC + BOLS PLAS FLEX SIST FECH X 100 ML; NO_ACR
1126000210116; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG PO LIOF CT FA VD INC X 5 ML; NO_ACR
1126000210051; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
1126000210061; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM REV CT BL AL/AL  X 28 ; NO_ACR
1126000210078; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 56; NO_ACR
1126000210094; ZYPREXA; ZYPREXA; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 14; NO_ACR
1126000210108; ZYPREXA; ZYPREXA; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 28; NO_ACR
1126000210019; ZYPREXA; ZYPREXA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
1126000210027; ZYPREXA; ZYPREXA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; NO_ACR
1126000210086; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM REV CT BL AL/AL  X 7; NO_ACR
1126000210329; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1126000210302; ZYPREXA; ZYPREXA; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 30; NO_ACR
1126000210310; ZYPREXA; ZYPREXA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NO_ACR
1126000210235; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM ORODISPERSIVEL CT BL AL/AL X 14; NO_ACR
1126000210220; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM ORODISPERSIVEL CT BL AL/AL X 7; NO_ACR
1126000210246; ZYPREXA; ZYPREXA; NOT FOUND; 10 MG COM ORODISPERSIVEL CT BL AL/AL X 28; NO_ACR
1126000210193; ZYPREXA; ZYPREXA; NOT FOUND; 5 MG COM ORODISPERSIVEL CT BL AL/AL X 14; NO_ACR
1126000210202; ZYPREXA; ZYPREXA; NOT FOUND; 5 MG COM ORODISPERSIVEL CT BL AL/AL X 28; NO_ACR
1186100670066; ZIRVIT; ZIRVIT; NOT FOUND; COM REV CT BL AL PLAS INC X 30; NO_ACR
1186100530043; ZIRVIT 600 S; ZIRVIT 600 S; NOT FOUND; COM REV CT BL AL PLAS INC X 30; NO_ACR
1186100540073; ZIRVIT MULTI; ZIRVIT MULTI; NOT FOUND; COM REV CT BL AL PLAS INC X 30; NO_ACR
1190900010017; ZINCVITA; ZINCVITA; NOT FOUND; CX. C/ 25 AMPOLAS; NO_ACR
198480; ZINCAÍNA; ZINCAINA; NOT FOUND; COL 10 ML; NO_ACR
