1121302850011; SOMATULINE LP; SOMATULINE LP; NOT FOUND; 30 MG PO LIOF INJ CT FA + AMP DIL 2 ML + SER + 2 AGULHAS; NO_ACR
1781700210071; SULBAMOX; SULBAMOX; NOT FOUND; 25 MG/ML +25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
1781700210081; SULBAMOX; SULBAMOX; NOT FOUND; 50 MG/ML +50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
1039405360021; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 16; NO_ACR
1039405360011; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 8; NO_ACR
1039405360046; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG + 500 MG COM REV CT BL AL PVC X 16; NO_ACR
1039405360038; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +500 MG COM REV CT BL AL PVC X 8; NO_ACR
1039405360097; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
1039405360100; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1039405360119; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1781700210020; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 16; NO_ACR
1781700210012; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 8; NO_ACR
1781700210047; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG + 500 MG COM REV CT BL AL PVC X 16; NO_ACR
1781700210039; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +500 MG COM REV CT BL AL PVC X 8; NO_ACR
1781700210098; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
1781700210101; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1781700210111; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1376400680011; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
1376400680021; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG  PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
1376400680062; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 2000 MG PO INJ CT 20 FA VD INC X 20 AMP DIL X 6.4 ML; NO_ACR
1376400680046; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG PO INJ CT 30 FA VD INC; NO_ACR
1376400680053; SULBACTER; SULBACTER; NOT FOUND; 500 MG + 1000 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 3.2ML; NO_ACR
1376400680038; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG  PO INJ CT 30 FA VD INC; NO_ACR
1057700470057; SARNODEX; SARNODEX; NOT FOUND; FR 60 ML; NO_ACR
1068900130017; SANASAR; SANASAR; NOT FOUND; 100 MG/ML LOC EMU CT FR VD AMB X 100 ML; NO_ACR
1068900130029; SANASAR; SANASAR; NOT FOUND; 0.10 G/G SAB CT FILME POLIEST X 80 G; NO_ACR
1057700470020; SARNODEX; SARNODEX; NOT FOUND; 150 MG/G POM DERM CX BG AL X 30G; NO_ACR
1057700470011; SARNODEX; SARNODEX; NOT FOUND; SAB 60 G; NO_ACR
1068900130045; SANASAR; SANASAR; NOT FOUND; 250 MG/ML LOC EMU TOP CT FR VD AMB X 100 ML; NO_ACR
1068901510054; SANILIN; SANILIN; NOT FOUND; 0.5 MG + 4 MG SOL OR CT FR VD INC NEB X 30 ML; NO_ACR
1068900810016; SANILIN; SANILIN; NOT FOUND; 0.0015G PAST TB X 12; NO_ACR
1068900810100; SANILIN; SANILIN; NOT FOUND; 1.5MG+5.0MG+1.5MG PAS TB AL X 12 CEREJA; NO_ACR
1068900810135; SANILIN; SANILIN; NOT FOUND; 1.5MG+5.0MG+1.5MG PAS TB AL X 12 LARANJA; NO_ACR
1068900810161; SANILIN; SANILIN; NOT FOUND; 1.5MG+5.0MG+1.5MG PAS TB AL X 12 LIMAO; NO_ACR
1068901510046; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SABOR LIMAO; NO_ACR
1068901510021; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR CEREJA; NO_ACR
1068901510038; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR LARANJA; NO_ACR
1068901510011; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR MENTA; NO_ACR
1171700330012; SPECTORUB; SPECTORUB; NOT FOUND; (0.05MG+0. 5MG+0.6MG+0.7MG)/ML SOL OR CT FR VD AMB X 30ML SAB MENTA; NO_ACR
1171700330055; SPECTORUB; SPECTORUB; NOT FOUND; 0.1 MG + 3.0 MG + 2.0 MG + 2.0 MG PAST CT 2 BL AL PLAS INC X 10; NO_ACR
1121302180022; SINERGEN; SINERGEN; NOT FOUND; 2.5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
1121302180091; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 30; NO_ACR
1121302180057; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
1121302180170; SINERGEN; SINERGEN; NOT FOUND; 2.5  MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
1121302180189; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
1121302180197; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 7; NO_ACR
1112402190012; SEROBIF; SEROBIF; NOT FOUND; 3 MUI CX C/3 FR AMP PO LIOFILIZADO P/INJ + 3 AMP S; NO_ACR
1517000900011; SOL DE BICARBONATO DE SÓDIO; SOL BICARBONATO SODIO; NOT FOUND; 8.4% 10ML CAIXA COM 100 UND EM VIDRO; NO_ACR
1010701410011; SONRISAL; SONRISAL; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
1010701410021; SONRISAL; SONRISAL; NOT FOUND; COM EFER CT 5 ENV AL POLIET X 2; NO_ACR
1010701410100; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
1010701410097; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 5 ENV AL POLIET X 2; NO_ACR
1010700560230; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; EFERV 10 ENV LARANJA; NO_ACR
1010700560362; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LARANJA); NO_ACR
1010700560151; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; LARANJA EFERV 60 ENV; NO_ACR
1010700560168; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LARANJA); NO_ACR
1010700560222; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; EFERV 10 ENV TRADICIONAL; NO_ACR
1010700560291; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G; NO_ACR
1010700560060; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; TRADICIONAL EFERV 60 ENV; NO_ACR
1010700560123; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CX FR PLAS TRANS X 100 G ; NO_ACR
1010700560486; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (GUARANA); NO_ACR
1010700560524; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
1010700560478; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
1010700560461; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (GUARANA) ; NO_ACR
1010700560397; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (LIMAO); NO_ACR
1010700560435; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LIMAO); NO_ACR
1010700560214; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LIMAO); NO_ACR
1010700560710; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (ABACAXI)  ; NO_ACR
1010700560664; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (ABACAXI); NO_ACR
1010700560729; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS OPC X 100 G (ABACAXI)  ; NO_ACR
1010701280053; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX 60 ENV AL POLIET X 5 G ; NO_ACR
1010701280029; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX FR PLAS OPC X 100 G; NO_ACR
1059700250014; SARNAPIN; SARNAPIN; NOT FOUND; FR C/ 100 ML LOCAO; NO_ACR
1059700250014; SARNAPIN; SARNAPIN; NOT FOUND; FR C/ 100 ML + PENTE LOCAO; NO_ACR
1059700250012; SARNAPIN; SARNAPIN; NOT FOUND; BR C/ 70 G SABONETE; NO_ACR
1059700250013; SARNAPIN; SARNAPIN; NOT FOUND; FR C/ 100 ML SHAMPOO; NO_ACR
1010702200142; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 60; NO_ACR
1010702200029; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 4; NO_ACR
1010702200088; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 24; NO_ACR
1010702200045; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 10; NO_ACR
1057701410018; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG LOC CT FR PLAS OPC X 120 ML; NO_ACR
1057701410026; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG CREM DERM CT BG AL PLAS INC X 28 G; NO_ACR
1064601610085; SEACALCIT; SEACALCIT; NOT FOUND; 200 UI/DOSE SOL NAS CT FR VD INC X 2 ML + NEB; NO_ACR
1002901450024; SINEMET; SINEMET; NOT FOUND; 25 MG + 250 MG COM CT 6 BL AL PLAS INC X 5; NO_ACR
1106500450189; SINEMET; SINEMET; NOT FOUND; 25/250 MG.COM.CT.C/ 6 BL X 5; NO_ACR
1123600020038; STUGERON; STUGERON; NOT FOUND; 75 MG - GOTAS - FR - 15 ML; NO_ACR
1123600020016; STUGERON; STUGERON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
1123600020059; STUGERON; STUGERON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; NO_ACR
1112400180052; SEROPHENE; SEROPHENE; NOT FOUND; 50 MG CX C/10 COMP X 01 BL; NO_ACR
1112400180044; SEROPHENE; SEROPHENE; NOT FOUND; 50 MG CX C/10 COMP X 03 BL; NO_ACR
1028500140014; SANGOTONE; SANGOTONE; NOT FOUND; SOLUCAO CX. FR. VD. 250ML; NO_ACR
1028500140028; SANGOTONE; SANGOTONE; NOT FOUND; SOLUCAO CX. FR. VD. 500ML; NO_ACR
1123600320031; SUFENTA; SUFENTA; NOT FOUND; 50 MCG - INJ - AMP - 25 AMP DE 1 ML; NO_ACR
1123600320139; SUFENTA; SUFENTA; NOT FOUND; 50 MCG/ML SOL INJ CX 5 AMP VD INC X 1 ML; NO_ACR
1123600320163; SUFENTA; SUFENTA; NOT FOUND; 50 MCG/ML SOL  INJ CX 5 AMP VD INC X 5 ML; NO_ACR
1123600320090; SUFENTA; SUFENTA; NOT FOUND; ESPINHAL - 50 MCG - INJ - AMP - 25 AMP DE 2 ML; NO_ACR
1123600320147; SUFENTA; SUFENTA; NOT FOUND; 5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML; NO_ACR
1103900600027; SOLUÇÃO FISIOLÓGICA NASAL; SOLUCAO FISIOLOGICA NASAL; NOT FOUND; 9 MG/ML SOL NAS CX 50 FR PLAS AMB X 30 ML; NO_ACR
1099800200017; SOFIGEL; SOFIGEL; NOT FOUND; 9MG/ML SOL.FIS.NAS CX C/ 50 FR 30ML; NO_ACR
124250002001; SORITTO; SORITTO; NOT FOUND; 0.1MG/ML + 9.0MG/ML; NO_ACR
1171700060015; SORINAN; SORINAN; NOT FOUND; SOL NAS CT FR PLAS OPC X 30 ML; NO_ACR
1171700030027; SORINAN; SORINAN; NOT FOUND; 30 ML INFANTIL; NO_ACR
1517000240011; SOLUÇÃO DE RINGER; SOLUCAO RINGER; NOT FOUND; (8.6 + 0.3 + 0.33) MG/ML SOL INJ IV CX BOLS PLAS INC X 500 ML SIST FECH; NO_ACR
1517000250017; SOLUÇÃO DE RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (6 + 0.3 + 0.2 + 3.1) SOL INJ IV CX BOLS PLAS INC X 500 ML SIST FECH; NO_ACR
1651200060031; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6MG/ML + 0.3MG/ML + 0.33MG/ML SOL INJ CX FR PLAS TRANS X 500 ML; NO_ACR
1651200060021; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 BOLS PVC SIST FECH X 500 ML; NO_ACR
1651200060056; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6MG/ML + 0.3MG/ML + 0.33MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 500 ML; NO_ACR
1651200060048; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6MG/ML + 0.3MG/ML + 0.33MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 500 ML; NO_ACR
1651200060099; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 1000 ML; NO_ACR
1651200060072; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 1000 ML; NO_ACR
1651200060064; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 250 ML; NO_ACR
1651200060080; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 250 ML; NO_ACR
1651200010016; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ CX 20 FR PLAS TRANS X 500 ML; NO_ACR
1651200010024; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV CX 20 BOLS PVC SIST FECH X 500 ML; NO_ACR
1651200010032; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML ; NO_ACR
1651200010040; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML ; NO_ACR
1651200010083; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000ML; NO_ACR
1651200010075; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250ML; NO_ACR
1651200010067; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000ML; NO_ACR
1651200010059; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250ML; NO_ACR
1027000990016; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO LIOF INJ CT FA; NO_ACR
1027000990024; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO LIOF INJ CT FA; NO_ACR
1890000070019; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO INJ CT FA; NO_ACR
1890000070027; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO INJ CT FA; NO_ACR
1013900190148; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; NO_ACR
1013900190156; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML; NO_ACR
1013900190164; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; NO_ACR
1013900190131; SOLUÇÃO FISIOLÓGICA A 0,9%; SOLUCAO FISIOLOGICA A 0 9; NOT FOUND; 9 G/L SOL INJ IV CX 80 FR PLAS TRANS SIST FECH X 125 ML; NO_ACR
1027000080139; SORO FISIOLÓGICO; SORO FISIOLOGICO; NOT FOUND; 0.9% FR C/ 500 ML; NO_ACR
1257600140018; STERIMAR; STERIMAR; NOT FOUND; 0.9 PCC SOL NASAL CT FR AL X 100 ML; NO_ACR
1018300150013; SAIS P/REIDRA; SAIS P REIDRA; NOT FOUND; CX. C/300 ENVELOPES; NO_ACR
1065500270028; SURFACTIL; SURFACTIL; NOT FOUND; EXPEC. PED. XPE. FR X 100ML; NO_ACR
1065500270010; SURFACTIL; SURFACTIL; NOT FOUND; EXPEC. XPE. FR X 100ML; NO_ACR
1065500270044; SURFACTIL; SURFACTIL; NOT FOUND; SOL. FR X 50ML; NO_ACR
1562000070030; SEDAVAN; SEDAVAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1562000070014; SEDAVAN; SEDAVAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1126001860300; STRATTERA; STRATTERA; NOT FOUND; 60 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1126001860246; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1126001860203; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1126001860149; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1126001860181; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1126001860084; STRATTERA; STRATTERA; NOT FOUND; 18 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1126001860025; STRATTERA; STRATTERA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1037202310072; SENES; SENES; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 10; NO_ACR
1037202310099; SENES; SENES; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30; NO_ACR
1037202310196; SENES; SENES; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 10; NO_ACR
1037202310218; SENES; SENES; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; NO_ACR
1068900490012; STILGRIP; STILGRIP; NOT FOUND; 100MG SOL ORAL FR GOTAS PEDIATRICAS X 20ML; NO_ACR
1068900490068; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG PO SOL OR CT 50 ENV AL POLIET X 5 G; NO_ACR
1068900490047; STILGRIP; STILGRIP; NOT FOUND; 40MG SOL ORAL FR VD X 100ML SOLUCAO; NO_ACR
1068900490076; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 12; NO_ACR
1068900490084; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 120; NO_ACR
1068900490114; STILGRIP; STILGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP CT BL AL PLAS INC X 20; NO_ACR
1376400040012; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; NO_ACR
1376400040020; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 4 ML; NO_ACR
1376400040039; SETRONAX; SETRONAX; NOT FOUND; 4 MG COMP. CX. 10; NO_ACR
1376400040047; SETRONAX; SETRONAX; NOT FOUND; 8 MG COMP. CX. 10; NO_ACR
1514300120017; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
1514300120033; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
1514300120025; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
1514300120051; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 20; NO_ACR
1514300120076; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 30; NO_ACR
1514300120041; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
1514300120068; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 28; NO_ACR
1039404110011; SERCERIN; SERCERIN; NOT FOUND; 50MG COMP REV CT BL AL PLAST INC X 10 (PORT. 344/9; NO_ACR
1039404110021; SERCERIN; SERCERIN; NOT FOUND; 50MG COMP REV CT BL AL PLAST INC X 20 (PORT. 344/9; NO_ACR
1055001290013; SERONIP; SERONIP; NOT FOUND; 50 MG C/ 10 COM; NO_ACR
1055001290021; SERONIP; SERONIP; NOT FOUND; 50 MG C/ 20 COM; NO_ACR
1055001290031; SERONIP; SERONIP; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1055001230010; SIBUTRAN; SIBUTRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; NO_ACR
1055001730056; SINEDOL; SINEDOL; NOT FOUND; 100 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 10 ML; NO_ACR
