9965400350063; PRODUTO DE MEDICAMENTO PARA TESTE; PRODUTO MEDICAMENTO PARA TESTE; NOT FOUND; APRESENTACAO 01 02; NO_ACR
1010701420033; PÍLULAS DE VIDA DO DR. ROSS; PILULAS VIDA DO DR ROSS; NOT FOUND; PIL CX 50 FR PLAS OPC X 24; NO_ACR
1121302080011; PROSTAVASIN; PROSTAVASIN; NOT FOUND; 20 MCG PO LIOF CX 10 AMP VD INC; NO_ACR
1028500170059; PENVICILIN; PENVICILIN; NOT FOUND; 125MG SUSP. CX. FR. VD. 90ML; NO_ACR
1028500170075; PENVICILIN; PENVICILIN; NOT FOUND; 125MG SUSP. CX. FR.VD.150ML; NO_ACR
1028500170032; PENVICILIN; PENVICILIN; NOT FOUND; 250MG SUSP. CX. FR. VD. 90ML; NO_ACR
1028500170083; PENVICILIN; PENVICILIN; NOT FOUND; 250MG SUSP. CX. FR.VD.150ML; NO_ACR
148498; PENVICILIN; PENVICILIN; NOT FOUND; 500MG SUSP. CX. FR.VD.150ML; NO_ACR
1028500170043; PENVICILIN; PENVICILIN; NOT FOUND; 500MG CX. STRIP C/ 18 CAPS.; NO_ACR
102850017; PENVICILIN; PENVICILIN; NOT FOUND; 500 MG CX. STRIP C/ 21 CAPS.; NO_ACR
1028500170067; PENVICILIN; PENVICILIN; NOT FOUND; 500MG CX. STRIP C/ 30 CAPS.; NO_ACR
1068900360026; PROCTOSAN; PROCTOSAN; NOT FOUND; POM RET CT BG AL 20 G + APLIC; NO_ACR
1211000060026; PENSYN; PENSYN; NOT FOUND; CAIXA COM 25 FRASCOS AMPOLAS COM PO INJETAVEL DE 1; NO_ACR
1211000060018; PENSYN; PENSYN; NOT FOUND; CAIXA COM 25 FRASCOS AMPOLAS COM PO INJETAVEL DE 5; NO_ACR
1085800460021; PENCIL; PENCIL; NOT FOUND; 400 CX 50 FR/AMP; NO_ACR
1013100360065; PENRETARD; PENRETARD; NOT FOUND; 1.200.000 UI INJ CX 1 FR AMP; NO_ACR
1013100360049; PENRETARD; PENRETARD; NOT FOUND; 1.200.000 UI INJ CX 50 FR AMP; NO_ACR
1013100360057; PENRETARD; PENRETARD; NOT FOUND; 600.000 UI INJ CX 1 FR AMP; NO_ACR
1013100360030; PENRETARD; PENRETARD; NOT FOUND; 600.000 UI INJ CX 50 FR AMP; NO_ACR
1085800540030; PENCIL B; PENCIL B; NOT FOUND; CX 50 FR/AMP 1.200.000 UI; NO_ACR
1085800540014; PENCIL B; PENCIL B; NOT FOUND; CX 50 FR/AMP 600.000 UI; NO_ACR
1085800370010; PENCIL P; PENCIL P; NOT FOUND; CX 50 FR/AMP 1.000.000 UI; NO_ACR
1085800370036; PENCIL P; PENCIL P; NOT FOUND; CX 25 FR/AMP 10.000.000 UI; NO_ACR
1085800370028; PENCIL P; PENCIL P; NOT FOUND; CX 50 FR/AMP 5.000.000 UI; NO_ACR
1027000600033; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; NO_ACR
1027000600025; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; NO_ACR
1027000600048; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; NO_ACR
1890000290043; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; NO_ACR
1890000290035; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; NO_ACR
1890000290027; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; NO_ACR
SI/NC; PLURISAN; PLURISAN; NOT FOUND; SAB C/ 60 G; NO_ACR
SI/NC; PLURISAN; PLURISAN; NOT FOUND; SAB C/75G; NO_ACR
SI/NC; PLURISAN; PLURISAN; NOT FOUND; SOL TOP FR C/ 100 ML (BENZOATO BENZILA); NO_ACR
1261400050013; PRURIDERM; PRURIDERM; NOT FOUND; 200 MG/ML SOL TOP CT FR VD AMB X 60 ML; NO_ACR
1261400050021; PRURIDERM; PRURIDERM; NOT FOUND; 200 MG/ML SOL TOP CX 50 FR VD AMB X 60 ML; NO_ACR
1046200200010; PULMOVERINA; PULMOVERINA; NOT FOUND; FRASCO COM 200 ML; NO_ACR
1252100330011; PULMODEX XPE; PULMODEX XPE; NOT FOUND; XPE CT FR VD AMB X 100 ML; NO_ACR
1252100330028; PULMODEX XPE; PULMODEX XPE; NOT FOUND; FR 200 ML; NO_ACR
1046700170012; PEITORAL SÃO CARLOS; PEITORAL SAO CARLOS; NOT FOUND; AGUA DE LOURO CEREJA 0.022G/ML.+ASSOC. XAROPE FR.1; NO_ACR
1168000230015; PASSILIN; PASSILIN; NOT FOUND; 10MG PAST BL AL X 12; NO_ACR
1043400140032; PROFARGIL; PROFARGIL; NOT FOUND; SUSP FR C/ 60 ML; NO_ACR
1043400140016; PROFARGIL; PROFARGIL; NOT FOUND; GEL TBO C/ 50 GR; NO_ACR
1043400140024; PROFARGIL; PROFARGIL; NOT FOUND; COMP FR C/ 20; NO_ACR
1017100810111; PUREGON; PUREGON; NOT FOUND; 100 UI SOL INJ CT FA X 0.5 ML; NO_ACR
1017100810128; PUREGON; PUREGON; NOT FOUND; 150 UI SOL INJ CT FA X 0.5 ML; NO_ACR
1017100810136; PUREGON; PUREGON; NOT FOUND; 200 UI SOL INJ CARTUCHO FR AMP X 0.5 ML; NO_ACR
1017100810101; PUREGON; PUREGON; NOT FOUND; 50 UI SOL INJ CT FA X 0.5 ML; NO_ACR
1017100810144; PUREGON; PUREGON; NOT FOUND; 300 UI SOL INJ CT CARPULE X 0.525 ML + 7 AGULHAS P/INJECAO; NO_ACR
1017100810152; PUREGON; PUREGON; NOT FOUND; 600 UI SOL INJ CT CARPULE X 0.885 ML + 7 AGULHAS P/INJECAO; NO_ACR
1017100810160; PUREGON; PUREGON; NOT FOUND; 300 UI SOL INJ CT 1 CARPULE X 0.480ML + 6 AGULHAS P/ INJECAO; NO_ACR
1017100810179; PUREGON; PUREGON; NOT FOUND; 600 UI SOL INJ CT 1 CARPULE X 0.840ML + 6 AGULHAS P/ INJECAO ; NO_ACR
1037202340011; PAQUETÁ; PAQUETA; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
1037202340028; PAQUETÁ; PAQUETA; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1017100950035; PAVULON; PAVULON; NOT FOUND; 2 MG/ML SOL INJ CX 25 AMP VIDRO INCOLOR X 2 ML; NO_ACR
1039400720168; PANGEST; PANGEST; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML; NO_ACR
1039400720206; PANGEST; PANGEST; NOT FOUND; 4 MG/ML SOL OR GTS PED CT FR VD AMB + CT GTS X 20; NO_ACR
1039400720151; PANGEST; PANGEST; NOT FOUND; 4MG/ML SOL OR GTS PED CT FR PLAS OPC GOT X 20ML; NO_ACR
1039400720133; PANGEST; PANGEST; NOT FOUND; 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
1039400720192; PANGEST; PANGEST; NOT FOUND; RETARD - 20MG 2 BL X 10 CPR; NO_ACR
1060300360014; PONDUSVITAM; PONDUSVITAM; NOT FOUND; FR. C/100 ML.; NO_ACR
1060300360030; PONDUSVITAM; PONDUSVITAM; NOT FOUND; CX. C/5 BL. X 4 COMP.; NO_ACR
1028500270015; PACEFLEX; PACEFLEX; NOT FOUND; CX. STRIP C/ 12 COMP.; NO_ACR
1294000140011; PERTOPRIL; PERTOPRIL; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; NO_ACR
1028500180021; PEPSIVIT; PEPSIVIT; NOT FOUND; CX. FR. SUSP. 100ML; NO_ACR
1028500180011; PEPSIVIT; PEPSIVIT; NOT FOUND; CX. STRIP C/ 20 COMP.; NO_ACR
1085800560015; PROFALEXINA; PROFALEXINA; NOT FOUND; 125MG VD 60ML SUSP ORAL; NO_ACR
1085800560025; PROFALEXINA; PROFALEXINA; NOT FOUND; 250MG VD 60ML SUSP ORAL; NO_ACR
1085800560017; PROFALEXINA; PROFALEXINA; NOT FOUND; 250MG CX 6 CAPS; NO_ACR
1085800560033; PROFALEXINA; PROFALEXINA; NOT FOUND; 500MG CX 6 CAPS; NO_ACR
1064601000015; PRIMACEF; PRIMACEF; NOT FOUND; 250MG/60ML - CX COM 1 FR; NO_ACR
1064601000112; PRIMACEF; PRIMACEF; NOT FOUND; 250MG/60ML - CX COM 50 FR; NO_ACR
1064601000139; PRIMACEF; PRIMACEF; NOT FOUND; 250 MG/5ML PO PREP EXT CT FR VD AMB X 60 ML; NO_ACR
1064601000147; PRIMACEF; PRIMACEF; NOT FOUND; 250 MG/5ML PO PREP EXT CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
1064601000031; PRIMACEF; PRIMACEF; NOT FOUND; 500MG - CX COM 10 COMPRIMIDOS; NO_ACR
1064601000090; PRIMACEF; PRIMACEF; NOT FOUND; 500 MG COM REV CX BL AL PLAS INC X 500 (EMB. HOSP.); NO_ACR
1106500070097; PERIATIN; PERIATIN; NOT FOUND; 4 MG. COM. CT. C/ 5 BL X 10; NO_ACR
1206000030012; PERIFORTIN; PERIFORTIN; NOT FOUND; 4 MG/5 ML XPE CT FR VD AMB X 200ML; NO_ACR
1123600300057; PREPULSID; PREPULSID; NOT FOUND; 1 MG - SUSPENSAO - FR - 100 ML; NO_ACR
1123600300146; PREPULSID; PREPULSID; NOT FOUND; 10 MG - COMP - ENV - 30 COMP; NO_ACR
1123600300154; PREPULSID; PREPULSID; NOT FOUND; 20 MG - COMP - ENV - 30 COMP; NO_ACR
1123600300138; PREPULSID; PREPULSID; NOT FOUND; 5 MG - COMP - ENV - 30 COMP; NO_ACR
1002500910016; PYLORID; PYLORID; NOT FOUND; 400 MG COM REV CT BL AL/AL X 28; NO_ACR
1171700190016; POLYDRAT; POLYDRAT; NOT FOUND; PO SOL OR CT 4 ENV AL POLIET X 27.9 G; NO_ACR
1171700190024; POLYDRAT; POLYDRAT; NOT FOUND; PO SOL OR CT 50 ENV AL POLIET X 27.9 G; NO_ACR
1171700190040; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR VD INC X 450 ML ( SABOR LARANJA); NO_ACR
1171700190059; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR VD INC X 450 ML( SABOR  UVA); NO_ACR
1171700190032; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR VD INC X 450 ML  (SABOR FRAMBOESA); NO_ACR
1171700190067; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR VD INC X 450 ML ; NO_ACR
1171700190113; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR FR PLAS INC X 450 ML (SABOR GUARANA); NO_ACR
1092200570031; PARATOSSE; PARATOSSE; NOT FOUND; PAST CX C/ 12; NO_ACR
1171700190121; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR NATURAL; NO_ACR
1171700190131; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR FRAMBOESA ; NO_ACR
1171700190148; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR GUARANA; NO_ACR
1171700190156; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML  SABOR LARANJA; NO_ACR
1171700190164; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML  SABOR UVA; NO_ACR
1171700190172; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR FR PLAS OPC X 450 ML  SABOR COLA; NO_ACR
1045400460020; PROCUTAN; PROCUTAN; NOT FOUND; BISNAGA COM 10 G; NO_ACR
1045400460039; PROCUTAN; PROCUTAN; NOT FOUND; BISNAGA COM 30 G; NO_ACR
1039400810051; PSICOSEDIN; PSICOSEDIN; NOT FOUND; 100 MG/FR PO INJ CX 25 FR AMP VD INC + 25 AMP DIL; NO_ACR
1039400810048; PSICOSEDIN; PSICOSEDIN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1039400810021; PSICOSEDIN; PSICOSEDIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1190900060019; POLITRACE; POLITRACE; NOT FOUND; 4 - 5 ML CX. C/ 25 AMPOLAS; NO_ACR
1190900040016; POLITRACE; POLITRACE; NOT FOUND; 5 - 5 ML CX. C/ 25 AMPOLAS; NO_ACR
1064800130010; PEITORAL ANG PELOTENSE; PEITORAL ANG PELOTENSE; NOT FOUND; XPE FR VD AMB CT X 140 ML; NO_ACR
1069000030026; POMADA MINANCORA; POMADA MINANCORA; NOT FOUND; 20%+0.5%+5% POM DERM PT PLAS OPC X 30 G; NO_ACR
1099300040010; PRILOSTESINA; PRILOSTESINA; NOT FOUND; INJ CX.TB DE 1.8 ML; NO_ACR
1123500130028; PULMOSOLVAN; PULMOSOLVAN; NOT FOUND; 3 MG/ML XPE.INF. CT FR VD AMB X 120 ML + CP MED; NO_ACR
1123500130011; PULMOSOLVAN; PULMOSOLVAN; NOT FOUND; 6 MG/ML XPE.ADU. CT FR VD AMB X 120 ML + CP MED; NO_ACR
1055000480021; PROPAN; PROPAN; NOT FOUND; ELX CT FR VD AMB X 100 ML; NO_ACR
1055000480013; PROPAN; PROPAN; NOT FOUND; DRG CT STR X 20; NO_ACR
1451700110017; POLIVITAN; POLIVITAN; NOT FOUND; XPE FR 240ML; NO_ACR
1334600120014; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
1294000130016; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
1126000070111; PROZAC; PROZAC; NOT FOUND; PROZAC 20 MG - 1 FRASCO COM 70 ML; NO_ACR
1126000070055; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; NO_ACR
1126000070071; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; NO_ACR
1126000070098; PROZAC; PROZAC; NOT FOUND; PROZAC SOLUVEL 20 MG - 1 CX. COM 14 COMPS.; NO_ACR
1126000070101; PROZAC; PROZAC; NOT FOUND; PROZAC SOLUVEL 20 MG - 1 CX. COM 28 COMPS.; NO_ACR
1126000070136; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
1126000070187; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1126000070160; PROZAC DURAPAC; PROZAC DURAPAC; NOT FOUND; PROZAC DURAPAC 90 MG - 2 BLISTERS COM 2 CAPSULAS; NO_ACR
1556200310014; PROTO-ITECAN; PROTO ITECAN; NOT FOUND; 20MG/ML SOL INJ CT FR AMP VD AMB X 5ML ; NO_ACR
1057700590033; PLAMIVON; PLAMIVON; NOT FOUND; 4 MG/ML SOL OR GTS CT FR PLAS OPC GOT X 10 ML; NO_ACR
1057700590025; PLAMIVON; PLAMIVON; NOT FOUND; 10 MG COM CT STR X 12; NO_ACR
1057700590017; PLAMIVON; PLAMIVON; NOT FOUND; 10 MG COM CT STR X 100 (EMB FRAC); NO_ACR
1010702240012; PAXIL CR; PAXIL CR; NOT FOUND; 12.5 MG COM REV LIB CONTROLADA CT BL AL PLAS OPC X 10  ; NO_ACR
1010702240020; PAXIL CR; PAXIL CR; NOT FOUND; 12.5 MG COM LIB CONTROLADA CT BL AL PLAS OPC X 30; NO_ACR
1010702240039; PAXIL CR; PAXIL CR; NOT FOUND; 25 MG COM REV LIB CONTROLADA CT BL AL PLAS OPC X 10  ; NO_ACR
1010702240047; PAXIL CR; PAXIL CR; NOT FOUND; 25 MG COM LIB CONTROLADA CT BL AL PLAS OPC X 30; NO_ACR
1211002870014; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
1211002870022; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1211002870030; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1211002870049; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
1017700280014; PRILONEST; PRILONEST; NOT FOUND; 30 MG/ML + 0.03 UI/ML SOL INJ 50 CARPULES VD INC X 1.8 ML; NO_ACR
1030800120059; PROZIM; PROZIM; NOT FOUND; 25 MG CX 10BL X 20 DRG; NO_ACR
1057701290020; PROPACOR; PROPACOR; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
1057701290039; PROPACOR; PROPACOR; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 20; NO_ACR
1013100030010; PRONOCARD; PRONOCARD; NOT FOUND; 40 MG COMP CX COM 40; NO_ACR
1121000130014; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; CX.C/50 ENV. X 10 COMP; NO_ACR
1235200260023; PROPRANOL (PROPRANOLOL); PROPRANOL PROPRANOLOL; NOT FOUND; 40 MG COMP CX C/ 40; NO_ACR
1092201660021; PRONOL; PRONOL; NOT FOUND; 40 MG COM CT 02 BL AL PLAS INC X 20; NO_ACR
1030800130021; PROPRESS; PROPRESS; NOT FOUND; 40 MG COM CX 10 BL AL PLAS INC X 20; NO_ACR
1376400240011; PREVULCER; PREVULCER; NOT FOUND; 50 MG CX. 50 AMP. 2ML; NO_ACR
1163100010067; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 60; NO_ACR
1163100010059; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 30; NO_ACR
1163100010040; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 20; NO_ACR
1163100010032; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 60; NO_ACR
1163100010024; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 30; NO_ACR
1163100010016; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 20; NO_ACR
1123633290018; PARALON; PARALON; NOT FOUND; 300 MG + 200 MG COM CT 2 BL AL PLAS INC X 6; NO_ACR
1274800280034; PROMIXIN; PROMIXIN; NOT FOUND; 1.000.000 UI PO INJ / INAL CX 30 FA VD INC; NO_ACR
1274800280026; PROMIXIN; PROMIXIN; NOT FOUND; 1.000.000 UI PO INJ / INAL CX 10 FA VD INC; NO_ACR
1274800280018; PROMIXIN; PROMIXIN; NOT FOUND; 1.000.000 UI PO INJ / INAL CX FA VD INC; NO_ACR
1068901050010; PULMOL; PULMOL; NOT FOUND; 500MG/5G PO ORAL 50 SACHE X 5G; NO_ACR
1068901040015; PULMOL; PULMOL; NOT FOUND; 200MG/15ML XPE FR PET X 120ML; NO_ACR
