1062401160012; UNITOSSE XPE; UNITOSSE XPE; NOT FOUND; XPE CT FR PLAS AMB X 100 ML + COP; NO_ACR
124250008002; ULCERODINE; ULCERODINE; NOT FOUND; 150MG COM CT FR PLAS OPC X 30; NO_ACR
124250008007; ULCERODINE; ULCERODINE; NOT FOUND; 300MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
124250008008; ULCERODINE; ULCERODINE; NOT FOUND; 300MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
124250008005; ULCERODINE; ULCERODINE; NOT FOUND; 300MG COM CT FR PLAS OPS X 20; NO_ACR
124250008006; ULCERODINE; ULCERODINE; NOT FOUND; 300MG COM CT FR PLAS OPS X 30; NO_ACR
1010702510011; ULTIVA; ULTIVA; NOT FOUND; 1 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
1010702510028; ULTIVA; ULTIVA; NOT FOUND; 2 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
1010702510036; ULTIVA; ULTIVA; NOT FOUND; 5 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
1018900060016; UM MINUTO; UM MINUTO; NOT FOUND; 7.017 MG SOL TOP DISP 24 CT FLAC PLAS X 4 ML; NO_ACR
1123633560015; ULTRACET; ULTRACET; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
1123633560031; ULTRACET; ULTRACET; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1123633560041; ULTRACET; ULTRACET; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1002000520030; UROGRAFINA; UROGRAFINA; NOT FOUND; 292 FR C/ 100 ML + EQUIPO 60%; NO_ACR
1002000520014; UROGRAFINA; UROGRAFINA; NOT FOUND; 292 FR C/ 20 ML 60%; NO_ACR
1002000520022; UROGRAFINA; UROGRAFINA; NOT FOUND; 292 FR C/ 50 ML 60%; NO_ACR
1002000520060; UROGRAFINA; UROGRAFINA; NOT FOUND; 370 FR C/ 100 ML + EQUIPO 76%; NO_ACR
1002000520103; UROGRAFINA; UROGRAFINA; NOT FOUND; 370 FR C/ 20 ML 76%; NO_ACR
1002000520111; UROGRAFINA; UROGRAFINA; NOT FOUND; 370 FR C/ 30 ML 76%; NO_ACR
1002000520051; UROGRAFINA; UROGRAFINA; NOT FOUND; 370 FR C/ 50 ML 76%; NO_ACR
101310046; UM SEGUNDO; UM SEGUNDO; NOT FOUND; FLAC 4 ML; NO_ACR
1092201230012; URASIX (FUROSEMIDA); URASIX FUROSEMIDA; NOT FOUND; 40 MG COMP CX C/ 20; NO_ACR
1376400360017; UREAX; UREAX; NOT FOUND; 500 MG CAPS. CX. 10BLX10; NO_ACR
1002000480055; UROMIRON INFUSÃO; UROMIRON INFUSAO; NOT FOUND; FR C/ 20 ML 65%; NO_ACR
1002000480046; UROMIRON INFUSÃO; UROMIRON INFUSAO; NOT FOUND; FR C/ 50 ML 65%; NO_ACR
1002000480025; UROMIRON INFUSÃO; UROMIRON INFUSAO; NOT FOUND; FR C/ 250 ML + EQUIPO 26%; NO_ACR
1002000740063; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CT FA X 100 ML; NO_ACR
1002000740121; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ; NO_ACR
1002000740103; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 20 ML ; NO_ACR
1002000740138; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 200 ML ; NO_ACR
1002000740111; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CX 10 FA VD INC X 50 ML; NO_ACR
1002000740162; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; NO_ACR
1002000740170; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 200 ML; NO_ACR
1002000740154; ULTRAVIST; ULTRAVIST; NOT FOUND; 768.86 MG/ML SOL INJ CX 10 FA VD INC X 50 ML; NO_ACR
1002000740146; ULTRAVIST; ULTRAVIST; NOT FOUND; 623.40 MG/ML SOL INJ CT FA VD INC X 500 ML; NO_ACR
1021500010021; ULCERIM; ULCERIM; NOT FOUND; 20MG/ML SUS FR X 1000 ML; NO_ACR
1021500010046; ULCERIM; ULCERIM; NOT FOUND; 20MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
1057701520018; UROXAZOL; UROXAZOL; NOT FOUND; 400 MG COM CT FR VD AMB X 14; NO_ACR
1065500400016; UROFLOX; UROFLOX; NOT FOUND; 400MG COMP. REV. CT FR C/14; NO_ACR
1065500400032; UROFLOX; UROFLOX; NOT FOUND; 400MG COMP. REV. CT FR C/6; NO_ACR
1013100740011; ULGASTRIN; ULGASTRIN; NOT FOUND; 10 MG CAPS CX COM 14; NO_ACR
1013100740021; ULGASTRIN; ULGASTRIN; NOT FOUND; 20 MG CAPS CX COM 7; NO_ACR
1026900570015; ULCECAPS; ULCECAPS; NOT FOUND;  10 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
1026900570031; ULCECAPS; ULCECAPS; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
1026900570023; ULCECAPS; ULCECAPS; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
1026900570041; ULCECAPS; ULCECAPS; NOT FOUND;  40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
1257600120025; ULTRASE; ULTRASE; NOT FOUND; 4.500 U/USP CAP OR CT FR VD AMB X 100; NO_ACR
1257600120051; ULTRASE MT 12; ULTRASE MT 12; NOT FOUND; 12.000 U/USP CAP OR CT FR VD AMB X 100; NO_ACR
1257600120076; ULTRASE MT 18; ULTRASE MT 18; NOT FOUND; 18.000 U/USP CAP OR CT FR VD AMB X 100; NO_ACR
1257600120092; ULTRASE MT 20; ULTRASE MT 20; NOT FOUND; 20.000 U/USP CAP OR CT FR AMB X 100; NO_ACR
4562589654753; ULTRASE MT 18; ULTRASE MT 18; NOT FOUND; CONTROLE; NO_ACR
1235689745213; ULTRASE MT 20; ULTRASE MT 20; NOT FOUND; CONTROLE; NO_ACR
1139800150012; ULTRATAG RBC; ULTRATAG RBC; NOT FOUND; 50 + 96 + 105 MCG PO LIOF. CX FA VD INC X 10 ML +; NO_ACR
1370700300010; UVA DO MATO; UVA DO MATO; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
