1781701290011; LYDIAN; LYDIAN; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 ; NO_ACR
1262500120011; LFM-AMINOFILINA; LFM AMINOFILINA; NOT FOUND; 100 MG COM CX 50 ENV KRAFT POLIET X 10; NO_ACR
1123300240105; LAQFA AMOXICILINA; LAQFA AMOXICILINA; NOT FOUND; 50 MG/ML PO SUS EXT CT 12 FR VD AMB X 150 ML + COPO MED; NO_ACR
1123300240083; LAQFA AMOXICILINA; LAQFA AMOXICILINA; NOT FOUND; 500 MG CAP GEL DURA CX ENV AL POLIET X 500; NO_ACR
1120800320030; LQFEX AMOXICILINA; LQFEX AMOXICILINA; NOT FOUND; 500 MG CX. C/50 ENV. X 10 CAPS; NO_ACR
1262500090023; LFM-AMOXACILINA; LFM AMOXACILINA; NOT FOUND; 50 MG/ML SUS OR CX 50 FR VD AMB X 60 ML; NO_ACR
1120800030016; LQFEX AMPICILINA; LQFEX AMPICILINA; NOT FOUND; 500 MG CX. C/50 ENV. X 10 COMP; NO_ACR
1120800710025; LQFEX - SULFATO DE NEOMICINA + BACITRACINA ZINCICA; LQFEX SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 10 G; NO_ACR
1120800050025; LQFEX PENICILINA G BENZATINA; LQFEX PENICILINA G BENZATINA; NOT FOUND; 1200000UI CX. C/50 FR/ AMP + 50 DILUENTES; NO_ACR
1018301450054; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 12.5 MG COM CX 24 BL AL PVC CRISTAL X 10; NO_ACR
1018301450011; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CX 35 FR VD AMB X 100; NO_ACR
1018301450021; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CT BL AL PVC X 100; NO_ACR
1018301450038; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CT BL AL PVDC X 100; NO_ACR
1018301450046; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CX 35 FR PLAS OPC X 100; NO_ACR
1120800170012; LQFEX BENZOATO DE BENZILA; LQFEX BENZOATO BENZILA; NOT FOUND; 250 MG/ML EMU TOP CX 50 FR VD AMB X 100 ML; NO_ACR
1121303230041; LOTAR; LOTAR; NOT FOUND; 2.5 MG + 50.0 MG CAP GEL DURA CT STR X 30 ; NO_ACR
1121303230023; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 100.0 MG CAP GEL DURA CT STR X 30; NO_ACR
1121303230155; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 50.0 MG CAP GEL DURA CT STR X 30; NO_ACR
1121303230120; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 100.0 MG CAP GEL DURA CT STR X 7; NO_ACR
1121303230104; LOTAR; LOTAR; NOT FOUND; 2.5 MG + 50.0 MG CAP GEL DURA CT STR X 7; NO_ACR
1121303230139; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 50.0 MG CAP GEL DURA CT STR X 7   ; NO_ACR
1228300050054; LACTO PURGA; LACTO PURGA; NOT FOUND; 25 BL X 04 COMP; NO_ACR
1228300050087; LACTO PURGA; LACTO PURGA; NOT FOUND; 25 BL X 06 COMP; NO_ACR
1096300580045; LACTON; LACTON; NOT FOUND; 5 MG COM REV CT 25 BL AL/PLAS INC X 04; NO_ACR
1781700150044; LACTO PURGA; LACTO PURGA; NOT FOUND; 5 MG COM REV DISP BL AL PLAS INC X 150 (EMB MULT); NO_ACR
1781700150060; LACTO PURGA; LACTO PURGA; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 16; NO_ACR
1262500720027; LFM-BROMAZEPAM 3 MG; LFM BROMAZEPAM 3; NOT FOUND; 3 MG COM CX 50 ENV PAPEL KRAFT X 10 ( EMB HOSP); NO_ACR
1313400090011; LUCITAN; LUCITAN; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 20; NO_ACR
1313400090021; LUCITAN; LUCITAN; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
1120800560031; LQFEX BROMETO DE N-BUTILESCOPOLAMINA; LQFEX BROMETO N BUTILESCOPOLAMINA; NOT FOUND; CX. C/50 AMP DE 1 ML; NO_ACR
1120800560031; LQFEX BROMETO DE N-BUTILESCOPOLAMINA; LQFEX BROMETO N BUTILESCOPOLAMINA; NOT FOUND; 20 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML; NO_ACR
1120800560015; LQFEX BROMETO DE N-BUTILESCOPOLAMINA; LQFEX BROMETO N BUTILESCOPOLAMINA; NOT FOUND; 10 MG COM REV CX ENV AL X 500; NO_ACR
1218900070014; LEPEMC CAPTOPRIL; LEPEMC CAPTOPRIL; NOT FOUND; 25 MG COM CX C/ 50 ENV X 10; NO_ACR
1105000370013; LIFAL - CAPTOPRIL; LIFAL CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500; NO_ACR
1123300380039; LAQFA CAPTOPRIL; LAQFA CAPTOPRIL; NOT FOUND; 12.5 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
1123300380063; LAQFA CAPTOPRIL; LAQFA CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
1120800340023; LQFEX CAPTOPRIL; LQFEX CAPTOPRIL; NOT FOUND; 25 MG COM CX 50 ENV X 10; NO_ACR
1262500460017; LFM-CAPTOPRIL; LFM CAPTOPRIL; NOT FOUND; 25 MG COM CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
1017900030011; LAFESC - CAPTOPRIL; LAFESC CAPTOPRIL; NOT FOUND; 25 MG COM CX 50 ENV. X 10; NO_ACR
1262500710013; LFM-CARBAMAZEPINA; LFM CARBAMAZEPINA; NOT FOUND; 200 MG COM CX 50 ENV AL POLIET X 10; NO_ACR
1262500870010; LFM-CARBONATO DE CÁLCIO; LFM CARBONATO CALCIO; NOT FOUND; 500 MG COM CX 50 ENV KRAFT POLIET X 10; NO_ACR
1121300390054; LITIOCAR; LITIOCAR; NOT FOUND; 300 MG COM REV FR PLAS OPC X 50; NO_ACR
1196100100038; LIPOSIC; LIPOSIC; NOT FOUND; 2.0 MG/G + 48.5 MG/G GEL OFT CT BG PLAS LAMINADO X 10 G; NO_ACR
1123300230010; LAQFA-CEFALEXINA; LAQFA CEFALEXINA; NOT FOUND; 500 MG CAP GEL DURA CT 50 ENV KRAFT POLIET X 10; NO_ACR
1262500180022; LFM-CEFALEXINA; LFM CEFALEXINA; NOT FOUND; 250 MG/5ML SUS OR CX 50 FR VD AMB X 60 ML; NO_ACR
1120800210014; LQFEX CEFALEXINA; LQFEX CEFALEXINA; NOT FOUND; 500 MG CX. C/50 ENV. X 10 CAPS; NO_ACR
1262500180014; LFM-CEFALEXINA; LFM CEFALEXINA; NOT FOUND; 500 MG CAP GEL CX FR VD AMB X 30; NO_ACR
1120800090019; LQFEX CIMETIDINA; LQFEX CIMETIDINA; NOT FOUND; 200 MG COM CX ENV KRAFT X 500; NO_ACR
1123633410013; LEUSTATIN; LEUSTATIN; NOT FOUND; 1 MG/ML SOL INJ CT 7 FA VD INC X 10 ML ; NO_ACR
1123633410031; LEUSTATIN; LEUSTATIN; NOT FOUND; 1 MG/ML SOL INJ CT X 1 FA VD INC X 8 ML; NO_ACR
1017100220029; LIPOFACTON; LIPOFACTON; NOT FOUND; 500 MG + 59.5 MG CAP GEL MOLE CT 2 ENV AL X 10; NO_ACR
1010702080015; LEUKERAN; LEUKERAN; NOT FOUND;  2 MG COM REV CT FR VD AMB X 25; NO_ACR
1002500730018; LEUKERAN; LEUKERAN; NOT FOUND; 2MG X 50CPDS; NO_ACR
1218900060019; LEPEMC SOFIN; LEPEMC SOFIN; NOT FOUND; GTS. CX. 50 FR 20 ML; NO_ACR
1121000220013; LAFERGS - SOLUÇÃO NASAL 0,9%; LAFERGS SOLUCAO NASAL 0 9; NOT FOUND; CX.C/50 FR. X 30 ML; NO_ACR
1047700160015; LAVOLHO; LAVOLHO; NOT FOUND; FR C/15ML OFT; NO_ACR
1099300060021; LIDOSTESINA; LIDOSTESINA; NOT FOUND; INJ CX.TB DE 1.8 ML 100; NO_ACR
1099300060038; LIDOSTESINA; LIDOSTESINA; NOT FOUND; INJ CX.TB DE 1.8 ML 50; NO_ACR
1781700600120; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
1781700600139; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 15 ML; NO_ACR
1781700600147; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 20 ML; NO_ACR
1781700600090; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 16; NO_ACR
1781700600041; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 100; NO_ACR
1781700600104; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 200; NO_ACR
1262500810018; LFM-AMITRIPTILINA; LFM AMITRIPTILINA; NOT FOUND; 25 MG COM CX ENV AL PE X 500 (EMB HOSP); NO_ACR
1121304490037; LEVODOPA+CLORIDRATO DE BENSERAZIDA; LEVODOPA CLORIDRATO BENSERAZIDA; NOT FOUND; 200 MG + 50 MG COM CT FR VD AMB X 30; NO_ACR
1262500730014; LFM-BROMEXINA 0,08%; LFM BROMEXINA 0 08; NOT FOUND; 0.8 MG/ML XPE CX 50 FR VD AMB X 150 ML; NO_ACR
1262500210010; LFM-DILTIAZEM; LFM DILTIAZEM; NOT FOUND; 30 MG COM ENV AL POLIET X 500 (EMB. HOSP.); NO_ACR
1123600330029; LIVOSTIN; LIVOSTIN; NOT FOUND; 0.54MG - SPRAY NASAL - FR - 10 ML; NO_ACR
1027000480018; LIDOSTON; LIDOSTON; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD INC X 10 ML; NO_ACR
1099300020011; LIDOSTESIM S.V; LIDOSTESIM S V; NOT FOUND; 2% SOL INJ CT 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
1262500240017; LFM-LIDOCAÍNA 2%; LFM LIDOCAINA 2; NOT FOUND; 20 MG/G GEL CX 50 BG AL X 10 G ( EMB HOSP); NO_ACR
1099300030015; LIDOSTESIM; LIDOSTESIM; NOT FOUND; 20 MG/ML + 0.04 MG/ML SOL INJ CX 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
1099300030023; LIDOSTESIM; LIDOSTESIM; NOT FOUND; 30 MG/ML + 0.04 MG/ML SOL INJ CX 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
1099300020028; LIDOSTESIM; LIDOSTESIM; NOT FOUND; POMADA POTES C/12 G 5% POM. MO; NO_ACR
1099300020028; LIDOSTESIM; LIDOSTESIM; NOT FOUND; POMADA POTES C/12 G 5% POM.MT; NO_ACR
1099300020028; LIDOSTESIM; LIDOSTESIM; NOT FOUND; POMADA POTES C/12 G 5% POM.PC; NO_ACR
1099300020028; LIDOSTESIM; LIDOSTESIM; NOT FOUND; POMADA POTES C/12 G 5% POM.TF; NO_ACR
1027001040054; LINATRON; LINATRON; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); NO_ACR
1057701600038; LINCOFLAN; LINCOFLAN; NOT FOUND; 300 MG/ML SOL INJ CX AMP VD INC X 1 ML; NO_ACR
1057701600046; LINCOFLAN; LINCOFLAN; NOT FOUND; 300 MG/ML SOL INJ CX AMP VD INC X 2 ML; NO_ACR
1013100110012; LINCO-PLUS; LINCO PLUS; NOT FOUND; 300 MG INJ CX 1 AMP 1 ML; NO_ACR
1013100110063; LINCO-PLUS; LINCO PLUS; NOT FOUND; 600 MG INJ CX 1 AMP 2 ML; NO_ACR
1890000090044; LINATRON; LINATRON; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); NO_ACR
1262500680017; LFM-LOPERAMIDA; LFM LOPERAMIDA; NOT FOUND; 2 MG COM CX 50 ENV KRAFT POLIET X 10; NO_ACR
1120800450015; LQFEX MEFLOQUINA; LQFEX MEFLOQUINA; NOT FOUND; 250 MG CX. C/5O ENV. X 10 COMP; NO_ACR
1262500490013; LFM-MEFLOQUINA; LFM MEFLOQUINA; NOT FOUND; 250 MG COM REV 50 ENV PAPEL KRAFT POLIET X 10; NO_ACR
1120800510026; LQFEX METOCLOPRAMIDA; LQFEX METOCLOPRAMIDA; NOT FOUND; 10 MG SOL. INJ CX. C/50 AMP DE 2 ML; NO_ACR
1120800410013; LQFEX METOCLOPRAMIDA; LQFEX METOCLOPRAMIDA; NOT FOUND; 10 MG COM CT ENV AL POLIET X 50; NO_ACR
1008100390019; LINFOGEX; LINFOGEX; NOT FOUND; CX C/ 10 AMP DE 2 ML; NO_ACR
1008100390027; LINFOGEX; LINFOGEX; NOT FOUND; CX C/ 100 AMP DE 2 ML; NO_ACR
1123300030021; LQFA CLORIDRATO DE PROPANOLOL; LQFA CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CX 50 ENV KRAFT X 10; NO_ACR
1120800100014; LQFEX PROPRANOLOL; LQFEX PROPRANOLOL; NOT FOUND; 40 MG COM CX ENV KRAFT X 500 (EMB HOSP); NO_ACR
1262500080036; LFM-PROPANOLOL; LFM PROPANOLOL; NOT FOUND; 10 MG COM CX ENV KRAFT P0LIET X 10; NO_ACR
1262500080028; LFM-PROPANOLOL; LFM PROPANOLOL; NOT FOUND; 40 MG COM CX ENV KRAFT POLIET X 500; NO_ACR
1039404060022; LORALERG D; LORALERG D; NOT FOUND; 1 MG + 12 MG/ML XPE CT FR VD AMB X 60 ML; NO_ACR
1039404060014; LORALERG D; LORALERG D; NOT FOUND; 5 MG + 120 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
1186100420019; LOREMIX D; LOREMIX D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + DOSADOR; NO_ACR
1186100420108; LOREMIX D; LOREMIX D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PLAS AMB X 30 ML + DOS; NO_ACR
1186100420116; LOREMIX D; LOREMIX D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PLAS AMB X 60 ML + DOS; NO_ACR
1186100420043; LOREMIX D; LOREMIX D; NOT FOUND; 5MG + 120 MG COM REV CT BL AL PLAS INC X 12; NO_ACR
1211700430044; LABEL; LABEL; NOT FOUND; 6 AMP X 5 ML; NO_ACR
1211700430024; LABEL; LABEL; NOT FOUND; SOL OR FR X 120 ML; NO_ACR
1211700430052; LABEL; LABEL; NOT FOUND; 150 MG COM REV 5 STR X 4; NO_ACR
1211700430060; LABEL; LABEL; NOT FOUND; 300 MG COM REV 3 STR X 4; NO_ACR
1211700430079; LABEL; LABEL; NOT FOUND; 300 MG COM REV 5 STR X 4; NO_ACR
1262500850011; LFM-RANITIDINA; LFM RANITIDINA; NOT FOUND; 150 MG COM CX ENV AL POLIET X 500; NO_ACR
1120800110011; LQFEX - CLORIDRATO DE TETRACICLINA; LQFEX CLORIDRATO TETRACICLINA; NOT FOUND; 250 MG CAP GEL DURA CX 50 ENV AL POLIET X 10; NO_ACR
1057700060013; LEVEGLUTAN; LEVEGLUTAN; NOT FOUND; FR 100 COMP; NO_ACR
1252100200010; LARIGON; LARIGON; NOT FOUND; FR 100 ML; NO_ACR
1262500790017; LFM-CLORPROPAMIDA; LFM CLORPROPAMIDA; NOT FOUND; 250 MG COM CX 50 ENV KRAFT  POLIET X 10; NO_ACR
1262500310015; LFM-CLOTRIMAZOL; LFM CLOTRIMAZOL; NOT FOUND; 1% CR DERM CX 50 BG AL X 20 G; NO_ACR
1105000440038; LIFALCLOZAPINA; LIFALCLOZAPINA; NOT FOUND; 100 MG COM CX 30 BL AL PLAS INC X 10; NO_ACR
1105000440046; LIFALCLOZAPINA; LIFALCLOZAPINA; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 500; NO_ACR
1105000440011; LIFALCLOZAPINA; LIFALCLOZAPINA; NOT FOUND; 25 MG COM CX 10 BL AL PLAS INC X 10; NO_ACR
1105000440021; LIFALCLOZAPINA; LIFALCLOZAPINA; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500; NO_ACR
1262500220016; LFM-PARACETAMOL +CODEÍNA; LFM PARACETAMOL CODEINA; NOT FOUND; (500 + 30)MG COM CX 50 ENV PAPEL KRAFT POLIET X 10; NO_ACR
1262500480018; LFM-DAPSONA; LFM DAPSONA; NOT FOUND; 100 MG COMP CT 50 ENV KRAFT+ POLIET X 10; NO_ACR
1186102300037; LYMIUM; LYMIUM; NOT FOUND; CX C/ 30 COMPR REV; NO_ACR
1060300240010; LETANSIL; LETANSIL; NOT FOUND; CX. C/2 BL. X 10 COMP.X 5MG.; NO_ACR
1060300240020; LETANSIL; LETANSIL; NOT FOUND; CX. C/2 BL. X 10 COMP.X10MG.; NO_ACR
1123300040025; LAQFA-DIAZEPAM; LAQFA DIAZEPAM; NOT FOUND; 10 MG COM CT 20 ENV KRAFT X 10; NO_ACR
1123300040017; LAQFA-DIAZEPAM; LAQFA DIAZEPAM; NOT FOUND; 5 MG COM CT 20 ENV KRAFT X 10; NO_ACR
1262500430029; LFM-DIAZEPAM; LFM DIAZEPAM; NOT FOUND; 10 MG COM CT ENV KRAFT X 10; NO_ACR
1262500430010; LFM-DIAZEPAM; LFM DIAZEPAM; NOT FOUND; 5 MG COM CT 50 ENV KRAFT X 10 ( EMB HOSP); NO_ACR
1120800150011; LQFEX DICLOFENACO DE POTÁSSIO; LQFEX DICLOFENACO POTASSIO; NOT FOUND; 50 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1262500320010; LFM-DICLOFENACO POTÁSSICO; LFM DICLOFENACO POTASSICO; NOT FOUND; 50 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1123300300019; LAQFA - DICLOFENACO SÓDICO; LAQFA DICLOFENACO SODICO; NOT FOUND; 50 MG COM REV CX 50 ENV KRAFT X 10 (USO HOSP); NO_ACR
1120800310019; LQFEX CLOROQUINA; LQFEX CLOROQUINA; NOT FOUND; 150 MG COM CX ENV KRAFT X 500; NO_ACR
1002500840026; LANOXIN; LANOXIN; NOT FOUND; 0.25MG X 40CPDS; NO_ACR
1262500250010; LFM-DIMETICONA; LFM DIMETICONA; NOT FOUND; 75 MG/ML SUS OR CX CT 50 FR PLAS OPC GOT X 10 ML; NO_ACR
1326500290014; L'AIRAL; L AIRAL; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; NO_ACR
1120800070034; LQFEX DIPIRONA; LQFEX DIPIRONA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; NO_ACR
1218900040018; LEPEMC DIPIRONA; LEPEMC DIPIRONA; NOT FOUND; GTS.CX. 50 FR 10 ML; NO_ACR
1120800070018; LQFEX DIPIRONA; LQFEX DIPIRONA; NOT FOUND; SOL ORAL 500 MG/ML CX. C/50 FRX 10 ML; NO_ACR
1262500140020; LFM-DIPIRONA; LFM DIPIRONA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAST OPC GOT X 10 ML (; NO_ACR
1120800070026; LQFEX DIPIRONA; LQFEX DIPIRONA; NOT FOUND; 500 MG CX. C/50 ENV X 10 COMP EMB HOSP; NO_ACR
1262500140039; LFM-DIPIRONA; LFM DIPIRONA; NOT FOUND; 500 MG COM CX 50 ENV AL X 10; NO_ACR
1058200100014; LIVRADOR; LIVRADOR; NOT FOUND; 500 MG COM CX 50 ENV KRAFT X 4; NO_ACR
1262500770016; LFM-VITAMINA A + D; LFM VITAMINA A D; NOT FOUND; 20 G POM CX BG AL X 50 (EMB HOSP); NO_ACR
1120800140016; LQFEX ERITROMICINA; LQFEX ERITROMICINA; NOT FOUND; 250 MG CAP GEL DURA CT 50 ENV AL POLIET X 10; NO_ACR
1262500190028; LFM-ERITROMICINA; LFM ERITROMICINA; NOT FOUND; 250 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1043400090027; LISOTREX; LISOTREX; NOT FOUND; SUSP FR C/ 60 ML; NO_ACR
1043400090019; LISOTREX; LISOTREX; NOT FOUND; COMP FR C/ 16; NO_ACR
1002000830013; LINDISC; LINDISC; NOT FOUND; 3.9 MG ADS TRANSD CT 4 ENV AL X 1; NO_ACR
1196100070015; LOTEPROL; LOTEPROL; NOT FOUND; 5 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
1123634060016; LOU; LOU; NOT FOUND; 0.180 MG/0.025 MG + 0.215 MG/0.025 MG + 0.250 MG/ 0.025 MG COM REV CT EST PLAS ENV BL CALEND AL PLAS TRANS X 21 + 7 PLACEBOS; NO_ACR
1120800200019; LQFEX ETIONAMIDA; LQFEX ETIONAMIDA; NOT FOUND; 250 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1262500010011; LFM-FENOBARBITAL; LFM FENOBARBITAL; NOT FOUND; 100 MG COM CX ENV KRAFT POLIET X 500 (EMB. HOSP); NO_ACR
1039404990062; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT 1 FR PLAST OPC X 30; NO_ACR
1039404990089; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15; NO_ACR
1039404990038; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT BL AL PLAST INC X 30; NO_ACR
1039404990011; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 10; NO_ACR
1781700950016; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT BL AL PLAST INC X 10 ; NO_ACR
1781700950083; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15; NO_ACR
1781700950067; LIPANON; LIPANON; NOT FOUND; 250 MG CAP GEL MICROG RETARD CT FR PLAST OPC X 30; NO_ACR
1064601400013; LEUCIN; LEUCIN; NOT FOUND; 300 MCG SOL INJ CT 5 FRA VD INC X 1.2 ML; NO_ACR
1064601400064; LEUCIN; LEUCIN; NOT FOUND; 150 MCG SOL INJ CT 1 FA VD INC X 0.6 ML; NO_ACR
1064601400056; LEUCIN; LEUCIN; NOT FOUND; 75 MCG SOL INJ CT 5 FA VD INC X 0.3 ML; NO_ACR
1064601400072; LEUCIN; LEUCIN; NOT FOUND; 150 MCG SOL INJ CT 5 FA VD INC X 0.6 ML; NO_ACR
1064601400048; LEUCIN; LEUCIN; NOT FOUND; 75 MCG SOL INJ CT 1 FA VD INC X 0.3 ML; NO_ACR
1123300430044; LAQFA - FLUORETO DE SÓDIO; LAQFA FLUORETO SODIO; NOT FOUND; 0.5 MG/ML SOL OR MENTA CX 12 FR PLAS OPC X 500 ML; NO_ACR
1123300430028; LAQFA - FLUORETO DE SÓDIO; LAQFA FLUORETO SODIO; NOT FOUND; 0.5 MG/ML SOL OR MORANGO CX 12 FR PLAS OPC X 500 ML; NO_ACR
