1121302100029; BIOTERONA; BIOTERONA; NOT FOUND; 50 MG COM CT FR VD AMB X 20; NO_ACR
1376400870171; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT 5 FA VD INC; NO_ACR
1376400870198; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT 50 FA VD INC; NO_ACR
1376400870163; BENZILPEN; BENZILPEN; NOT FOUND; 5000000 UI PO SOL INJ CT FA VD INC; NO_ACR
1376400870252; BENZILPEN; BENZILPEN; NOT FOUND; 10000000 UI PO SOL INJ CT 100 FA VD INC; NO_ACR
1376400870244; BENZILPEN; BENZILPEN; NOT FOUND; 10000000 UI PO SOL INJ CT 50 FA VD INC; NO_ACR
1171700020021; BENZODERM; BENZODERM; NOT FOUND; 0.25 G/ML  EMU TOP CT FR VD AMB X 100 ML; NO_ACR
1090600780067; BENZILAN; BENZILAN; NOT FOUND; SABONETE 50G; NO_ACR
1090600780040; BENZILAN; BENZILAN; NOT FOUND; SOL. TOPICA 100ML; NO_ACR
1018300030011; BENZOATO DE BENZILA; BENZOATO BENZILA; BENZOATO BENZILA; CX. C/50 FRASCOS X 100 ML; NO_ACR
1171700020031; BENZODERM; BENZODERM; NOT FOUND; 9.0 G SAB CT FILME POLIEST X 60 G ; NO_ACR
1096300400012; BENZOBEN; BENZOBEN; NOT FOUND; 0.2 ML/ML EMU TOP CT FR VD AMB X 60 ML ; NO_ACR
1171700020064; BENZODERM; BENZODERM; NOT FOUND; 0.25 G/ML EMU TOP CT FR PET AMB X 100 ML ; NO_ACR
1096300400039; BENZOBEN; BENZOBEN; NOT FOUND; 250 MG/ML EMU TOP CT FR VD AMB X 60 ML ; NO_ACR
1096300400047; BENZOBEN; BENZOBEN; NOT FOUND; 250 MG/ML EMU TOP CX 100 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
1171700020072; BENZODERM; BENZODERM; NOT FOUND; 100 MG/G SAB CT FILME POLIEST X 60 G; NO_ACR
1081700080011; BENZOATO DE SÓDIO + ASSOCIAÇÃO; BENZOATO SODIO ASSOCIACAO; NOT FOUND; XPE CT FR VD AMB X 180ML; NO_ACR
1017700270035; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR MENTA); NO_ACR
1017700270019; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR PINA COLADA); NO_ACR
1017700270027; BENZOTOP; BENZOTOP; NOT FOUND; 200 MG/G GEL PT PLAS X 12 G (SABOR TUTTI-FRUTTI); NO_ACR
1490100030013; BIOTOP; BIOTOP; NOT FOUND; POTE PLASTICO 12G; NO_ACR
1121302540037; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30 ; NO_ACR
1121302540010; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30  ; NO_ACR
1121302540071; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121302540088; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 60; NO_ACR
1121302540053; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121302540061; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 60; NO_ACR
1002000800017; BETAFERON; BETAFERON; NOT FOUND; 9.6 MUI CX 15 FRS C/ PO LIOF + 15 FRS DILUENTE; NO_ACR
1002000800025; BETAFERON; BETAFERON; NOT FOUND; 9.6 MUI CT 15 FRS PO LIOF + 15 SER VD DIL INJ; NO_ACR
1002000800033; BETAFERON; BETAFERON; NOT FOUND; 9.6 MUI PO LIOF INJ CT 15 CT 1 FA VD INC + 1 SER VD INC DIL X 1.2 ML + ADAP COM AGULHA +  2 ENV LENCO; NO_ACR
1027000050018; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 10% INJ CX C/ 100 AMP X 10 ML; NO_ACR
1027000050093; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.4% INJ CX C/ 100 AMP X 10 ML; NO_ACR
1040700670011; BICABORNATO DE SÓDIO; BICABORNATO SODIO; NOT FOUND; 8.4% - AMP - CX C/ 50 AMP C/ 10ML; NO_ACR
1018300030013; BICARB. DE SÓDIO; BICARB SODIO; BICARBONATO SODIO; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; NO_ACR
1121302510014; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.4% SOL INJ CX FR PLAS TRANS X 250 ML; NO_ACR
2501600034994; BICARBONATO SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO FR PLASTICO OPACO X 100 G; NO_ACR
9561462652656; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO CT PT PLAST X 100G; NO_ACR
9514882166525; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO CT PT PLAST X 50G; NO_ACR
ISENTO; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; CX C/100ML; NO_ACR
SI/NC; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; CX C/30ML; NO_ACR
SI/NC; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; FR PLAST PO X 100 G; NO_ACR
1228300880128; BISUISAN; BISUISAN; NOT FOUND; 12 ENV X 5.5 G PO; NO_ACR
1228300880071; BISUISAN; BISUISAN; NOT FOUND; 12 ENV X 5 G PO; NO_ACR
1228300880136; BISUISAN; BISUISAN; NOT FOUND; 25 ENV X 5.5 G PO; NO_ACR
1228300880098; BISUISAN; BISUISAN; NOT FOUND; FR X 50 G PO; NO_ACR
1781700550018; BISUISAN; BISUISAN; NOT FOUND; PO OR CT FR PLAS OPC X 50 G; NO_ACR
1781700550042; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 25 ENV AL POLIET X 5.5 G; NO_ACR
1781700550034; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 12 ENV AL POLIET X 5.5 G; NO_ACR
ISENTO; BICARB.SÓDIO; BICARB SODIO; BICARBONATO SODIO; 100GRS.PO.CX. 12 UN; NO_ACR
ISENTO; BICARB.SÓDIO; BICARB SODIO; BICARBONATO SODIO; 100GRS.PO.TB. 12 UN; NO_ACR
1092201000039; BEVIT; BEVIT; NOT FOUND; XPE FR C/ 100 ML; NO_ACR
1092201000012; BEVIT; BEVIT; NOT FOUND; DRG CX C/ 20; NO_ACR
1092201000020; BEVIT; BEVIT; NOT FOUND; DRG CX C/ 60; NO_ACR
1103901700017; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 14 ; NO_ACR
1103901700025; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 28; NO_ACR
1103901700033; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 98 EMB HOSP; NO_ACR
1121304190051; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 30; NO_ACR
1121304190033; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 15; NO_ACR
1041500400015; BORALINA; BORALINA; NOT FOUND; LIQUIDA - FRASCO 100ML; NO_ACR
1041500400023; BORALINA; BORALINA; NOT FOUND; CREME - BISNAGA 25G; NO_ACR
1466800780020; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; COMP 6MG FR X 30; NO_ACR
1466800780012; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
1121300630010; BROZEPAX; BROZEPAX; NOT FOUND; 3 MG COM CT BL X 20; NO_ACR
1121300630029; BROZEPAX; BROZEPAX; NOT FOUND; 6 MG COM CT BL X 20; NO_ACR
1121303430049; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; NO_ACR
1121303430014; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; NO_ACR
1121303430022; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30  ; NO_ACR
1121303430030; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; NO_ACR
1064601510031; BROMOVENT; BROMOVENT; NOT FOUND; 0.250 MG/ML SOL INAL CT 10 FR PLAS GOT X 20 ML; NO_ACR
1064601510048; BROMOVENT; BROMOVENT; NOT FOUND; 0.250 MG/ML SOL INAL CT 50 FR PLAS GOT X 20 ML (EMB HOSP); NO_ACR
1064601510021; BROMOVENT; BROMOVENT; NOT FOUND; 0.250 MG/ML SOL  INAL CT FR PLAS GOT X 20 ML; NO_ACR
1121303730018; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; NO_ACR
1039405240024; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1039405240032; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1039405240016; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1121303670015; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1.0 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED ; NO_ACR
1121303670023; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4.0 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
1055001390042; BROMOPAN; BROMOPAN; NOT FOUND; 4 MG/ML SOL OR PEDIAT CT FR PLAS OPC X 20 ML + CGT; NO_ACR
1055001390034; BROMOPAN; BROMOPAN; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS OPC 120 ML + MEDIDOR GRADUADO; NO_ACR
1055001390018; BROMOPAN; BROMOPAN; NOT FOUND; 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
1092200090021; BUCLITINA; BUCLITINA; NOT FOUND; 1.5MG+7.5MG+7.5MG+10.0MG+0.5MG+0.1MG+1.0MG+1.5MG+1.0MG/ML SUS OR CT FR VD AMB X 100 ML; NO_ACR
1121301730029; BUSONID; BUSONID; NOT FOUND; 0.05 MG/DOSE AER BUCAL CT FR AL X 5 ML (100 DOSES); NO_ACR
1121301730045; BUSONID; BUSONID; NOT FOUND; 0.200 MG/DOSE  AER BUCAL CT FR AL X 5 ML (100 DOSES); NO_ACR
1121301730290; BUSONID; BUSONID; NOT FOUND; 32 MCG/ DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML (120 DOSES); NO_ACR
1121301730304; BUSONID; BUSONID; NOT FOUND; 64 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML (120 DOSES); NO_ACR
1121301730010; BUSONID; BUSONID; NOT FOUND; 0.05 MG/DOSE AER NASAL CT FR AL X 10 ML (200 DOSES); NO_ACR
1121301730053; BUSONID; BUSONID; NOT FOUND; 0.200 MG PO P/ INALACAO ADULTO CT TURBUHALER X 100 DOSES; NO_ACR
1121301730258; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NASAL CT FR PLAS OPC X 10 ML (200 DOSES); NO_ACR
1121301730282; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML(120 DOSES); NO_ACR
1121301730241; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NASAL CT FR PLAS OPC X 10 ML (200 DOSES); NO_ACR
1121301730274; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML(120 DOSES); NO_ACR
1121301730347; BUSONID; BUSONID; NOT FOUND; 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML(60 DOSES); NO_ACR
1121301730401; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15 C/INAL; NO_ACR
1121301730312; BUSONID; BUSONID; NOT FOUND; 32 MCG/ DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML (60 DOSES); NO_ACR
1121301730339; BUSONID; BUSONID; NOT FOUND; 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML(60 DOSES); NO_ACR
1121301730320; BUSONID; BUSONID; NOT FOUND; 64 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML (60 DOSES); NO_ACR
1121301730371; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15; NO_ACR
1121301730381; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15 C/INAL; NO_ACR
1121301730398; BUSONID CAPS; BUSONID CAPS; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15; NO_ACR
1121301730142; BUSONID; BUSONID; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60; NO_ACR
1121301730134; BUSONID; BUSONID; NOT FOUND; 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL; NO_ACR
1121301730266; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60; NO_ACR
1121301730150; BUSONID; BUSONID; NOT FOUND; 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL; NO_ACR
1057701510081; BUSCOVERAN COMPOSTO; BUSCOVERAN COMPOSTO; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR GOT CT FR PLAS GOT X 20 ML ; NO_ACR
1057701510047; BUSCOVERAN COMPOSTO; BUSCOVERAN COMPOSTO; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD AMB X 20 ML; NO_ACR
1057701510020; BUSCOVERAN COMPOSTO; BUSCOVERAN COMPOSTO; NOT FOUND; 10 MG + 250 MG DRG CT BL AL PLAS INC X 20; NO_ACR
1068900060011; BANIDOR; BANIDOR; NOT FOUND; 300MG COMP 25 BL AL X 4; NO_ACR
1068900060021; BANIDOR; BANIDOR; NOT FOUND; 300MG COMP 3 BL AL X 4; NO_ACR
1781700920044; BENEGRIP; BENEGRIP; NOT FOUND; 250 MG + 30 MG (VERDE) / 250 MG + 2 MG (AMARELO) COM REV BL AL PLAS IN C X 20; NO_ACR
1228300720074; BENEGRIP; BENEGRIP; NOT FOUND; 250 MG + 30 MG (VERDE) + 250 MG + 2.0 MG (AMARELO) COM REV CT 25 BL AL PLAS INC X 03 (VERDE) + 03 (AMARELO); NO_ACR
1228300720015; BENEGRIP; BENEGRIP; NOT FOUND; 25 BL X 04 COMP REVESTIDO; NO_ACR
1228300720031; BENEGRIP; BENEGRIP; NOT FOUND; 25 BL X 03 AMARELO 03 VERDE; NO_ACR
1026900620012; BRONCOFAN; BRONCOFAN; NOT FOUND; ADULTO FR SOL COM 100 ML; NO_ACR
1026900620020; BRONCOFAN; BRONCOFAN; NOT FOUND; INFANTIL FR SOL COM 100 ML; NO_ACR
1121300810027; BIOCARBO; BIOCARBO; NOT FOUND; 150 MG PO LIOF INJ CT FA VD AMB; NO_ACR
1121300810019; BIOCARBO; BIOCARBO; NOT FOUND; 50 MG PO LIOF INJ CT FA VD AMB; NO_ACR
1121300810045; BIOCARBO; BIOCARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 15 ML ; NO_ACR
1121300810037; BIOCARBO; BIOCARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 5 ML; NO_ACR
1121300810053; BIOCARBO; BIOCARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 45 ML ; NO_ACR
1376400020011; BETAZIDIM; BETAZIDIM; NOT FOUND; 1 G PO INJ CT FA VD INC + DIL X 10 ML ; NO_ACR
1376400020046; BETAZIDIM; BETAZIDIM; NOT FOUND; 1 G PO INJ CT 50 FA VD INC; NO_ACR
1376400020038; BETAZIDIM; BETAZIDIM; NOT FOUND; 1 G PO INJ CX 50 FA + 50 DIL X 10ML; NO_ACR
1376400020021; BETAZIDIM; BETAZIDIM; NOT FOUND; 2 G PO INJ CX 1 FA + DIL X 10 ML; NO_ACR
1376400020062; BETAZIDIM; BETAZIDIM; NOT FOUND; 2 G PO INJ CX 50 FA; NO_ACR
1376400020054; BETAZIDIM; BETAZIDIM; NOT FOUND; 2 G PO INJ CX 50 FA + 50 DIL X 10 ML; NO_ACR
1376400020070; BETAZIDIM; BETAZIDIM; NOT FOUND; 1 G PO INJ CT 100 FA VD INC (EMB HOSP); NO_ACR
1376400020089; BETAZIDIM; BETAZIDIM; NOT FOUND; 2 G PO INJ CT 100 FA VD INC (EMB HOSP); NO_ACR
1376400020100; BETAZIDIM; BETAZIDIM; NOT FOUND; 2 G PO INJ CT FA VD INC; NO_ACR
1057700410016; BEDOZIL; BEDOZIL; NOT FOUND; 500 MCG/ML SOL INJ CT 10 AMP VD INC X 2 ML; NO_ACR
1057700410024; BEDOZIL; BEDOZIL; NOT FOUND; 500 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML; NO_ACR
1057700410032; BEDOZIL; BEDOZIL; NOT FOUND; 2500 MCG/ML SOL INJ CT 10 AMP VD INC X 2 ML; NO_ACR
1057700410040; BEDOZIL; BEDOZIL; NOT FOUND; 2500 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML; NO_ACR
1039404760016; BELEXA; BELEXA; NOT FOUND; 1 MG + 0.133 MG + 0.33 MG + 3.33 MCG + 3.0 MG + 0.851 MG/ML XPE CT FR VD AMB X 150 ML; NO_ACR
