1126000100027; REOPRO; REOPRO; NOT FOUND; 2 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
1068901340019; RELAFLEX; RELAFLEX; NOT FOUND; 300MG + 35MG + 50MG COM CT 3 ENV AL X 4 ; NO_ACR
1068901340027; RELAFLEX; RELAFLEX; NOT FOUND; 300MG + 35MG + 50MG COM CT 36 ENV AL X 4 ; NO_ACR
1168000210014; RELAFLEX; RELAFLEX; NOT FOUND; 0.300G COMP 3 BL AL X 4; NO_ACR
1168000210022; RELAFLEX; RELAFLEX; NOT FOUND; 0.300G COMP 36 BL AL X 4; NO_ACR
1376400600026; REPRIL; REPRIL; NOT FOUND; 12.5 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
1376400600034; REPRIL; REPRIL; NOT FOUND; 12.5 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1376400600018; REPRIL; REPRIL; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; NO_ACR
1376400600050; REPRIL; REPRIL; NOT FOUND; 25 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1376400600042; REPRIL; REPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; NO_ACR
1376400600060; REPRIL; REPRIL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; NO_ACR
1376400600077; REPRIL; REPRIL; NOT FOUND; 50 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1171700300016; RITPRESS; RITPRESS; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15 ; NO_ACR
1171700300024; RITPRESS; RITPRESS; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
1171700300032; RITPRESS; RITPRESS; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; NO_ACR
1171700300040; RITPRESS; RITPRESS; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; NO_ACR
1171700300059; RITPRESS; RITPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 16; NO_ACR
1171700300067; RITPRESS; RITPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; NO_ACR
1282800010021; RHEUMAFIM; RHEUMAFIM; NOT FOUND; 10 MG + 1MG + 2500MCG + 35MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
1282800010011; RHEUMAFIM; RHEUMAFIM; NOT FOUND; 10 MG + 1MG + 2500MCG + 35MG COM REV CT 2 BL AL PLAS INC X 10; NO_ACR
1060300400016; RUBRARGIL; RUBRARGIL; NOT FOUND; FR. C/150 ML.; NO_ACR
1060300400024; RUBRARGIL; RUBRARGIL; NOT FOUND; CX. C/2 STRIPS X 8 DRG.; NO_ACR
1018701090047; RESPRIN; RESPRIN; NOT FOUND; SUSPENSAO - FR - 60 ML; NO_ACR
1018701090039; RESPRIN; RESPRIN; NOT FOUND; COMP - BL - 12 COMP; NO_ACR
1018701090039; RESPRIN; RESPRIN; NOT FOUND; COMP - DISPENSER - 50 BL C/4 COMP; NO_ACR
1014300710017; REHITRYON 75; REHITRYON 75; NOT FOUND; 75 MEQ/L SOL OR FR PLAS OPC X 500 ML; NO_ACR
1012900010016; REGULADOR XAVIER N.º 2; REGULADOR XAVIER N O 2; NOT FOUND; SOL OR CT FR VD AMB X 100 ML; NO_ACR
1013100770031; RITROMIC; RITROMIC; NOT FOUND; 500 MG COMP REV CX COM 14; NO_ACR
1068901490029; RINOMAX; RINOMAX; NOT FOUND; SOL NAS CT FR PLAST OPC GOT 30 ML 01 02; NO_ACR
1013100210017; RINOX; RINOX; NOT FOUND; FR GTS COM 15 ML; NO_ACR
1013100210025; RINOX; RINOX; NOT FOUND; INFANTIL - FR GTS COM 30 ML; NO_ACR
1039404530037; RINOS A; RINOS A; NOT FOUND; 0.5MG/ML + 9.0MG/ML + 0.1MG/ML SOL NASAL CT FR PLAS OPC GOT X 25 ML; NO_ACR
1168000260011; RINO RESFENOL; RINO RESFENOL; NOT FOUND; 0.5MG SOL NASAL F GOT X 15ML; NO_ACR
124250002004; RINOGOTAS; RINOGOTAS; NOT FOUND; 0.5MG/ML + 0.1MG/ML + 9.0 MG/ML SOL NASAL FR PLAS; NO_ACR
1026900320019; RHINODEX; RHINODEX; NOT FOUND; FR COM SOL 20 ML; NO_ACR
1252100120025; RINITIN AD; RINITIN AD; NOT FOUND; FR 15 ML; NO_ACR
1012900040010; REGULADOR XAVIER N°1; REGULADOR XAVIER N 1; NOT FOUND; SOL ORAL FR VD AMB X 100 ML; NO_ACR
1028500360011; REAFIX; REAFIX; NOT FOUND; SOLUCAO CX. FR. VD. 2 X 30ML; NO_ACR
1097100080012; RINGER SIMPLES; RINGER SIMPLES; NOT FOUND; FR 250 ML; NO_ACR
1097100080020; RINGER SIMPLES; RINGER SIMPLES; NOT FOUND; FR 500 ML; NO_ACR
1121302410011; RINGER; RINGER; NOT FOUND; 0.86 G + 0.03 G + 0.033 G/100 ML SOL INJ CX FR PLAS TRANS X 500 ML; NO_ACR
1121302490013; RINGER; RINGER; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ CX 20 FR X 500 ML COM LACTATO; NO_ACR
1121302490013; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ CX 20 FR X 500 ML; NO_ACR
1097100070051; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; BOLSA 500 ML; NO_ACR
1097100070033; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; FR 1000 ML; NO_ACR
1097100070017; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; FR 250 ML; NO_ACR
1097100070025; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; FR 500 ML; NO_ACR
1097100070068; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; BOLSA 1000 ML; NO_ACR
1097100070041; RINGER COM LACTATO DE SÓDIO; RINGER LACTATO SODIO; NOT FOUND; BOLSA 250 ML; NO_ACR
1070400020021; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; SOL INJ AMP 1000 ML; NO_ACR
1070400020031; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; SOL INJ AMP 500 ML; NO_ACR
1070400080024; RINGER SIMPLES; RINGER SIMPLES; NOT FOUND; SOL INJ AMP 500 ML; NO_ACR
1039405260017; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 30 ML ; NO_ACR
1039405260114; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 100 ML ; NO_ACR
1039405260122; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 120 ML ; NO_ACR
1039405260076; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 30 ML; NO_ACR
1039405260084; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 50 ML ; NO_ACR
1039405260092; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 60 ML ; NO_ACR
1039405260106; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC GOT X 90 ML ; NO_ACR
1039405260051; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 100 ML ; NO_ACR
1039405260068; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 120 ML ; NO_ACR
1039405260025; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 50 ML ; NO_ACR
1039405260033; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 60 ML ; NO_ACR
1039405260041; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ ML SOL NASAL CT FR PLAST OPC SPRAY X 90 ML ; NO_ACR
1039400850015; RINOSORO; RINOSORO; NOT FOUND; 9 MG/ML SOL NASAL CT FR VD AMB X 30 ML + CT GTS; NO_ACR
1068901620011; RINOSOFT S SOLUÇÃO; RINOSOFT S SOLUCAO; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; NO_ACR
1039400850010; RINOSORO; RINOSORO; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS OPC NEB X 30 ML ; NO_ACR
1039400850053; RINOSORO; RINOSORO; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS X 30 ML + CT GTS ; NO_ACR
1039400850088; RINOSORO; RINOSORO; NOT FOUND; 30 MG/ML SOL NASAL CT FR PLAST X 60 ML; NO_ACR
1039405260262; RINOSORO SIC; RINOSORO SIC; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC SPRAY INFANTIL X 50 ML; NO_ACR
1039405260149; RINOSORO SIC 3,0%; RINOSORO SIC 3 0; NOT FOUND; 30 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 50 ML; NO_ACR
1123600250051; RAPIFEN; RAPIFEN; NOT FOUND; 0.544MG - INJ - AMP - 25 AMP DE 5 ML; NO_ACR
1123600250084; RAPIFEN; RAPIFEN; NOT FOUND; 544 MCG/ML SOL INJ IV CX 5 AMP VD INC X 5 ML; NO_ACR
1123600250076; RAPIFEN; RAPIFEN; NOT FOUND; 0.544MG - INJ - AMP - 50 AMP DE 5 ML; NO_ACR
1211700760060; RINO-LASTIN; RINO LASTIN; NOT FOUND; 0.9 PCC SOL NASAL CT FR VD AMB NEB X 10 ML; NO_ACR
1055000940014; RINO AZETIN; RINO AZETIN; NOT FOUND; SOL. NASAL FR. DOSIMETRADO C/10ML; NO_ACR
1064600980024; RUBIDOX; RUBIDOX; NOT FOUND; 10 MG PO LIOF INJ CT 1 FA VD INC + DIL X 5 ML; NO_ACR
1064600980016; RUBIDOX; RUBIDOX; NOT FOUND; 50MG - CX COM 1 FR/AMP + DIL; NO_ACR
1064600980032; RUBIDOX; RUBIDOX; NOT FOUND; 50 MG PO LIOF INJ CT 1 FA VD INC; NO_ACR
1068901350014; RESFENOL; RESFENOL; NOT FOUND; 100MG/ML+2MG/ML+2MG/ML SOL ORAL FR GOT X 20ML; NO_ACR
1068901350022; RESFENOL; RESFENOL; NOT FOUND; 40MG/ML+0.6MG/ML+0.6MG/ML SOL ORAL FR VD X 100ML; NO_ACR
1171700100033; RESFEDRYL; RESFEDRYL; NOT FOUND; 100 MG/ML + 2.5 MG/ML + 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
1171700100025; RESFEDRYL; RESFEDRYL; NOT FOUND; (200MG+5MG+5MG)/5 ML SOL OR CT FR VD AMB X 100 ML; NO_ACR
1171700100092; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG/5G + 4 MG /5G+ 4MG/5G PO SOL OR CX 100 ENV AL X 5G ; NO_ACR
1171700100076; RESFEDRYL; RESFEDRYL; NOT FOUND; 400MG + 4MG + 4MG/ 5G PO SOL OR CX 50 ENV AL X 5G ; NO_ACR
1171700100106; RESFEDRYL; RESFEDRYL; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
1171700100114; RESFEDRYL; RESFEDRYL; NOT FOUND; 40 MG/ML+ 0.6 MG/ML+ 0.6 MG/ML SOL OR CT FR PLAS AMB X 100 ML; NO_ACR
1068901350030; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT FR VD AMB X 20; NO_ACR
1068901350041; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 12; NO_ACR
1068901350052; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 120 (EMB MULT); NO_ACR
1068901350067; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 200 (EMB MULT); NO_ACR
1068901350073; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 240 (EMB MULT); NO_ACR
1068901350084; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL ALU/PVC X 480 (EMB MULT); NO_ACR
1068901350197; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 20; NO_ACR
1068901350189; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 10; NO_ACR
1068901350073; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 240 (EMB MULT); NO_ACR
1171700100017; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 20; NO_ACR
1171700100068; RESFEDRYL; RESFEDRYL; NOT FOUND; (400 + 5 + 5) MG CAP GEL DURA CT 50 BL AL PLAS INC X 4 ; NO_ACR
1171700100149; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 200; NO_ACR
1171700100122; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 20; NO_ACR
1039404970010; RINOLON; RINOLON; NOT FOUND; SOL NASAL ADU FR X 10 ML; NO_ACR
1039404970037; RINOLON; RINOLON; NOT FOUND; SOL NASAL INF FR X 10 ML; NO_ACR
1011600280077; RITMONORM; RITMONORM; NOT FOUND; EV 3.5MG/ML SOL INJ CT 6 AMP VD AMB X 20ML; NO_ACR
1011600280048; RITMONORM; RITMONORM; NOT FOUND; 300MG COM REVES CT 2 BL AL PLAS AMB X 10; NO_ACR
1252100220038; RHANITAK; RHANITAK; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 8; NO_ACR
1252100220021; RHANITAK; RHANITAK; NOT FOUND; 150 MG COM CT 2 BL AL PLAS INC X 10.; NO_ACR
1062400910018; RANITIMOR 150MG; RANITIMOR 150MG; NOT FOUND; 150 MG COM REV CT STRIP AL/ AL X 20; NO_ACR
1062400910026; RANITIMOR 300MG; RANITIMOR 300MG; NOT FOUND; 300 MG COM REV CT STRIP AL /AL X 20 ; NO_ACR
1294000020016; RANITINA; RANITINA; NOT FOUND; 150MG COM CT BL AL PLAS INC X 20; NO_ACR
1096300450044; RANITHEO; RANITHEO; NOT FOUND; 150 MG COM REV CT 5 STRIP AL/AL X 4; NO_ACR
1010702010017; REQUIP; REQUIP; NOT FOUND; 0.25 MG COM REV CT BL AL PLAS OPC X 21; NO_ACR
1010702010025; REQUIP; REQUIP; NOT FOUND; 1 MG COM REV CT BL AL PLAS OPC X 21; NO_ACR
1010702010033; REQUIP; REQUIP; NOT FOUND; 2 MG COM REV CT BL AL PLAS OPC X 21; NO_ACR
1010702010041; REQUIP; REQUIP; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 21; NO_ACR
1010702010051; REQUIP; REQUIP; NOT FOUND; 0.25 MG COM REV CT BL AL PLAS OPC X 126; NO_ACR
1468200230018; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML ; NO_ACR
1468200230026; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML ; NO_ACR
1468200230034; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; NO_ACR
1468200230042; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML  ; NO_ACR
1547100040032; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; NO_ACR
1547100040016; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML ; NO_ACR
1547100040024; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML ; NO_ACR
1547100040040; RAPITRAM; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML  ; NO_ACR
1055000680019; RILAN; RILAN; NOT FOUND; 20 MG/ML SOL NAS CT FR PLAS OPC SPY X 15 ML; NO_ACR
1055000680020; RILAN; RILAN; NOT FOUND; 4O MG/ML SOL NAS CT FR PLAS OPC X 13 ML; NO_ACR
1803700050060; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 20 ML; NO_ACR
1803700050079; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 50 ML; NO_ACR
1803700050087; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 100 ML; NO_ACR
1092201100026; REUMADIL; REUMADIL; NOT FOUND; 0.01 G/G GEL CT BG AL X 60 G; NO_ACR
1092201100085; REUMADIL; REUMADIL; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; NO_ACR
1168000100021; RESFENOL; RESFENOL; NOT FOUND; 100MG SOL ORAL FR GOT X 20ML; NO_ACR
1168000100038; RESFENOL; RESFENOL; NOT FOUND; 40MG SOL ORAL FR VD X 100ML; NO_ACR
1168000100011; RESFENOL; RESFENOL; NOT FOUND; 400MG CAPS GEL FR VD X 20; NO_ACR
1112402260010; RAPTIVA; RAPTIVA; NOT FOUND; 125 MG PO LIOF INJ C/4 FR AMP VIDRO INCOLOR + 4 SERINGAS VIDRO DIL X 1.3 ML; NO_ACR
1010702790012; REVOLADE; REVOLADE; NOT FOUND; 25 MG COM REV CT BL AL/AL X 14; NO_ACR
1010702790020; REVOLADE; REVOLADE; NOT FOUND; 25 MG COM REV CT BL AL/AL X 28; NO_ACR
1010702790039; REVOLADE; REVOLADE; NOT FOUND; 50 MG COM REV CT BL AL/AL X 14; NO_ACR
1010702790047; REVOLADE; REVOLADE; NOT FOUND; 50 MG COM REV CT BL AL/AL X 28; NO_ACR
1257600220011; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 1 SER PREENC INC ; NO_ACR
1257600220021; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 4 SER PREENC INC ; NO_ACR
1257600220038; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 6 SER PREENC INC ; NO_ACR
1257600220046; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 1 SER PREENC INC; NO_ACR
1257600220054; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 4 SER PREENC INC ; NO_ACR
1257600220062; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 6 SER PREENC INC ; NO_ACR
1017100850014; RISELLE; RISELLE; NOT FOUND; 25 MG COM P/IMPL CT AMP VD INC + PINCA + APLIC; NO_ACR
1055000820019; REDUSCAR; REDUSCAR; NOT FOUND; COM. BL. C/15; NO_ACR
1055000820027; REDUSCAR; REDUSCAR; NOT FOUND; COM. BL. C/30; NO_ACR
1057701400039; RICONAZOL; RICONAZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; NO_ACR
1508200260025; RESCUVOLIN; RESCUVOLIN; NOT FOUND; 50 MG PO LIOF INJ CT FR AMP VD INC X 99 MG; NO_ACR
1508200260017; RESCUVOLIN; RESCUVOLIN; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10; NO_ACR
1121303060012; RUPAFIN; RUPAFIN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10; NO_ACR
1121303060039; RUPAFIN; RUPAFIN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 6; NO_ACR
1010702990011; RELVAR ELLIPTA; RELVAR ELLIPTA; NOT FOUND; 92 MCG + 22 MCG PO INAL OR CT STR X 14 DOSES + BAND ; NO_ACR
1010702990021; RELVAR ELLIPTA; RELVAR ELLIPTA; NOT FOUND; 92 MCG + 22 MCG PO INAL OR CT STR X 30 DOSES + BAND ; NO_ACR
1010702990038; RELVAR ELLIPTA; RELVAR ELLIPTA; NOT FOUND; 184 MCG + 22 MCG PO INAL OR CT STR X 14 DOSES + BAND  ; NO_ACR
1010702990046; RELVAR ELLIPTA; RELVAR ELLIPTA; NOT FOUND; 184 MCG + 22 MCG PO INAL OR CT STR X 30 DOSES + BAND  ; NO_ACR
1013100100092; ROSEMID; ROSEMID; NOT FOUND; 20 MG INJ CX 50 AMP 2 ML; NO_ACR
1013100100039; ROSEMID; ROSEMID; NOT FOUND; 40 MG COMP CX COM 100; NO_ACR
1013100100111; ROSEMID; ROSEMID; NOT FOUND; 40 MG COMP CX COM 20; NO_ACR
1123633520064; REMINYL; REMINYL; NOT FOUND; 12 MG COM REV CT BL AL PLAS INC X 56; NO_ACR
1123633520013; REMINYL; REMINYL; NOT FOUND; 4 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1123633520056; REMINYL; REMINYL; NOT FOUND; 8 MG COM REV CT BL AL PLAS INC X 56; NO_ACR
1123633520099; REMINYL ER; REMINYL ER; NOT FOUND; 8 MG CAP CT BL AL PLAS INC X 7; NO_ACR
1123633520110; REMINYL ER; REMINYL ER; NOT FOUND; 16 MG CAP CT BL AL PLAS INC X 28; NO_ACR
1123633520145; REMINYL ER; REMINYL ER; NOT FOUND; 24 MG CAP CT BL AL PLAS INC X 28; NO_ACR
1521300350015; REDUXGEN; REDUXGEN; NOT FOUND; 5 MG COM CT 01 BL AL PLAS INC X 30; NO_ACR
1039400820030; REUPLEX; REUPLEX; NOT FOUND; 200MG + 300MG COMP CT 2 BL AL PLAST INC X 10; NO_ACR
1015101210012; RHOPHYLAC; RHOPHYLAC; NOT FOUND; 150 MCG/ML SOL INJ CT SER VD INC X 2.0 ML; NO_ACR
1123634030011; REMICADE; REMICADE; NOT FOUND; 10 MG/ML PO LIOF CT FA VD INC X 10 ML; NO_ACR
1661400040013; REMICADE; REMICADE; NOT FOUND; 10 MG/ML PO LIOF CT FA VC INC X 10 ML; NO_ACR
1334600180017; REDUSTATIN; REDUSTATIN; NOT FOUND; 20 MG COM CT BL AL PLAST INC X 30; NO_ACR
1294000150017; REDUSTATIN; REDUSTATIN; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
1106501970011; REDUCOL; REDUCOL; NOT FOUND; 20 MG. COM. CT. C/ 1 BL X 10; NO_ACR
1106501970046; REDUCOL; REDUCOL; NOT FOUND; 20 MG. COM. CT. C/ 3 BL X 10; NO_ACR
1002900310067; RENITEC; RENITEC; NOT FOUND; IV 1 MG/ML FA 5 ML/1 MG; NO_ACR
1002900310504; RENITEC; RENITEC; NOT FOUND; 10 MG COM CT BL AL/AL X 30; NO_ACR
1002900310520; RENITEC; RENITEC; NOT FOUND; 20 MG COM CT BL AL/AL X 10; NO_ACR
1002900310512; RENITEC; RENITEC; NOT FOUND; 20 MG COM CT BL AL/AL X 30; NO_ACR
1002900310490; RENITEC; RENITEC; NOT FOUND; 5 MG COM CT BL AL/AL X 30; NO_ACR
1376400270018; REFRAT; REFRAT; NOT FOUND; 500 MG COMP. CX.50; NO_ACR
1017100770071; REMERON; REMERON; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1017100770088; REMERON; REMERON; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1017100770096; REMERON; REMERON; NOT FOUND; 45 MG COMP REV CARTUCHO 2 BL ALUMINIO PLASTICO INC; NO_ACR
1017100770101; REMERON; REMERON; NOT FOUND; 45 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1017100770142; REMERON; REMERON; NOT FOUND; 15 MG COM ORODISPERSIVEIS CT BL AL X 30; NO_ACR
1017100770169; REMERON; REMERON; NOT FOUND; 30 MG COM ORODISPERSIVEIS CT BL AL X 30; NO_ACR
1017100770193; REMERON; REMERON; NOT FOUND; 45 MG COM ORODISPERSIVEIS CT BL AL X 30; NO_ACR
