1103901150033; FURP-DESMOPRESSINA; FURP DESMOPRESSINA; NOT FOUND; 0.1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN; NO_ACR
1168800060041; FARMACART; FARMACART; NOT FOUND; PO SECO HD BIC FR PLAS X 1100 G; NO_ACR
1064600140011; FIDEINE; FIDEINE; NOT FOUND; 5 MG COM REV CT 1 BL AL PLAS INC X 20; NO_ACR
1039401870015; FYMNAL; FYMNAL; NOT FOUND; 1.5 MG + 200 MG COMP REV CT 2 BL AL PLAST INC X 10; NO_ACR
1103901050012; FURP-HIOSCINA; FURP HIOSCINA; NOT FOUND; 10 MG COM REV CX 50 ENV AL POLIET X 10 (EMB. HOSP.) ; NO_ACR
1057700640036; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
1057700640028; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 10 STR AL X 10; NO_ACR
1057700640011; FLEXDOR; FLEXDOR; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT STR AL X 8; NO_ACR
1052900120019; FERRUVIN; FERRUVIN; NOT FOUND; SOL OR CT FR PLAS AMB X 500 ML; NO_ACR
1058200090019; FLORIALGIN; FLORIALGIN; NOT FOUND; 500 MG + 30 MG COM CT 4 KRAFT X 25; NO_ACR
1120900930019; FUNED-CAPTOPRIL; FUNED CAPTOPRIL; NOT FOUND; 25 MG COM CX 50 BL AL PLAS INC X 10 (EMB. HOSP.); NO_ACR
1103901370041; FURP-CAPTOPRIL; FURP CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
1106300370025; FARMANGUINHOS CAPTOPRIL; FARMANGUINHOS CAPTOPRIL; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20; NO_ACR
1103901010029; FURP-CARBAMAZEPINA; FURP CARBAMAZEPINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 10 ( EMB HOSP); NO_ACR
1103901010053; FURP -CARBAMAZEPINA; FURP CARBAMAZEPINA; NOT FOUND; 200 MG COM CX BL AL PLAS OPC X 500  ( EMB HOSP) ; NO_ACR
1468200040014; FONTICAL; FONTICAL; NOT FOUND; FR. 1200 COMP.; NO_ACR
1468200040030; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST FR PLAS OPC X 60; NO_ACR
1468200040073; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS TRANS X 510 (EMB HOSP); NO_ACR
1468200040081; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS TRANS X 1020 (EMB HOSP); NO_ACR
1468200040049; FONTICAL; FONTICAL; NOT FOUND; 1250 MG COM  MAST CT BL AL PLAS INC X 30 ; NO_ACR
1313900070028; FAULDCARBO; FAULDCARBO; NOT FOUND; SOL. INJ. CT. FA. VD. INC. - 150MG/15ML; NO_ACR
1313900070011; FAULDCARBO; FAULDCARBO; NOT FOUND; SOL. INJ. CT. FA. VD. INC. - 50MG/5ML; NO_ACR
1313900070036; FAULDCARBO; FAULDCARBO; NOT FOUND; SOL. INJ. CX. FA. VD. INC. - 450MG/45ML; NO_ACR
1092201800036; FALEXIN (FALEXINA); FALEXIN FALEXINA; NOT FOUND; 250MG SUSP ORAL FR C/ 100 ML; NO_ACR
1092201800036; FALEXINA; FALEXINA; NOT FOUND; 250 MG/05 ML PO PREP EXTEMP CT  FR VD AMB X 100 ML (APOS REC.); NO_ACR
1235200200012; FALEXIN (FALEXINA); FALEXIN FALEXINA; NOT FOUND; 500 MG DRG CX C/ 8; NO_ACR
1092201800011; FALEXINA; FALEXINA; NOT FOUND; 500 MG DRG CT BL AL PLAS INC X 08 ; NO_ACR
1103900250015; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 2.5 PCC PO PREP EXTEMP SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
1103900250066; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 5 PCC PO PREP EXTEMP SUS OR CX 50 FR VD AMB X 60 ML (EMB. HOSP.); NO_ACR
1103900250042; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1103900250077; FURP-CEFALEXINA; FURP CEFALEXINA; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
1103901220045; FURP-CEFALOTINA; FURP CEFALOTINA; NOT FOUND; 1G CX C/50 FRASCOS-AMPOLA + CX C/50 AMPOLAS DE AGUA PARA INJECAO; NO_ACR
1027000940078; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + AMP DIL X 10 ML   ; NO_ACR
1027000940116; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
1027000940094; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; NO_ACR
1027000940086; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC +  AMP DIL  PLAS X 10 ML; NO_ACR
1027000940108; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; NO_ACR
1890000190030; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML   ; NO_ACR
1890000190049; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL  PLAS X 10 ML; NO_ACR
1890000190057; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; NO_ACR
1890000190065; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; NO_ACR
1890000190073; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
1010701700036; FORTAZ; FORTAZ; NOT FOUND; 1G PO INJ CT 01 FA VD INC + DIL 10 ML; NO_ACR
1010701700044; FORTAZ; FORTAZ; NOT FOUND;  2 G PO INJ CT 01 FA VD INC + DIL 10 ML; NO_ACR
1010703140011; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
1010703140021; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
1010703140038; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT SER PREENC VD TRANS X 0.5 ML S/ AGU; NO_ACR
1010703140046; FLUARIX TETRA; FLUARIX TETRA; NOT FOUND; SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML S/ AGU; NO_ACR
1065500440065; FUNGORAL; FUNGORAL; NOT FOUND; 2% FR X 100 ML; NO_ACR
1065500440057; FUNGORAL; FUNGORAL; NOT FOUND; 2% BG C/ 20G; NO_ACR
1065500440018; FUNGORAL; FUNGORAL; NOT FOUND; 200MG COMP. CT BL C/10; NO_ACR
1065500440026; FUNGORAL; FUNGORAL; NOT FOUND; 200MG COMP. CT BL C/30; NO_ACR
1055000960031; FUNGIROX; FUNGIROX; NOT FOUND; 80 MG/G ESMALTE P/UNHAS CT FR VD INC X 3 G; NO_ACR
1055000960041; FUNGIROX; FUNGIROX; NOT FOUND; 80 MG/G ESMALTE P/UNHAS CT FR VD INC X 6 G; NO_ACR
1055000960023; FUNGIROX; FUNGIROX; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS CGT X 15 ML; NO_ACR
1055000960015; FUNGIROX; FUNGIROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; NO_ACR
1120900860010; FUNED-CIMETIDINA; FUNED CIMETIDINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1103901170042; FURP-CIMETIDINA; FURP CIMETIDINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS AMB X 10 ( EMB HOSP); NO_ACR
1103901170050; FURP-CIMETIDINA; FURP CIMETIDINA; NOT FOUND; 200 MG COM CX 50 BL AL PLAS MARROM X 500 (EMB HOSP); NO_ACR
1376400150012; FLOXEN; FLOXEN; NOT FOUND; 0.2% SOL INJ CT FA PLAS INC X 100 ML; NO_ACR
1376400150098; FLOXEN; FLOXEN; NOT FOUND; 0.2% SOL INJ CT FA VD INC X 100 ML; NO_ACR
1376400150055; FLOXEN; FLOXEN; NOT FOUND; 250 MG COM REV CT BL AL AMB X 50; NO_ACR
1376400150111; FLOXEN; FLOXEN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 50; NO_ACR
1376400150101; FLOXEN; FLOXEN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
1313900010033; FAULDCISPLA; FAULDCISPLA; NOT FOUND; SOL. INJ. CT. FA. VD. AMB. - 100MG/100ML; NO_ACR
1313900010017; FAULDCISPLA; FAULDCISPLA; NOT FOUND; SOL. INJ. CT. FA. VD. AMB. - 10MG/10ML; NO_ACR
1313900010025; FAULDCISPLA; FAULDCISPLA; NOT FOUND; SOL. INJ. CT. FA. VD. AMB. - 50MG/50ML; NO_ACR
1313900120017; FAULDCITA; FAULDCITA; NOT FOUND; SOL. INJ. CT. 5 FA. VD. INC. - 100MG/1ML; NO_ACR
1313900120051; FAULDCITA; FAULDCITA; NOT FOUND; SOL. INJ. CT. 5 FA. VD. INC. - 100MG/5ML; NO_ACR
1313900120025; FAULDCITA; FAULDCITA; NOT FOUND; SOL. INJ. CT. 5 FA. VD. INC. - 500MG/5ML; NO_ACR
1313900120076; FAULDCITA; FAULDCITA; NOT FOUND; SOL. INJ. CT. ONCOFRASCO - 2G/20ML; NO_ACR
1313900120033; FAULDCITA; FAULDCITA; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 10 ML; NO_ACR
1313900120041; FAULDCITA; FAULDCITA; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 20 ML; NO_ACR
1123600270042; FENTANIL; FENTANIL; NOT FOUND; 50MCG - INJ - AMP - 25 AMP 5 ML; NO_ACR
1123600270018; FENTANIL; FENTANIL; NOT FOUND; 50MCG - INJ - AMP - 25 FR.AMP 10 ML; NO_ACR
1123600270115; FENTANIL; FENTANIL; NOT FOUND; 50 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML; NO_ACR
1123600270123; FENTANIL; FENTANIL; NOT FOUND; 50 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML; NO_ACR
1123600270131; FENTANIL; FENTANIL; NOT FOUND; 50 MCG/ML SOL INJ CX 5 AMP VD INC X 5 ML; NO_ACR
1123600270107; FENTANIL; FENTANIL; NOT FOUND; 50MCG - INJ - AMP - 50 AMP 5 ML; NO_ACR
1123600270026; FENTANIL; FENTANIL; NOT FOUND; 50MCG - INJ - AMP - 50 FR.AMP 2 ML; NO_ACR
1468200190016; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 2ML ; NO_ACR
1468200190024; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 2ML; NO_ACR
1468200190032; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX  50 AMP VD INC X 2ML ; NO_ACR
1468200190040; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 10ML; NO_ACR
1468200190067; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 10ML ; NO_ACR
1468200190059; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 25 AMP VD INC X 10ML ; NO_ACR
1547100050054; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 25 AMP VD INC X 10ML ; NO_ACR
1547100050046; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 10ML; NO_ACR
1547100050011; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 1 AMP VD INC X 2ML ; NO_ACR
1547100050062; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 10ML ; NO_ACR
1547100050021; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX 5 AMP VD INC X 2ML; NO_ACR
1547100050038; FENDROP; FENDROP; NOT FOUND; 78.60 MCG/ML SOL INJ CX  50 AMP VD INC X 2ML ; NO_ACR
1103900540023; FURP-SAIS PARA REIDRAT.ORAL; FURP SAIS PARA REIDRAT ORAL; NOT FOUND; PO OR CX 100 ENV AL POLIET X 27.9 G  (EMB HOSP); NO_ACR
1171700270011; FISIOSEPT; FISIOSEPT; NOT FOUND; 0.9 G/ 100 ML SOL TOP CT FR PLAS TRANSP X 500 ML; NO_ACR
1168800040202; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (137+ 1.5+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1168800040024; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (137+ 1.5+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1168800040083; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.0+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1168800040091; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.0+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1168800040105; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 1.5+ 3.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1168800040121; FARMARIN CPHD; FARMARIN CPHD; NOT FOUND; (138+ 2.0+ 2.5+ 1.0) MEQ/L + 1.0 G/L SOL HEMO CX FR PLAS TRANS X 5 L; NO_ACR
1121302460084; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ BOLSA PLAS TRANS X 1000 ML; NO_ACR
1121302460041; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ BOLSA PLAS TRANS X 250 ML; NO_ACR
1121302460025; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ BOLSA PLAS TRANS X 500 ML; NO_ACR
1121302460076; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ 10 FR PLAS TRANS X 1000 ML; NO_ACR
1121302460051; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ 60 FR PLAS TRANS X 125 ML; NO_ACR
1121302460033; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ 40 FR PLAS TRANS X 250 ML; NO_ACR
1121302460017; FISIOLÓGICO; FISIOLOGICO; NOT FOUND; 0.9% SOL INJ 20 FR PLAS TRANS X 500 ML; NO_ACR
1186100230023; FLUIDIN; FLUIDIN; NOT FOUND; XPE ADU FR COM 100 ML; NO_ACR
1186100230031; FLUIDIN; FLUIDIN; NOT FOUND; XPE PEDIATRICO FR COM 100 ML; NO_ACR
1055000810021; FLUXOL; FLUXOL; NOT FOUND; XPE ADU FR. C/120 ML; NO_ACR
1055000810031; FLUXOL; FLUXOL; NOT FOUND; XPE INF FR. C/120 ML; NO_ACR
1039404920056; FONERGIN; FONERGIN; NOT FOUND; (10 + 0.20 + 0.05 + 0.40 + 1.20) MG/ML COLUT CT FR VD AMB X 15 ML VAL SPRAY; NO_ACR
1039404920031; FONERGIN; FONERGIN; NOT FOUND; (5 MG + 0.20 MG+ 0.20 MG+ 0.40 MG + 0.60) MG PAS CT 2 ENV AL POL X 6; NO_ACR
1120900150013; FUNED-AMITRIPTILINA; FUNED AMITRIPTILINA; NOT FOUND; 25 MG COM CX ENV AL POLIET X 200 (EMB HOSP); NO_ACR
1211700620315; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR NEB X 30 ML (SABOR CEREJA); NO_ACR
1211700620014; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR NEB X 30 ML (SABOR MENTA); NO_ACR
1211700620099; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR VD X 150 ML (SABOR LARANJA); NO_ACR
1211700620022; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR 150 ML TRADICIONAL; NO_ACR
1211700620171; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250 ML + CP MED (SABOR CEREJA); NO_ACR
1211700620161; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250 ML + CP MED (SABOR LARANJA); NO_ACR
1211700620188; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250 ML + CP MED (SABOR LIMAO); NO_ACR
1211700620153; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250 ML + CP MED (SABOR MENTA); NO_ACR
1211700390047; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; LIQ FR X 100 ML; NO_ACR
1211700620049; FLOGORAL; FLOGORAL; NOT FOUND; CREM DENT BG X 70 G; NO_ACR
1211700390012; FLOGO-ROSA; FLOGO ROSA; NOT FOUND; PO EXT 10 ENV X 9.4 G; NO_ACR
1211700620129; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR CEREJA); NO_ACR
1211700620137; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR LARANJA); NO_ACR
1211700620110; FLOGORAL; FLOGORAL; NOT FOUND; PAS 3 STR X 4 (SABOR LIMAO); NO_ACR
1211700620145; FLOGORAL; FLOGORAL; NOT FOUND; 3 MG PAS DROPS CT 3 STRIP PAPEL POLI/AL POLI X 4 (SABOR MENTA); NO_ACR
1313400040014; FLOBAC; FLOBAC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
1313400040030; FLOBAC; FLOBAC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1313400040049; FLOBAC; FLOBAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
131340004; FLOBAC; FLOBAC; NOT FOUND; CX 10 COMP; NO_ACR
1313400040065; FLOBAC; FLOBAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1313900140018; FAULDAUNO; FAULDAUNO; NOT FOUND; SOL. INJ. CT. FA. VD. INC. - 20MG/4ML; NO_ACR
1103901620072; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30 (EMB HOSP); NO_ACR
1103901620080; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); NO_ACR
1103901620099; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP) ; NO_ACR
1103901620201; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); NO_ACR
1103901620161; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30 (EMB HOSP) ; NO_ACR
1103901620171; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP) ; NO_ACR
1103901620188; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); NO_ACR
1103901620196; FURP-DONEPEZILA; FURP DONEPEZILA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP) ; NO_ACR
1313900050019; FAULDOXO; FAULDOXO; NOT FOUND; SOL. INJ. CT. FA. VD. INC. - 10MG/5ML; NO_ACR
1313900050027; FAULDOXO; FAULDOXO; NOT FOUND; SOL. INJ. CT. FA. VD. INC. - 50MG/25ML; NO_ACR
1781700330026; FLUVIRAL; FLUVIRAL; NOT FOUND; (400 + 4 + 4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT); NO_ACR
1228300920022; FLUVIRAL; FLUVIRAL; NOT FOUND; FR X 100 ML ELIXIR; NO_ACR
1228300920081; FLUVIRAL; FLUVIRAL; NOT FOUND; 25 BL X 06 COMP; NO_ACR
1228300920049; FLUVIRAL; FLUVIRAL; NOT FOUND; 01 BL X 06 COMP; NO_ACR
1228300920073; FLUVIRAL; FLUVIRAL; NOT FOUND; 25 BL X 04 COMP REVESTIDO; NO_ACR
1055001340029; FEXODANE; FEXODANE; NOT FOUND; 120 MG COM REV CT STR AL/AL X 10; NO_ACR
1055001340010; FEXODANE; FEXODANE; NOT FOUND; 180 MG COM REV CT STR AL/AL X 10; NO_ACR
