66855, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, BF8
8563, PREDMICIN , PREDMICIN, NOT FOUND, CREME 15 G x 1, E3S

62274, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 250 MG x 14, E3S

60533, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 10 MG x 30, E3S

63785, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, E3S

67986, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 5 G x 50, E3S

144132, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, E3S

70877, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP CRIANCA 32 MG 60 ML x 1 (/ML), E3S

57552, PREMPRO BIFASICO , PREMPRO BIFASICO, NOT FOUND, CPR REVEST x 28, E3S

57164, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, E3S

63784, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, E3S

82908, PLAQUEVIX , PLAQUEVIX, NOT FOUND, CPR REV . 75 MG x 28, E3S

63163, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 7, E3S

58040, PENVIR , PENVIR, NOT FOUND, CPR REVEST 500 MG x 14, E3S

56751, PENVIR LABIA , PENVIR LABIA, NOT FOUND, CREME 2 G x 1, E3S

62273, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 500 MG x 14, E3S

53283, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 250 MG x 10, E3S

60459, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, CPR 500 MG x 12, E3S

106115, POMAGLOS AMENDOAS , POMAGLOS AMENDOAS, NOT FOUND, CREME 45 G x 1, E3S

51515, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 80 MG x 30, E3S

58773, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, E3S

66551, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), E3S

57786, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 20, E3S

53284, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 500 MG x 10, E3S

47106, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, AMP. 1 MG 1 ML x 10, E3S

70011, PANTEVIT , PANTEVIT, NOT FOUND, SH.NORMAIS 200 ML x 1, E3S

60536, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 5 MG x 30, E3S

90826, PONDIX , PONDIX, NOT FOUND, CPR REVEST 20 MG x 30, E3S

47562, PANTEVIT , PANTEVIT, NOT FOUND, SOLN 150 ML x 1, E3S

57429, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, E3S

71582, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 60, E3S

60857, POLICLAVUMOXIL BD , POLICLAVUMOXIL BD, NOT FOUND, SUSP 400 MG 70 ML x 1 (/5ML), E3S

60460, POLICLAVUMOXIL , POLICLAVUMOXIL, NOT FOUND, CPR 500 MG x 18, E3S

70013, PANTEVIT , PANTEVIT, NOT FOUND, SH.OLEOSOS 200 ML x 1, E3S

68502, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, FAS

70880, PAXORAL , PAXORAL, NOT FOUND, CAPS 7 MG x 10 (ADLT), FAS

63877, PERIDAL , PERIDAL, NOT FOUND, CPR 10 MG x 30, FAS

63878, PERIDAL , PERIDAL, NOT FOUND, CPR 10 MG x 60, FAS

48486, PEPTULAN , PEPTULAN, NOT FOUND, CPR 120 MG x 28, FAS

8784, PSICOSEDIN , PSICOSEDIN, NOT FOUND, CPR 10 MG x 20, FAS

57374, PANGEST , PANGEST, NOT FOUND, CAPS 10 MG x 20, FAS

66571, PARAPSYL , PARAPSYL, NOT FOUND, SACHETS 10 G x 10, FAS

50297, PENTOX , PENTOX, NOT FOUND, AMP. 100 MG 5 ML x 5, FAS

50298, PENTOX , PENTOX, NOT FOUND, CPR 400 MG x 20, FAS

68501, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, FAS

68500, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), FAS

70881, PAXORAL , PAXORAL, NOT FOUND, CAPS 3.50 MG x 10 (PAED), FAS

91073, PAXORAL , PAXORAL, NOT FOUND, CAPS 7 MG x 30, FAS

71724, PERIDAL , PERIDAL, NOT FOUND, SUSP 1 MG 100 ML x 1 (/ML), FAS

8786, PSICOSEDIN , PSICOSEDIN, NOT FOUND, CPR 25 MG x 20, FAS

80661, PIOTAZ , PIOTAZ, NOT FOUND, CPR 45 MG x 15, GM2

71282, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP ORAL 32 MG 60 ML x 1 (/ML), GM2

66775, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, GM2

66776, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, GM2

71284, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, GM2

69758, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 200, GM2

66778, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, GM2

71283, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 100 MG 15 ML x 1 (/ML), GM2

80658, PIOTAZ , PIOTAZ, NOT FOUND, CPR 15 MG x 30, GM2

68940, PIROXICAM GEL MG , PIROXICAM GEL, NOT FOUND, GEL. 0.50 % 30 G x 1, GM2

69757, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 200, GM2

144149, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, GM2

66784, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, GM2

140522, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, GM2

68671, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 50, GM2

80413, PIOTAZ , PIOTAZ, NOT FOUND, CPR 15 MG x 15, GM2

66786, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), GM2

69756, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 100, GM2

91052, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, GM2

73425, PARACETA+PSEUDO MG , PARACETA PSEUDO, NOT FOUND, CPR REVEST 500 MG x 24 (/30), GM2

74238, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST 500 MG x 20 (/65), GM2

80659, PIOTAZ , PIOTAZ, NOT FOUND, CPR 30 MG x 15, GM2

80660, PIOTAZ , PIOTAZ, NOT FOUND, CPR 30 MG x 30, GM2

64010, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, GM2

72570, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 25, GM2

66779, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 20, GM2

69339, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), GM2

66777, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, GM2

70194, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 20, GM2

64009, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, GM2

160482, PRENISOL , PRENISOL, NOT FOUND, SOL ORAL 3 MG 60 ML x 1 (/ML), GM2

66785, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), GM2

76671, PIROXICAM MG , PIROXICAM, PIROXICAM, CPR SOLUVEL 20 MG x 10, GM2

66801, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, GM2

62606, PREVIANE , PREVIANE, NOT FOUND, CPR REVEST x 21, LG6

103092, PLANTARE , PLANTARE, NOT FOUND, PO EFERV 5 G x 30, LG6

58049, PRESSEL , PRESSEL, NOT FOUND, CPR 5 MG x 30, LG6

73849, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST x 20, LG6

103091, PLANTARE , PLANTARE, NOT FOUND, PO EFERV 5 G x 10, LG6

77072, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 40 MG x 14, LG6

70321, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 200, LG6

61505, POLIMOXIL , POLIMOXIL, NOT FOUND, CAPS 500 MG x 21, LG6

68301, PIROXICAM MG , PIROXICAM, PIROXICAM, GEL. 5 MG 30 G x 1 (/G), LG6

55284, PARALGEN , PARALGEN, NOT FOUND, CPR 750 MG x 20, LG6

68670, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 50, LG6

69354, PONSDRIL , PONSDRIL, NOT FOUND, CPR 500 MG x 24, LG6

68303, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, LG6

70878, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP 32 MG 60 ML x 1 (/ML), LG6

70409, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 25, LG6

143271, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 20 MG x 42, LG6

71852, PREVIANE , PREVIANE, NOT FOUND, CPR REVEST x 63, LG6

62605, PREVYOL-2 , PREVYOL 2, NOT FOUND, CPR 0.75 MG x 2, LG6

86653, PAROXILIV , PAROXILIV, NOT FOUND, CPR REV . 20 MG x 30, LG6

68305, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, LG6

68285, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN CAPIL 0.50 MG 50 G x 1 (/G), LG6

69962, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 100, LG6

77073, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 40 MG x 28, LG6

90004, PRED-GRAN , PRED GRAN, NOT FOUND, CPR 20 MG x 10, LG6

61533, PREDINIS , PREDINIS, NOT FOUND, CPR 5 MG x 20, LG6

51857, POLIMOXIL , POLIMOXIL, NOT FOUND, SUSP 250 MG 150 ML x 1 (/5ML), LG6

70879, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 100 MG 15 ML x 1 (/ML), LG6

143273, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 40 MG x 42, LG6

48217, PEPSOGEL , PEPSOGEL, NOT FOUND, SUSP ORAL 240 ML x 1, LG6

48909, PEPSOGEL , PEPSOGEL, NOT FOUND, CPR MASC x 20, LG6

61534, PREDINIS , PREDINIS, NOT FOUND, CPR 20 MG x 10, LG6

77348, PIROXICAM CPR MG , PIROXICAM CPR, NOT FOUND, CPR SOLUVEL 20 MG x 10, LG6

95135, PREVYASM , PREVYASM, NOT FOUND, CPR REVEST 3 MG x 21 (/.03), LG6

77070, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 20 MG x 14, LG6

68583, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), LG6

55285, PARALGEN , PARALGEN, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), LG6

93338, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, LG6

58050, PRESSEL , PRESSEL, NOT FOUND, CPR 10 MG x 30, LG6

58051, PRESSEL , PRESSEL, NOT FOUND, CPR 20 MG x 30, LG6

70323, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 200, LG6

52931, POMADERME , POMADERME, NOT FOUND, POMAD.BISNAG 45 G x 1, LG6

77349, PRURI-GRAN , PRURI GRAN, NOT FOUND, SOLN ORAL 2 MG 120 ML x 1 (/ML), LG6

77071, PANTOPRAP.SO SE MG , PANTOPRAP SO SE, NOT FOUND, CPR REVEST 20 MG x 28, LG6

70322, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 20, LG6

47814, PASSILEX , PASSILEX, NOT FOUND, ELIXIR 100 ML x 1, LR3

79163, PLANTACIL , PLANTACIL, NOT FOUND, GRAN ENVELO. 5 G x 50, LR3

73083, PLANTACIL , PLANTACIL, NOT FOUND, GRAN ENVELO. 5 G x 20, LR3

47813, PASSILEX , PASSILEX, NOT FOUND, CAPS x 20, LR3

58309, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), MD7

61923, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 7, MD7

51711, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 15 MG x 28, MD7

56333, PRANDIN , PRANDIN, NOT FOUND, CPR 2 MG x 30, MD7

76563, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, MD7

61977, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT IBP 7X8 x 56 +28, MD7

56331, PRANDIN , PRANDIN, NOT FOUND, CPR 0.50 MG x 30, MD7

28588, PLURIVERM , PLURIVERM, NOT FOUND, CPR 100 MG x 6, MD7

58444, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 30 G x 1, MD7

76801, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 40 MG x 30, MD7

58445, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 30 G x 1, MD7

8079, PARENZYME ANALGESI , PARENZYME ANALGESI, NOT FOUND, DRAG ENTERIC 300 MG x 18, MD7

76889, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 10 MG x 30, MD7

76565, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, MD7

115562, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST x 20, MD7

30595, PARENZYME AMPICILI , PARENZYME AMPICILI, NOT FOUND, CAPS 500 MG x 8, MD7

61924, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 14, MD7

76261, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, MD7

61921, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 14, MD7

58446, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN CAPIL 50 G x 1, MD7

59112, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT IBP 7X8 x 56, MD7

76262, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, MD7

63063, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 40 MG x 60 (/100), MD7

78030, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP ORAL 32 MG 60 ML x 1 (/ML), MD7

31028, PARENZYME AMPICILI , PARENZYME AMPICILI, NOT FOUND, CAPS 500 MG x 16, MD7

68584, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 100, MD7

54491, PLENTY , PLENTY, NOT FOUND, CAPS 15 MG x 30, MD7

51372, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 30 MG x 7, MD7

76890, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 20 MG x 30, MD7

54908, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT 7X8 x 56, MD7

68055, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, MD7

61922, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 28, MD7

76564, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 30, MD7

66445, POLICR+CL.CICHO MG , POLICR CL CICHO, NOT FOUND, POM+10 APLIC 30 G x 1, MD7

56332, PRANDIN , PRANDIN, NOT FOUND, CPR 1 MG x 30, MD7

53153, PLENTY , PLENTY, NOT FOUND, CAPS 10 MG x 30, MD7

67184, POLICR+CL.CICHO MG , POLICR CL CICHO, NOT FOUND, POM 10+10APL 3 G x 1, MD7

78029, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 100 MG 15 ML x 1 (/ML), MD7

56875, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT 10X8 x 80, MD7

63061, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 10 MG x 60 (/100), MD7

8689, PROFOL , PROFOL, NOT FOUND, CPR x 20, MD7

79000, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, MD7

58140, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, MD7

63062, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 20 MG x 60 (/100), MD7

61925, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 28, MD7

76739, PYLORIPAC RETRAT , PYLORIPAC RETRAT, NOT FOUND, KIT 10X7 x 70, MD7

8690, PROFOL , PROFOL, NOT FOUND, SUSP 100 ML x 1, MD7

51373, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 30 MG x 14, MD7

8078, PARENZYME , PARENZYME, NOT FOUND, DRAG x 16, MD7

51707, PARENZYME TETRACIC , PARENZYME TETRACIC, NOT FOUND, CAPS 500 MG x 8, MD7

61920, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 7, MD7

58141, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, MD7

51710, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 15 MG x 14, MD7

68056, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, MD7

58143, PREDSIM , PREDSIM, NOT FOUND, CPR 5 MG x 20, MQF

73453, PROCSIM , PROCSIM, NOT FOUND, CPR 500 MG x 14, MQF

68809, POLARAMINE , POLARAMINE, NOT FOUND, GOTAS 2.80 MG 20 ML x 1 (/ML), MQF

58142, PREDSIM , PREDSIM, NOT FOUND, CPR 5 MG x 10, MQF

73725, PREDSIM , PREDSIM, NOT FOUND, GOTAS 11 MG 20 ML x 1 (/ML), MQF

66454, POLARAMINE CREME , POLARAMINE CREME, NOT FOUND, CREME 30 G x 1, MQF

77077, PREDSIM , PREDSIM, NOT FOUND, SOL+P.DOSADO 3 MG 30 ML x 1 (/ML), MQF

70410, PIELUS , PIELUS, NOT FOUND, SHAMPOO 120 ML x 1, MQF

8451, POLARAMINE , POLARAMINE, NOT FOUND, REPETABS 6 MG x 12, MQF

78160, PRATIUM , PRATIUM, NOT FOUND, GOTAS 140 MG 15 ML x 1 (/ML), MQF

57385, PREDSIM , PREDSIM, NOT FOUND, SOL+P.DOSADO 15 MG 60 ML x 1 (/5ML), MQF

56509, PREDSIM , PREDSIM, NOT FOUND, SOL+P.DOSADO 15 MG 100 ML x 1 (/5ML), MQF

77076, PREDSIM , PREDSIM, NOT FOUND, GOTAS 11 MG 15 ML x 1 (/ML), MQF

73452, PROCSIM , PROCSIM, NOT FOUND, CPR 500 MG x 6, MQF

73451, PROCSIM , PROCSIM, NOT FOUND, CPR 250 MG x 6, MQF

8448, POLARAMINE , POLARAMINE, NOT FOUND, CPR 2 MG x 20, MQF

48846, POLARAMINE , POLARAMINE, NOT FOUND, LIQD 2 MG 120 ML x 1 (/5ML), MQF

73454, PROCSIM , PROCSIM, NOT FOUND, CPR 250 MG x 14, MQF

58144, PREDSIM , PREDSIM, NOT FOUND, CPR 20 MG x 10, MQF

107754, PREDSIM , PREDSIM, NOT FOUND, CPR 40 MG x 7, MQF

48697, POLARAMINE EXPT , POLARAMINE EXPT, NOT FOUND, LIQD EXPT 120 ML x 1, MQF

78955, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 40 MG x 30, N_Q

72905, PROXACIN , PROXACIN, NOT FOUND, SOLN OFTAL 3.50 MG 5 ML x 1 (/ML), N_Q

57795, PROPIOSOL , PROPIOSOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), N_Q

61349, PRADINOLOL , PRADINOLOL, NOT FOUND, CPR 40 MG x 40, N_Q

78954, PRAVASTAT SODIC MG , PRAVASTAT SODIC, NOT FOUND, CPR 10 MG x 30, N_Q

73191, PRURIFEN , PRURIFEN, NOT FOUND, XPE 1 MG 120 ML x 1 (/5ML), N_Q

61861, PRAMIDALIN , PRAMIDALIN, NOT FOUND, CPR 250 MG x 30, N_Q

68309, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 20, N_Q

66326, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME DERMAT 0.50 MG 30 G x 1 (/G), N_Q

77029, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, N_Q

69964, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, N_Q

62792, PARKLEN , PARKLEN, NOT FOUND, CPR 250 MG x 30 (/25), N_Q

59614, PRADINOLOL , PRADINOLOL, NOT FOUND, CPR 80 MG x 20, N_Q

68311, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, N_Q

98546, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, N_Q

78436, PARKLEN , PARKLEN, NOT FOUND, CPR 250 MG x 200 (/25), N_Q

