511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
511101302115415, CAPTOLIN, CAPTOLIN, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101303111413, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 01 BL AL PLAS INC X 16, HBF
511101301119417, CAPTOLIN, CAPTOLIN, NOT FOUND, 25 MG COM CT 02 BL AL PLAS INC X 15, HBF
511101501118414, CIPROFLAN (CIPROFLOXACINO), CIPROFLAN CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6, HBF
511101602119416, COMBITREX (TETRACICLINA), COMBITREX TETRACICLINA, NOT FOUND, 500 MG CAPS CX C/ 100, HBF
