1009300010043; PEGINTRON; PEGINTRON; NOT FOUND; 80 MCG/0.5 ML CT FA VD INC + AMP DIL 0.7ML; MQF
1009302070061; PREDSIM; PREDSIM; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; MQF
1009302070108; PREDSIM; PREDSIM; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 10; MQF
1009302070116; PREDSIM; PREDSIM; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; MQF
1009301270044; POLARAMINE EXPECTORANTE; POLARAMINE EXPECTORANTE; NOT FOUND; 0.40 MG/ML + 4.00 MG/ML + 20.0 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR; MQF
4545454545454; POLARAMINE EXPECTORANTE; POLARAMINE EXPECTORANTE; NOT FOUND; CONTROLE; MQF
1009300820258; POLARAMINE; POLARAMINE; NOT FOUND; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + DOS; MQF
1009300820363; POLARAMINE; POLARAMINE; NOT FOUND; 2.8MG/ML SOL OR CT FR PLAS X 40 ML; MQF
1009300820371; POLARAMINE; POLARAMINE; NOT FOUND; 2.8MG/ML SOL OR CT FR PLAS X 50 ML; MQF
1009300820382; POLARAMINE; POLARAMINE; NOT FOUND; 2.8MG/ML SOL OR CT FR PLAS X 60 ML; MQF
1009300820355; POLARAMINE; POLARAMINE; NOT FOUND; 2.8MG/ML SOL OR CT FR PLAS X 30 ML; MQF
1009300820339; POLARAMINE; POLARAMINE; NOT FOUND; 2.8MG/ML SOL OR CT FR PLAS X 10 ML; MQF
1009300820347; POLARAMINE; POLARAMINE; NOT FOUND; 2.8 MG/ML SOL OR CT FR PLAS OPC X 20 ML ; MQF
1009300820223; POLARAMINE; POLARAMINE; NOT FOUND; 10 MG / G CREM DERM CT BG AL X 30 G; MQF
1009300820023; POLARAMINE; POLARAMINE; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; MQF
1009300820371; POLARAMINE; POLARAMINE; NOT FOUND; 6 MG DRG (REPETABS) CT BL AL PLAST INC X 12; MQF
1009300820381; POLARAMINE; POLARAMINE; NOT FOUND; 2 MG COM BL AL PLAS INC X 6; MQF
1009302630014; PRATIUM; PRATIUM; NOT FOUND; 140 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; MQF
1009302680011; PRATIUM; PRATIUM; NOT FOUND; 500 MG PO PREP EXTEMP 1 ENV AL PET X 5 G (MEL E LIMAO); MQF
1009302570046; PREDSIM; PREDSIM; NOT FOUND; 40 MG COM CT BL AL PVC INC X 4; MQF
1009302570062; PREDSIM; PREDSIM; NOT FOUND; 40 MG COM CT BL AL PVC INC X 7; MQF
