510402808117410; TELOL; TELOL; NOT FOUND; 100 MG COM CT 3 BL AL PLAS INC X 10; GOB
510403107112410; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT 50 BL AL PLAS AMB X 10 (EMB HOSP); GOB
510412203171111; TARTARATO DE BRIMONIDINA; TARTARATO BRIMONIDINA; NOT FOUND; 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GOB
510412204176117; TARTARATO DE BRIMONIDINA; TARTARATO BRIMONIDINA; NOT FOUND; 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; GOB
510414070107606; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS TRANS X 10 ; GOB
510414070107706; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS TRANS X 30; GOB
510414070107806; TENOXICAM; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS TRANS X 500 (EMB HOSP); GOB
510402901117417; TITENIL; TITENIL; NOT FOUND; 20 MG COM REV CT 01 BL AL PLAS INC X 10 ; GOB
510409501165111; TIOCONAZOL + TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/ G + 30 MG/ G CREM VAG CT BG AL X 35 G + 07 APLIC; GOB
510409502161118; TIOCONAZOL + TINIDAZOL; TIOCONAZOL TINIDAZOL; NOT FOUND; 20 MG/ G + 30 MG/ G CREM VAG CX 60 BG AL X 35 G + 420 APLIC (EMB HOSP); GOB
510409601161418; TININ; TININ; NOT FOUND; 20 MG/G + 30MG/G CREM VAG CT 01 BG AL X 35 G + 7 APLIC DESC; GOB
510414040106104; TRAVOPTIC; TRAVOPTIC; NOT FOUND; 0.04 MG/ML SOL OFT CT ENV AL FR PLAS TRANS GOT X 2.5 ML ; GOB
510414040106204; TRAVOPTIC; TRAVOPTIC; NOT FOUND; 0.04 MG/ML SOL OFT CT 50 ENV AL FR PLAS TRANS GOT X 2.5 ML (EMB HOSP); GOB
510414060106606; TRAVOPROSTA; TRAVOPROSTA; TRAVOPROSTA; 0.04 MG/ML SOL OFT CT ENV AL FR PLAS TRANS GOT X 2.5 ML; GOB
510414060106706; TRAVOPROSTA; TRAVOPROSTA; TRAVOPROSTA; 0.04 MG/ML SOL OFT CT 50 ENV AL FR PLAS TRANS GOT X 2.5 ML (EMB HOSP); GOB
