510413301132119; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10MG/ML XPE CT FR VD AMB X 120ML + CP MED; GOB
510412070077006; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS TRANS X 450 (EMB HOSP); GOB
510412070076906; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS TRANS X 60; GOB
510412070076306; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS TRANS X 15; GOB
510412070076406; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS TRANS X 30; GOB
510412070076606; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS TRANS X 450 (EMB HOSP); GOB
510412070076506; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS TRANS X 60; GOB
510414903111118; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 100 (EMB HOSP); GOB
510412040070306; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVC TRANS X 150 (EMB HOSP); GOB
510412040070406; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVDC TRANS X 150 (EMB HOSP); GOB
510414901117119; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 2; GOB
510414902113117; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 3; GOB
510412040070506; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVC TRANS X 300 (EMB HOSP); GOB
510412040070606; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT BL AL PVDC TRANS X 300 (EMB HOSP); GOB
510400101113410; AMIORON; AMIORON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; GOB
510400103116417; AMIORON; AMIORON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 500 ( EMB HOSP ); GOB
510400102111411; AMIORON; AMIORON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; GOB
510400104112415; AMIORON; AMIORON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 500 ( EMB HOSP ); GOB
510415802112419; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 100 (EMB HOSP); GOB
510415808110418; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 100 (EMB HOSP); GOB
510415803119417; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 15; GOB
510415809117416; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 15; GOB
510415804115415; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 20; GOB
510415810115413; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 20; GOB
510415805111413; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 30; GOB
510415811111411; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 30; GOB
510413040082703; ARARTAN; ARARTAN; NOT FOUND; 100MG COM REV CT BL AL PVDC X 450 (EMB HOSP) ; GOB
510413040082903; ARARTAN; ARARTAN; NOT FOUND; 100MG COM REV CT BL AL PVC X 450 (EMB HOSP) ; GOB
510415806118411; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 500 (EMB HOSP); GOB
510415812118411; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 500 (EMB HOSP); GOB
510415807114411; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVC X 60; GOB
510415813114418; ARARTAN; ARARTAN; NOT FOUND; 100 MG COM REV CT BL AL PVDC X 60; GOB
510413040082603; ARARTAN; ARARTAN; NOT FOUND; 100MG COM REV CT BL AL PVDC X 600 (EMB HOSP) ; GOB
510413040082803; ARARTAN; ARARTAN; NOT FOUND; 100MG COM REV CT BL AL PVC X 600 (EMB HOSP) ; GOB
510415814110416; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 100 (EMB HOSP); GOB
510415819112417; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 100 (EMB HOSP); GOB
510415815117414; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 15; GOB
510415820110414; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 15; GOB
510415816113412; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 20; GOB
510415821117412; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 20; GOB
510415801116410; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 30; GOB
510415822113410; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 30; GOB
510413040083103; ARARTAN; ARARTAN; NOT FOUND; 50MG COM REV CT BL AL PVC X 450 (EMB HOSP) ; GOB
510413040083303; ARARTAN; ARARTAN; NOT FOUND; 50MG COM REV CT BL AL PVDC X 450 (EMB HOSP) ; GOB
510415817111413; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 500 (EMB HOSP); GOB
510415823111411; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 500 (EMB HOSP); GOB
510415818116419; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVC X 60; GOB
510415824116417; ARARTAN; ARARTAN; NOT FOUND; 50 MG COM REV CT BL AL PVDC X 60; GOB
510413040083003; ARARTAN; ARARTAN; NOT FOUND; 50MG COM REV CT BL AL PVDC X 600 (EMB HOSP) ; GOB
510413040083203; ARARTAN; ARARTAN; NOT FOUND; 50MG COM REV CT BL AL PVC X 600 (EMB HOSP) ; GOB
510412001178417; ALPHABRIN P; ALPHABRIN P; NOT FOUND; 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GOB
510412002174415; ALPHABRIN P; ALPHABRIN P; NOT FOUND; 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510412003170413; ALPHABRIN P; ALPHABRIN P; NOT FOUND; 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510412004177411; ALPHABRIN P; ALPHABRIN P; NOT FOUND; 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510412103175417; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10ML (EMB HOSP); GOB
510412105178413; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10ML (EMB HOSP); GOB
510412107170411; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP); GOB
510412101172410; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; GOB
510412104171415; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5ML (EMB HOSP); GOB
510412106174411; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5ML (EMB HOSP); GOB
510412108177418; ALPHABRIN; ALPHABRIN; NOT FOUND; 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP); GOB
510411401164113; ACETONIDA DE TRIANCINOLONA; ACETONIDA TRIANCINOLONA; NOT FOUND; 1 MG/G POM BUCAL CT BG AL X 10 G ; GOB
