1046500780021; NEO BENDAZOL; NEO BENDAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; N_Q
1046500400038; NEO BENZIL; NEO BENZIL; NOT FOUND; INJ 1.200.000UI (CX C/50 FR/AMP S/DIL); N_Q
1046502100013; NEOPIRIDIN; NEOPIRIDIN; NOT FOUND; 4MG /ML +0.5 MG/ML SOL OR TOP CT FR VD AMB SPR X 50 ML; N_Q
1046502100031; NEOPIRIDIN; NEOPIRIDIN; NOT FOUND; 1.466 MG + 10 MG PAST SIMP CT ENV AL X 12; N_Q
1046504910020; NEOCOPAN; NEOCOPAN; NOT FOUND; 6.667 MG/ML + 333.4 MG/ML SOL OR FR PLAS OPC GOT X 20 ML; N_Q
1046504910012; NEOCOPAN; NEOCOPAN; NOT FOUND; 10 MG + 250 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046502280021; NEOLEFRIN; NEOLEFRIN; NOT FOUND; 40MG + 1MG + 0.4 MG/ML XPE CT F VD AMB X 60ML; N_Q
1046502280011; NEOLEFRIN; NEOLEFRIN; NOT FOUND; COM CX 25 BL AL PLAS INC X 4(COM AMARELO) + 4 (COM LARANJA); N_Q
1046502210031; NEO CEFADRIL; NEO CEFADRIL; NOT FOUND; 50 MG/ML PO PREP EXT CT 01 FR VD AMB X 100 ML; N_Q
1046502210064; NEO CEFADRIL; NEO CEFADRIL; NOT FOUND; 500 MG CAP GEL DURA CT 2 ENV AL X 4; N_Q
1046500570073; NEO CEFLEX; NEO CEFLEX; NOT FOUND; 25MG/ML PO SUSP OR CT FR VD AMB X 60ML ; N_Q
1046500570022; NEO CEFLEX; NEO CEFLEX; NOT FOUND; 50 MG/ML PO SUSP OR CT FR VD AMB X 60ML; N_Q
1046500570091; NEOCEFLEX; NEOCEFLEX; NOT FOUND; 50 MG/ML PO SUSP OR CX 50 FR VD AMB X 60ML (EMB HOSP); N_Q
1046500570057; NEOCEFLEX; NEOCEFLEX; NOT FOUND; CP 500 MG (CX C/2 ENV C/4); N_Q
1046501350083; NEOCEFTRIONA; NEOCEFTRIONA; NOT FOUND; 1 G PO INJ CX 50 FA VD AMB + AMP DIL X 10 ML (EMB HOSP) ; N_Q
1046501350040; NEOCEFTRIONA; NEOCEFTRIONA; NOT FOUND; 1 G PO INJ CX 50 FA VD AMB + AMP DIL X 3.5 ML (EMB HOSP); N_Q
1046501350024; NEOCEFTRIONA; NEOCEFTRIONA; NOT FOUND; 500 MG PO INJ CX 50 FA VD AMB + DIL X 2 ML (EMB HOSP); N_Q
1046501350067; NEOCEFTRIONA; NEOCEFTRIONA; NOT FOUND; 500 MG PO INJ CX 50 FA VD AMB + DIL X 5 ML (EMB HOSP); N_Q
1046503450085; NAVOTRAX; NAVOTRAX; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; N_Q
1046503450026; NAVOTRAX; NAVOTRAX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20 ; N_Q
1046503450034; NAVOTRAX; NAVOTRAX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); N_Q
1046503450042; NAVOTRAX; NAVOTRAX; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 500  (EMB HOSP); N_Q
1046501830028; NEO CLODIL; NEO CLODIL; NOT FOUND; CP 0.150MG (CX C/2 BL C/15); N_Q
1046501760109; NEO FENICOL; NEO FENICOL; NOT FOUND; COL 4MG/ML (FRPL C/8ML); N_Q
1046501760125; NEO FENICOL; NEO FENICOL; NOT FOUND; 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML ; N_Q
1046500050022; NEO FENICOL; NEO FENICOL; NOT FOUND; CP 250MG (CX C/25 BL C/4); N_Q
1046501760011; NEO FENICOL; NEO FENICOL; NOT FOUND; 500 MG DRG CT 2 BL AL PLAS INC X 10; N_Q
1046502930032; NEOSORO; NEOSORO; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; N_Q
1046503030019; NEO SORO INFANTIL; NEO SORO INFANTIL; NOT FOUND; 9 MG/ML SOL NAS CT FR VD AMB X 30 ML + CGT; N_Q
1046504500019; NEOSORO H; NEOSORO H; NOT FOUND; 30 MG/ML SOL NAS CT FR PET AMB X 60 ML; N_Q
1046501520019; NEOSSOLVAN; NEOSSOLVAN; NOT FOUND; XPE AD (VD C/120ML); N_Q
1046501520027; NEOSSOLVAN; NEOSSOLVAN; NOT FOUND; XPE INF (VD C/120ML); N_Q
1046503320033; NEOFLOGIN; NEOFLOGIN; NOT FOUND; GTS 30MG/ML (VD C/20ML); N_Q
1046503320017; NEOFLOGIN; NEOFLOGIN; NOT FOUND; DRG (CX C/20); N_Q
1046501440023; NEOBUTAMINA; NEOBUTAMINA; NOT FOUND; 250 MG/20 ML SOL INJ CT 10 AMP VD INC X 20 ML ; N_Q
1046501380039; NEO DOXICILIN; NEO DOXICILIN; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 15; N_Q
1046502830021; NASOFELIN; NASOFELIN; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 10 ML; N_Q
1046502830011; NASOFELIN; NASOFELIN; NOT FOUND; 1 MG/ML SOL NAS CT FR PLAS OPC GOT X 10 ML; N_Q
1046501280069; NEO FLUOXETIN; NEO FLUOXETIN; NOT FOUND; CAP 20 MG (CX C/2 BL C/14; N_Q
1046501280050; NEO FLUOXETIN; NEO FLUOXETIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 490 (EMB HOSP); N_Q
1046501310014; NEO METFORMIN; NEO METFORMIN; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 30; N_Q
1046500790018; NEOLASIL; NEOLASIL; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB. HOSP.); N_Q
1046502920030; NEO QUIMICA COLIRIO; NEO QUIMICA COLIRIO; NOT FOUND; SOL OFTAL. 0.5+1.0+0.025MG/; N_Q
1046502110019; NEOSAC; NEOSAC; NOT FOUND; 150 MG COM REV CT BL AL PLAS AMB X 20; N_Q
1046502110027; NEOSAC; NEOSAC; NOT FOUND; 300 MG COM REV CT BL AL PLAS AMB X 20; N_Q
1046500860029; NEO VERPAMIL; NEO VERPAMIL; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046502950017; NEOLIDONA; NEOLIDONA; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 14; N_Q
1046502950025; NEOLIDONA; NEOLIDONA; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; N_Q
1046501160020; NEO CLOTRIMAZYL; NEO CLOTRIMAZYL; NOT FOUND; CREME (BG AL C/50GR); N_Q
1046500270027; NEODEX; NEODEX; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; N_Q
1046504260050; NEODEX; NEODEX; NOT FOUND; 0.1MG/ML ELX CT 50 FR VD AMB X 120ML (EMB HOSP); N_Q
1046500270019; NEODEX; NEODEX; NOT FOUND; 1MG CREM DERM CT BG AL X 15 G; N_Q
1046500270043; NEODEX; NEODEX; NOT FOUND; 0.5MG COM CT BL AL PLAS INC X 10; N_Q
1046501780037; NEOTAFLAN; NEOTAFLAN; NOT FOUND; 25 MG/ML SOL INJ CT 3 AMP VD AMB X 3 ML; N_Q
1046501780071; NEOTAFLAN; NEOTAFLAN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (EMB HOSP); N_Q
1046501780029; NEOTAFLAN; NEOTAFLAN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; N_Q
1046517800000; NEOTAFLAN; NEOTAFLAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046502270016; NEOCOFLAN; NEOCOFLAN; NOT FOUND; 11.6 MG/ G GEL CT BG AL X 60 G; N_Q
1046502270032; NEOCOFLAN; NEOCOFLAN; NOT FOUND; 11.6 MG/ G GEL CT BG AL X 30 G; N_Q
1046500900021; NEOTAREN; NEOTAREN; NOT FOUND; 75 MG SOL INJ CX 5 AMP VD AMB X 3 ML; N_Q
1046500900063; NEOTAREN; NEOTAREN; NOT FOUND; 75 MG/ML SOL INJ CX 50 AMPVD INC X 3 ML (EMB HOSP); N_Q
1046500900055; NEOTAREN; NEOTAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046502000019; NEODIGOXIN; NEODIGOXIN; NOT FOUND; CP 0.25MG (CX C/1 BL C/24); N_Q
1046502790036; NEODRIN; NEODRIN; NOT FOUND; 100 MG COM CT 40 BL AL PLAS INC X 10; N_Q
1046502790011; NEODRIN; NEODRIN; NOT FOUND; 100 MG COM CT 100 BL AL PLAS INC X 1 ; N_Q
1046502220027; NEODIMETICON; NEODIMETICON; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10ML; N_Q
1046502220061; NEODIMETICON; NEODIMETICON; NOT FOUND; 40 MG COM CT 2 BL AL  PLAS INC X 10; N_Q
1046501400031; NEOTOSS; NEOTOSS; NOT FOUND; GTS (FR C/10ML); N_Q
1046501400013; NEOTOSS; NEOTOSS; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML ; N_Q
1046501400021; NEOTOSS; NEOTOSS; NOT FOUND; 1.5 MG/ML XPE CT FR VD AMB X 60 ML ; N_Q
1046500740105; NEO ERITROMICIN; NEO ERITROMICIN; NOT FOUND; SUS 125MG/5ML (VD C/60ML); N_Q
1046500740091; NEO ERITROMICIN; NEO ERITROMICIN; NOT FOUND; SUS 250MG/5ML (VD C/60ML); N_Q
1046500740067; NEO ERITROMICIN; NEO ERITROMICIN; NOT FOUND; CP 250MG (CX C/1 BL C/12); N_Q
1046500740083; NEO ERITROMICIN; NEO ERITROMICIN; NOT FOUND; CP 500MG (CX C/1 BL C/10); N_Q
1046501880023; NEO BUTAZOL; NEO BUTAZOL; NOT FOUND; DGS 200MG (CX C/20 BL C/10); N_Q
1046502130028; NEO FURASIL; NEO FURASIL; NOT FOUND; SUS 50MG/5ML (CX C/1FRVD C/70ML); N_Q
1046502130011; NEO FURASIL; NEO FURASIL; NOT FOUND; CP 200MG (CX C/1 BL C/14); N_Q
1046501970022; NEOSEMID; NEOSEMID; NOT FOUND; INJ (CX C/50 AMP C/2ML); N_Q
1046501970030; NEOSEMID; NEOSEMID; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; N_Q
1046502380016; NEOLON-D; NEOLON D; NOT FOUND; 1.0 MG+2.5MG+0.25MG+100 000 UI CREM DERM CT BG AL X 30 G; N_Q
1046502380024; NEOLON-D; NEOLON D; NOT FOUND; 1.0MG+2.5MG+0.25MG+100 000 UI POM DERM CT BG AL X 30 G; N_Q
1046500580018; NEO HIDROCLOR; NEO HIDROCLOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; N_Q
1046502530018; NEOPRESS; NEOPRESS; NOT FOUND; 50MG+12.5MG CP (CX C/3 BL C/10); N_Q
1046502120030; NEO ITRAX; NEO ITRAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; N_Q
1046502120057; NEO ITRAX; NEO ITRAX; NOT FOUND; 100 MG CAP GEL DURA CT 3 BL AL PLAS INC X 5; N_Q
1046502120073; NEO ITRAX; NEO ITRAX; NOT FOUND; 100 MG CAP GEL DURA CX 100 BL AL PLAS INC X 5 ( EMB HOSP); N_Q
1046502810010; NEOZOL; NEOZOL; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT 2 BL AL PLAS INC X 7; N_Q
1046502810029; NEOZOL; NEOZOL; NOT FOUND; 30 MG CAP GEL DURA DESINT GRAD CT BL AL PLAS INC X 7; N_Q
1046500700037; NEO LINCO; NEO LINCO; NOT FOUND; INJ 300MG(CX C/1 AMP C/1ML); N_Q
1046500700010; NEO LINCO; NEO LINCO; NOT FOUND; INJ 600MG (CX C/1 AMP C/2ML); N_Q
1046502070084; NEO LORATADIN; NEO LORATADIN; NOT FOUND; 1.0 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; N_Q
1046502070041; NEO LORATADIN; NEO LORATADIN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 12; N_Q
1046502900044; NEOLEFRIN BABY; NEOLEFRIN BABY; NOT FOUND; 120MG/ML + 2MG/ML SOL OR CT FR VD X 15ML; N_Q
1046500280022; NEOMEBEND; NEOMEBEND; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; N_Q
1046500280010; NEOMEBEND; NEOMEBEND; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; N_Q
1046500200029; NEOVERMIN; NEOVERMIN; NOT FOUND; 20 MG/ML + 33.20 MG/ML SUS OR CT FR VD AMB X 30 ML; N_Q
1046500200037; NEOVERMIN; NEOVERMIN; NOT FOUND; COMP (CX C/1 BL C/12); N_Q
1046500200071; NEOVERMIN; NEOVERMIN; NOT FOUND; 100 MG + 166 MG COM CT BL AL PLAS INC X 6; N_Q
1046500470019; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 80 ML; N_Q
1046500470077; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 80 ML ( EMB HOSP); N_Q
1046500470050; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; 125 MG/G CREM VAG CT BG AL X 40 G + APLIC; N_Q
1046500470042; NEO METRODAZOL; NEO METRODAZOL; NOT FOUND; CP 250 MG (CX C/2 BL C/10); N_Q
1046502430031; NAPRONAX; NAPRONAX; NOT FOUND; 550 MG COM CT BL AL PLAS INC X 10; N_Q
1046504120021; NAPROXENO SÓDICO; NAPROXENO SODICO; NAPROXENO SODICO; 550 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046504120038; NAPROXENO SÓDICO; NAPROXENO SODICO; NAPROXENO SODICO; 550 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); N_Q
1046504120011; NAPROXENO SÓDICO; NAPROXENO SODICO; NAPROXENO SODICO; 550 MG COM REV CT BL AL PLAS INC X 10 ; N_Q
1046500530043; NEOPLEX; NEOPLEX; NOT FOUND; B - INJ (CX C/50 AMP C/2ML); N_Q
1046500530029; NEOPLEX; NEOPLEX; NOT FOUND; B - SOL (VD C/100ML); N_Q
1046500530035; NEOPLEX; NEOPLEX; NOT FOUND; B - GTS (VD C/20ML); N_Q
1046500530051; NEOPLEX; NEOPLEX; NOT FOUND; B - DGS (VD C/20); N_Q
1046500120017; NEOPLEX B+C; NEOPLEX B C; NOT FOUND; DGS (VD C/20); N_Q
1046501110066; NEO FEDIPINA; NEO FEDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; N_Q
1046501110074; NEO FEDIPINA; NEO FEDIPINA; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; N_Q
1046501940034; NEOSULIDA; NEOSULIDA; NOT FOUND; 50 MG/ML SUS OR (GOTAS) CT FR PLAS OPC GOT X 15 ML; N_Q
1046501940069; NEOSULIDA; NEOSULIDA; NOT FOUND; 50 MG/ML SUS OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); N_Q
1046503780026; NIMESULIDA; NIMESULIDA; NIMESULIDA;  50 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 15ML.; N_Q
1046503780018; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT  FR PLAS OPC GOT X 15 ML ; N_Q
1046504710013; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G GEL CT BG AL X 40 G ; N_Q
1046501940018; NEOSULIDA; NEOSULIDA; NOT FOUND; 100 MG COM CT BL AL PLAS AMB X 12; N_Q
1046500360042; NEO MISTATIN; NEO MISTATIN; NOT FOUND; 100.000 UI SUS OR CT FR VD AMB X 50 ML + DOSADOR; N_Q
1046502970018; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; N_Q
1046500360018; NEO MISTATIN; NEO MISTATIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLICADOR; N_Q
1046500360069; NEO MISTATIN; NEO MISTATIN; NOT FOUND; 25.000 UI/G CREM VAG CX 50 BG AL X 60 G + APLICADOR (EMB HOSP); N_Q
1046503750011; NISTATINA; NISTATINA; NISTATINA; 25.000UI/G CREM VAG CT BG AL X 60G +APLIC; N_Q
1046503750021; NISTATINA; NISTATINA; NISTATINA; 25.000UI/G CREM VAG CX 50 BG AL X 60G +APLIC (EMB HOSP); N_Q
1046504520011; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G ; N_Q
1046502820016; NEO ISOCADEN; NEO ISOCADEN; NOT FOUND; 10 MG/G CREME VAG CT BG AL X 40 G + 7 APLIC; N_Q
1046503930028; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10MG/G CREM VAG CX 50 BG AL X 40G + 50 APLI (EMBA HOSP); N_Q
1046503930011; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC ; N_Q
1046503950010; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CREM CT FR PLAS OPC GOT X 30 ML; N_Q
1046503950029; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CREM CX 50 FR PLAS OPC GOT X 30 ML (EMB HOSP); N_Q
1046504470012; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G ; N_Q
1046504210010; NITROFURAL; NITROFURAL; NITROFURAL; 2 MG/G POM CT BG AL X 30 G; N_Q
1046503240013; NEOFLOXIN; NEOFLOXIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS AMB X 14; N_Q
1046504970090; NEOFLOXIN; NEOFLOXIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; N_Q
1046504790157; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 14; N_Q
1046504790130; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 6; N_Q
1046502050016; NEOPRAZOL; NEOPRAZOL; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; N_Q
1046502050024; NEOPRAZOL; NEOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; N_Q
1046502050032; NEOPRAZOL; NEOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 07; N_Q
1046502050121; NEOPRAZOL; NEOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; N_Q
1046503100017; NEOGREIN; NEOGREIN; NOT FOUND; COM CT BL AL PLAS INC X 10; N_Q
