1046504100053; CETILPLEX; CETILPLEX; NOT FOUND; 20MG/ML XPE CT FR VD AMB X 100ML; N_Q
1046504140128; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CX BL AL PLAS INC X 160 (EMB HOSP); N_Q
1046504140101; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; N_Q
1046504070014; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20 ; N_Q
1046504070022; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; N_Q
1046503940015; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; XPE AD 50MG/ML (FR C/100ML) + COPO MEDIDA; N_Q
1046503940031; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; XPE INF 20MG/ML (FR C/100ML) + COPO MEDIDA; N_Q
1046503940023; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML ADU FR X 100ML CX C/50; N_Q
1046503940041; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE CX 50 FR VD AMB X 100ML + 50 CP MED X 10ML (EMBA HOSP); N_Q
1046503050060; CEFACLOREN; CEFACLOREN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; N_Q
1046504870010; CEFANID; CEFANID; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 8; N_Q
1046503980025; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO SOL INJ IV CX 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP); N_Q
1046500640045; CETONEO; CETONEO; NOT FOUND; SHAMPOO (FR C/100ML); N_Q
1046503060015; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; N_Q
1046500640037; CETONEO; CETONEO; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; N_Q
1046500640061; CETONEO; CETONEO; NOT FOUND; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); N_Q
1046503880012; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; N_Q
1046503880020; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CX BL AL PLAST INC X 200 (EMB. HOSP.); N_Q
1046500640012; CETONEO; CETONEO; NOT FOUND; 200 MG COM CT BL  AL PLAS INC  X 10; N_Q
1046501460067; CEPROFEN; CEPROFEN; NOT FOUND; 50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12; N_Q
1046503850016; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT BL AL PLAS INC X 10 ; N_Q
1046503850024; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP); N_Q
1046503850032; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM CT BL AL PLAS INC X 16; N_Q
1046503850040; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM CX 30 BL AL PLAS INC X 8 (EMB HOSP); N_Q
1046504450011; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; N_Q
1046503910019; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REVES CT BL AL PLAS INC X 6; N_Q
1046503910035; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500MG BL X 240; N_Q
1046503910043; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; N_Q
1046501820012; CLARINEO; CLARINEO; NOT FOUND; 250 MG COM REV CT BL AL PLAS AMB X 8 ; N_Q
1046504820013; CLORANFENICOL; CLORANFENICOL; CLORANFENICOL; 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML ; N_Q
1046502980031; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; XPE AD 6MG/M(VD C/120 ML); N_Q
1046502980013; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; XPE INF 3MG/(VD C/120 ML); N_Q
1046504020017; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM CX BL AL PLAS INC X 20 ; N_Q
1046504640023; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML (EMB HOSP); N_Q
1046504640058; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ML SOL INJ CX 50  AMP VD INC X 20 ML (EMB HOSP); N_Q
1046501340029; CONSTRICTION; CONSTRICTION; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML; N_Q
1046504490021; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP); N_Q
1046502850012; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CT AMP VD INC X 1 ML; N_Q
1046502850039; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CT AMP VD INC X 2 ML; N_Q
1046502850047; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); N_Q
1046502850020; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP); N_Q
1046504420015; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS INC GOT X 30 ML; N_Q
1046505030075; CLANISTIL; CLANISTIL; NOT FOUND; 0.25 MG/ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML; N_Q
1046503740024; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; N_Q
1046503740016; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CX 30 BL AL PLAS INC X 15 (EMB HOSP); N_Q
1046503740032; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; N_Q
1046503740040; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); N_Q
1046504810018; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10MG/G CREM DERM CT BG AL X 20G; N_Q
1046504650071; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 100MG/ML SOL OR CT FR PLAS AMB GOT X 10ML ; N_Q
1046500030034; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; N_Q
1046500030042; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREME DERM CX C/100 BISN X 20; N_Q
1046500030026; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREME DERM CX C/50 BISN X 20; N_Q
1046500030018; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10MG/G CREME DERM BISN X 50; N_Q
1046505090019; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; N_Q
1046502590053; CROMOCATO; CROMOCATO; NOT FOUND; 40 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 13 ML; N_Q
1046504320010; CROMOGLICATO DISSODICO; CROMOGLICATO DISSODICO; NOT FOUND; 40 MG/ ML SOL NAS CT FR PLAS OPC SPR X 13 ML + APLIC; N_Q
1046504800071; CROMOGLICATO DISSODICO; CROMOGLICATO DISSODICO; NOT FOUND; 40 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046502150010; CONCEPNOR; CONCEPNOR; NOT FOUND; 0.15 MG + 0.030  MG DRG CT BL AL PLAS INC X 21 ; N_Q
1046502150045; CONCEPNOR; CONCEPNOR; NOT FOUND; 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525 (EMB HOSP); N_Q
1046502150037; CONCEPNOR; CONCEPNOR; NOT FOUND; 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525; N_Q
1046502150029; CONCEPNOR; CONCEPNOR; NOT FOUND; 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 63; N_Q
1046502720011; CODERGINE; CODERGINE; NOT FOUND; 6 MG CAP GEL DURA CT BL AL PLAS X  14; N_Q
1046502240060; CEFABRINA; CEFABRINA; NOT FOUND; GTS 200MG/ML (CX C/1 FRPL C/10ML); N_Q
1046502240044; CEFABRINA; CEFABRINA; NOT FOUND; CP 500MG (CX C/25 BL C/4); N_Q
1046502240109; CEFABRINA; CEFABRINA; NOT FOUND; CP 750MG (CX C/25 BL C/4); N_Q
1046502060021; CLEAN HAIR; CLEAN HAIR; NOT FOUND; 10MG LOC EMUL CT FR PLAS OP X 60ML; N_Q
1046503900021; CENTROTABS; CENTROTABS; NOT FOUND; COM REV CT FR PLAS OPC X 30; N_Q
1046501790016; CORTICORTEN; CORTICORTEN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; N_Q
1046501790059; CORTICORTEN; CORTICORTEN; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; N_Q
1046501790040; CORTICORTEN; CORTICORTEN; NOT FOUND; 5 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP); N_Q
1046501790067; CORTICORTEN; CORTICORTEN; NOT FOUND; 20 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP); N_Q
