1516700360011; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5MG COM CT BL AL PLAS INC X 30 ; AOB
1516700050039; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 01 FA VD INC + 01 DIL AMP VD INC X 10 ML; AOB
1516700050047; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 10 ML; AOB
1516700050081; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 5 ML (EMB HOSP); AOB
1516700050063; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700050071; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO SOL INJ CT FA VD INC + AMP DIL VD INC X 5 ML; AOB
1516700050055; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700100028; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 10 ML ; AOB
1516700100036; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/ SOL INJ CT 50 FA VD INC; AOB
1516700100011; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/SOL INJ CT FA VD INC +  DIL AMP VD INC X 10 ML ; AOB
1516700090081; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO INJ  IV CT 5 FA VD INC + 5 AMP DIL X 10 ML; AOB
1516700090091; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO INJ IV  CT 25 FA VD INC + 25 AMP DIL X 10 ML; AOB
1516700090103; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO P/ SOL INJ  IV CT 50 FA VD INC (EMB HOSP); AOB
1516700090073; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO P/ SOL INJ IV CT FA VD INC + AMP DIL X 10 ML ; AOB
1516700090049; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO P/ SOL INJ IV CT FA VD INC +  DIL X 5 ML ; AOB
1516700090057; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO INJ IV CT 5 FA VD INC + 5 AMP DIL X 5 ML; AOB
1516700090065; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO INJ  IV CT 25 FA VD INC + 25 AMP DIL X 5 ML; AOB
1516700090111; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO P/ SOL INJ IV CT 50 FA VD INC (EMB HOSP); AOB
1516700130032; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 25 FA VD INC + 25 AMP DIL VD INC X 6 ML ; AOB
1516700130016; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 25 FA VD INC; AOB
1516700130024; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT FA VD INC + 1 AMP DIL VD INC X 6 ML ; AOB
1516700130059; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700140011; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 25 FA VD INC  ; AOB
1516700140038; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 3 ML; AOB
1516700140046; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT  FA VD INC ; AOB
1516700140021; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT  FA VD INC X  DIL AMP VD INC X 3 ML; AOB
1516700140054; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT FA VD INC; AOB
1516700140062; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 1 G PO SOL INJ CT FA VD TRANS + BOLS PLAS TRANS SIST FECH X 100 ML; AOB
1516700140070; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 1 G PO SOL INJ CT 10 FA VD TRANS + 10 BOLS PLAS TRANS SIST FECH X 100 ML; AOB
1516700140089; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 2 G PO SOL INJ CT FA VD TRANS + BOLS PLAS TRANS SIST FECH X 100 ML; AOB
1516700140097; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 2 G PO SOL INJ CT 10 FA VD TRANS + 10 BOLS PLAS TRANS SIST FECH X 100 ML; AOB
1516700070021; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 10; AOB
1516700070048; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; AOB
1516700070013; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; AOB
1516700070031; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 10; AOB
1516700070080; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 1 BL AL PLAS INC X 06 ; AOB
1516700070056; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 10; AOB
1516700070099; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 07; AOB
1516700070072; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 07; AOB
1516700430011; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 7; AOB
1516700430028; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; AOB
1516700430036; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; AOB
1516700430044; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 70 (EMB HOSP); AOB
1516700150051; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; AOB
1516700150017; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; AOB
1516700150025; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; AOB
1516700150033; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; AOB
1516700150041; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; AOB
1516700150068; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); AOB
1516700150076; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); AOB
1516700150084; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); AOB
1516700150092; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); AOB
1516700150106; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); AOB
1516700150114; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); AOB
1516700350016; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 10; AOB
1516700350024; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 20; AOB
1516700350032; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 30; AOB
1516700020040; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT 2 STR AL/AL X 10; AOB
1516700020059; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT 1 STR AL/AL X 10; AOB
1516700020067; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT 2 STR AL/AL X 10; AOB
1516700020024; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT 3 STR AL/AL X 10; AOB
1516700020032; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150MG COM REV CT 1 STR AL/AL X 10; AOB
1516700020016; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150MG COM REV CT 3 STR AL/AL X 10; AOB
1516700270012; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 28; AOB
1516700270020; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 14; AOB
1516700270039; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 140 (EMB HOSP); AOB
1516700270047; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 280 (EMB HOSP); AOB
1516700270055; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 560 (EMB HOSP); AOB
