527314050013203; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313080011814; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313120012203; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
537700303155315; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313080011314; PEGINTRON; PEGINTRON; NOT FOUND; 148 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
537700304151313; PEGINTRON; PEGINTRON; NOT FOUND; 148 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
527313080011914; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66; NO_ACR
527313120012303; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
537700305158311; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66; NO_ACR
527313080011414; PEGINTRON; PEGINTRON; NOT FOUND; 177.6 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
537700306154311; PEGINTRON; PEGINTRON; NOT FOUND; 177.6 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
527313080012014; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
537700309153314; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313080011514; PEGINTRON; PEGINTRON; NOT FOUND; 222 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
537700308157316; PEGINTRON; PEGINTRON; NOT FOUND; 222 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
527313010008903; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT FA VD INC +  AMP DIL X 0.7 ML ; NO_ACR
527313010009003; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
527313010009103; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
527313010009203; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
527313010009303; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
527313010009403; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
527313080011614; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
537700307150318; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313010008703; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
527313010008803; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
527313010009503; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT  FA VD INC +  AMP DIL X 0.7 ML ; NO_ACR
521111801154418; PROSTAVASIN; PROSTAVASIN; NOT FOUND; 20 MCG PO LIOF CX 10 AMP VD INC; NO_ACR
541312030005304; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; NO_ACR
541312030005504; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; NO_ACR
541312030007404; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; NO_ACR
501805001158411; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; NO_ACR
501805002154418; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; NO_ACR
501805003150416; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; NO_ACR
527303101151410; PUREGON; PUREGON; NOT FOUND; 100 UI SOL INJ CT FA X 0.5 ML; NO_ACR
527303102156416; PUREGON; PUREGON; NOT FOUND; 150 UI SOL INJ CT FA X 0.5 ML; NO_ACR
527303107158417; PUREGON; PUREGON; NOT FOUND; 300 UI SOL INJ CT 1 CARPULE X 0.480ML + 6 AGULHAS P/ INJECAO; NO_ACR
527303105155410; PUREGON; PUREGON; NOT FOUND; 300 UI SOL INJ CT CARPULE X 0.525 ML + 7 AGULHAS P/INJECAO; NO_ACR
527303104159412; PUREGON; PUREGON; NOT FOUND; 50 UI SOL INJ CT FA X 0.5 ML; NO_ACR
527303108154415; PUREGON; PUREGON; NOT FOUND; 600 UI SOL INJ CT 1 CARPULE X 0.840ML + 6 AGULHAS P/ INJECAO ; NO_ACR
527303106151419; PUREGON; PUREGON; NOT FOUND; 600 UI SOL INJ CT CARPULE X 0.885 ML + 7 AGULHAS P/INJECAO; NO_ACR
527302901152316; PAVULON; PAVULON; NOT FOUND; 2 MG/ML SOL INJ CX 25 AMP VIDRO INCOLOR X 2 ML; NO_ACR
528102407136413; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR FR PLAS INC X 450 ML (SABOR GUARANA); NO_ACR
528112050012603; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR NATURAL; NO_ACR
528112050012703; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR FRAMBOESA ; NO_ACR
528112050012803; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML SABOR GUARANA; NO_ACR
528112050012903; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML  SABOR LARANJA; NO_ACR
528112050013003; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 450 ML  SABOR UVA; NO_ACR
528112050013103; POLYDRAT; POLYDRAT; NOT FOUND; SOL OR FR PLAS OPC X 450 ML  SABOR COLA; NO_ACR
514800501138426; PULMOSOLVAN; PULMOSOLVAN; NOT FOUND; 3 MG/ML XPE.INF. CT FR VD AMB X 120 ML + CP MED; NO_ACR
514800502134424; PULMOSOLVAN; PULMOSOLVAN; NOT FOUND; 6 MG/ML XPE.ADU. CT FR VD AMB X 120 ML + CP MED; NO_ACR
503600601117411; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NO_ACR
507602301113311; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; NO_ACR
507602302111310; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; NO_ACR
507602307111319; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507602306115310; PROZAC; PROZAC; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
501302801154412; PROTO-ITECAN; PROTO ITECAN; NOT FOUND; 20MG/ML SOL INJ CT FR AMP VD AMB X 5ML ; NO_ACR
505206802113416; PLAMIVON; PLAMIVON; NOT FOUND; 10 MG COM CT STR X 100 (EMB FRAC); NO_ACR
505206801117418; PLAMIVON; PLAMIVON; NOT FOUND; 10 MG COM CT STR X 12; NO_ACR
505206803136411; PLAMIVON; PLAMIVON; NOT FOUND; 4 MG/ML SOL OR GTS CT FR PLAS OPC GOT X 10 ML; NO_ACR
510609901116216; PAXIL CR; PAXIL CR; NOT FOUND; 12.5 MG COM REV LIB CONTROLADA CT BL AL PLAS OPC X 10  ; NO_ACR
510609902112214; PAXIL CR; PAXIL CR; NOT FOUND; 12.5 MG COM LIB CONTROLADA CT BL AL PLAS OPC X 30; NO_ACR
522712070025504; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
522712070025604; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
522712070025704; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
522712070025804; PRAXETINA; PRAXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
510609903119212; PAXIL CR; PAXIL CR; NOT FOUND; 25 MG COM REV LIB CONTROLADA CT BL AL PLAS OPC X 10  ; NO_ACR
510609904115210; PAXIL CR; PAXIL CR; NOT FOUND; 25 MG COM LIB CONTROLADA CT BL AL PLAS OPC X 30; NO_ACR
507200701151411; PRILONEST; PRILONEST; NOT FOUND; 30 MG/ML + 0.03 UI/ML SOL INJ 50 CARPULES VD INC X 1.8 ML; NO_ACR
505207001114412; PROPACOR; PROPACOR; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
505207002110410; PROPACOR; PROPACOR; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 20; NO_ACR
535601306117415; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 20; NO_ACR
535601305110417; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 30; NO_ACR
535601304114419; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 150 MG COMP REV CX 60; NO_ACR
535601303118410; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 20; NO_ACR
535601302111412; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 30; NO_ACR
535601301115414; PEP RANI 300 MG; PEP RANI 300; NOT FOUND; 300 MG COMP REV CX 60; NO_ACR
535400301177311; PROMIXIN; PROMIXIN; NOT FOUND; 1.000.000 UI PO INJ / INAL CX 30 FA VD INC; NO_ACR
535400302173311; PROMIXIN; PROMIXIN; NOT FOUND; 1.000.000 UI PO INJ / INAL CX 10 FA VD INC; NO_ACR
510613101153311; PROLIA; PROLIA; NOT FOUND; 60 MG SOL INJ CT SER PREENC VD INCL X 1ML; NO_ACR
540713080001803; PIELOGRAF; PIELOGRAF; NOT FOUND; 76 PCC SOL INJ CX 25 FA X 100 ML; NO_ACR
540713080001603; PIELOGRAF; PIELOGRAF; NOT FOUND; 76 PCC SOL INJ CX 25 FA X 20 ML; NO_ACR
540713080001703; PIELOGRAF; PIELOGRAF; NOT FOUND; 76 PCC SOL INJ CX 25 FA X 50 ML; NO_ACR
505300301173413; POLVILHO ANTISSÉPTICO GRANADO FRESH; POLVILHO ANTISSEPTICO GRANADO FRESH; NOT FOUND; 3.0G+0.352G+17.602G+11.735G PO TOP FR PLAS OPC 100 G; NO_ACR
505300302171414; POLVILHO ANTISSÉPTICO GRANADO; POLVILHO ANTISSEPTICO GRANADO; NOT FOUND; 3.0G+0.352G+17.602G+11.735G PO TOP FR PLAS OPC 100 G; NO_ACR
505300304172418; POLVILHO ANTISSÉPTICO GRANADO SPORT; POLVILHO ANTISSEPTICO GRANADO SPORT; NOT FOUND; 3.0G+0.352G+17.602G+11.735G PO TOP FR PLAS OPC 100 G; NO_ACR
505302901178315; POLVILHO ANTISSÉPTICO GRANADO PINK; POLVILHO ANTISSEPTICO GRANADO PINK; NOT FOUND; 3.0 G + 0.325 G + 17.602 G + 11.735 G PO TOP FR PLAS OPC 100 G; NO_ACR
505300303176411; POLVILHO ANTISSÉPTICO GRANADO; POLVILHO ANTISSEPTICO GRANADO; NOT FOUND; 3.0G+0.352G+17.602G+11.735G PO TOP FR PLAS OPC 200 G; NO_ACR
522702701117310; PREMARIN; PREMARIN; NOT FOUND; 0.3 MG DRG CT BL AL PLAS INC X 28; NO_ACR
522702702113319; PREMARIN; PREMARIN; NOT FOUND; CARTUCHO COM BLISTER COM 21 DRAGEAS MARRONS DE 0.625 MG; NO_ACR
522702703111311; PREMARIN; PREMARIN; NOT FOUND; 0.625 MG DRG CT BL AL PLAS INC X 28; NO_ACR
522702901116318; PREMELLE; PREMELLE; NOT FOUND; 0.625 MG + 2.5 MG DRG CT BL AL PLAS INC X 28; NO_ACR
522702707166410; PREMARIN; PREMARIN; NOT FOUND; 0.625 MG/G CREM VAG CT BG X 26 G + APLIC; NO_ACR
516301101173418; PENETRO; PENETRO; NOT FOUND; 33MG/ML+22MG/ML+ 22 MG/ML + 5.5MG/ML SOL INAL CT FR VD AMB X 45 ML; NO_ACR
525501701114317; PROPECIA; PROPECIA; NOT FOUND; 1 MG COM REV CT BL AL/AL X 14 ; NO_ACR
525501702110315; PROPECIA; PROPECIA; NOT FOUND; 1 MG COM REV CT BL AL/AL X 30; NO_ACR
525501802115319; PROSCAR; PROSCAR; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
521111501118416; PREVAX; PREVAX; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10; NO_ACR
521111503153413; PREVAX; PREVAX; NOT FOUND; 50 MG PO LIOF INJ CT  FA + AMP DIL X 5 ML; NO_ACR
510612120048504; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + CP MED; NO_ACR
510612120048604; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 CP MED (EMB HOSP); NO_ACR
510612120049104; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 100 ML + SER DOSAD; NO_ACR
510612120049204; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOSAD (EMB HOSP); NO_ACR
510612120048704; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; NO_ACR
510612120048804; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP); NO_ACR
510612120049304; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 120 ML + SER DOSAD; NO_ACR
510612120049404; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + 50 SER DOSAD (EMB HOSP); NO_ACR
510612120048904; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 60 ML + CP MED ; NO_ACR
510612120049004; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED  (EMB HOSP); NO_ACR
510612120049504; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS OPC X 60 ML + SER DOSAD; NO_ACR
510612120049604; PREDIPED; PREDIPED; NOT FOUND; 3 MG/ML SOL OR CX 50 FR PLAS OPC X 60 ML + 50 SER DOSAD (EMB HOSP); NO_ACR
540700202154417; PROHANCE; PROHANCE; NOT FOUND; 279.3 MG/ML SOL INJ IV CT FA VD INC X 10 ML; NO_ACR
540700203150415; PROHANCE; PROHANCE; NOT FOUND; 279.3 MG/ML SOL INJ IV CT FA VD INC X 15 ML; NO_ACR
540700201158419; PROHANCE; PROHANCE; NOT FOUND; 279.3 MG/ML SOL INJ IV CT FA VD INC X 50 ML; NO_ACR
525503301113311; PRINZIDE; PRINZIDE; NOT FOUND; 10 MG / 12.5 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
525503302111310; PRINZIDE; PRINZIDE; NOT FOUND; 20 MG / 12.5 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
524600501158410; PENTAGLOBIN; PENTAGLOBIN; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP VD INC X 10 ML; NO_ACR
524600502154419; PENTAGLOBIN; PENTAGLOBIN; NOT FOUND; 50 MG/ML SOL INJ CT FR VD INC X 100 ML; NO_ACR
519509002156412; PAMIGRAF; PAMIGRAF; NOT FOUND; 612 MG/ML SOL INJ CT 1 FA VD INC X 100 ML; NO_ACR
519509004159419; PAMIGRAF; PAMIGRAF; NOT FOUND; 612 MG/ML SOL INJ CT 10 FA VD INC X 100 ML; NO_ACR
519509003152410; PAMIGRAF; PAMIGRAF; NOT FOUND; 612 MG/ML SOL INJ CT 1 FA VD INC X 50 ML; NO_ACR
519509005155417; PAMIGRAF; PAMIGRAF; NOT FOUND; 612 MG/ML SOL INJ CT 10 FA VD INC X 50 ML; NO_ACR
519509001151417; PAMIGRAF; PAMIGRAF; NOT FOUND; 755 MG/ML SOL INJ CT 10 FA VD INC X 100 ML; NO_ACR
519509006151415; PAMIGRAF; PAMIGRAF; NOT FOUND; 755 MG/ML SOL INJ CT 1 FA VD INC X 100 ML; NO_ACR
519509007158413; PAMIGRAF; PAMIGRAF; NOT FOUND; 755 MG/ML SOL INJ CT 1 FA VD INC X 50 ML; NO_ACR
519509008154411; PAMIGRAF; PAMIGRAF; NOT FOUND; 755 MG/ML SOL INJ CT 10 FA VD INC X 50 ML; NO_ACR
525503802112413; PRINIVIL; PRINIVIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
525503803119411; PRINIVIL; PRINIVIL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
525503801116415; PRINIVIL; PRINIVIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
541112120001002; PICATO; PICATO; NOT FOUND; 150 MCG/G GEL CT 3 BG PLAS LAM X 0.47G ; NO_ACR
541112120001102; PICATO; PICATO; NOT FOUND; 500 MCG/G GEL CT 2 BG PLAS LAM X 0.47G ; NO_ACR
505613040037614; PURINETHOL; PURINETHOL; NOT FOUND; 50 MG COM CT FR VD AMB X 25; NO_ACR
513901901133412; PASMODRON; PASMODRON; NOT FOUND; FR CT GTS 15 ML SOL OR; NO_ACR
511303603116312; PROSTOKOS; PROSTOKOS; NOT FOUND; 200 MCG COM VAG CT BL AL PLAS INC X 50; NO_ACR
511303601113413; PROSTOKOS; PROSTOKOS; NOT FOUND; 25 MCG COM VAG CT 10 STR AL X 10; NO_ACR
519508202151416; PLAQUEMAX; PLAQUEMAX; NOT FOUND; 5 MG PO LIOF INJ CT 1 FA VD INC  ; NO_ACR
522714090042204; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVC TRANS X 14; NO_ACR
522714090042304; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVC TRANS X 28; NO_ACR
522714090042404; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVC TRANS X 56; NO_ACR
522714090042504; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVDC TRANS X 7; NO_ACR
522714090042604; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVDC TRANS X 14; NO_ACR
522714090042704; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVDC TRANS X 28; NO_ACR
522714090042804; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVDC TRANS X 56; NO_ACR
522714090042904; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVC TRANS X 7 ; NO_ACR
522714090043004; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVC TRANS X 14; NO_ACR
522714090043104; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVC TRANS X 28; NO_ACR
522714090043204; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVC TRANS X 56; NO_ACR
522714090043304; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVDC TRANS X 7; NO_ACR
522714090043404; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVDC TRANS X 14; NO_ACR
522714090043504; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVDC TRANS X 28; NO_ACR
522714090043604; PLENITUS; PLENITUS; NOT FOUND; 20MG COM REV CT BL AL PVDC TRANS X 56; NO_ACR
522714090043704; PLENITUS; PLENITUS; NOT FOUND; 10MG COM REV CT BL AL PVC TRANS X 7 ; NO_ACR
507500401151415; PACLIRED; PACLIRED; NOT FOUND; 6 MG / ML SOL INJ CT FA VD INC X 16.7 ML ; NO_ACR
507500402158413; PACLIRED; PACLIRED; NOT FOUND; 6 MG / ML SOL INJ CT FA VD INC X 41.7 ML ; NO_ACR
507500403154411; PACLIRED; PACLIRED; NOT FOUND; 6 MG / ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
507500602157410; PAMIRED; PAMIRED; NOT FOUND; 30 MG PO LIOF INJ CX 02 FA VD INC; NO_ACR
507500601150412; PAMIRED; PAMIRED; NOT FOUND; 60 MG PO LIOF INJ CX FA VD INC ; NO_ACR
521112040053306; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 14; NO_ACR
521112040053406; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 28; NO_ACR
521112040053506; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 42; NO_ACR
521112040053606; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 14; NO_ACR
521112040053706; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 28; NO_ACR
521112040053806; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 42; NO_ACR
517004701131423; PARACETAMOL; PARACETAMOL; PARACETAMOL; CX.C/50 FRASCOS X 10 ML 100 MG; NO_ACR
517004702138413; PARACETAMOL; PARACETAMOL; PARACETAMOL; CX.C/50 FRASCOS X 10 ML 200 MG; NO_ACR
521601601135422; PACEMOL; PACEMOL; NOT FOUND; 200MG CX. FR. GTS. 15ML; NO_ACR
532312100004906; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
532312100005006; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); NO_ACR
532301001138111; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
532312100005106; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 242 FR PLAS OPC GOT X 15 ML (EMB HOSP); NO_ACR
521122101132123; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
513901802135425; PARATERMOL; PARATERMOL; NOT FOUND; GOTAS FR COM SOL 20 ML; NO_ACR
521601602115425; PACEMOL; PACEMOL; NOT FOUND; 500MG CX. STRIP C/ 100 COMP.; NO_ACR
521601603111423; PACEMOL; PACEMOL; NOT FOUND; 500MG CX. STRIP C/ 20 COMP.; NO_ACR
521601604118421; PACEMOL; PACEMOL; NOT FOUND; 750MG CX. STRIP C/ 100 COMP.; NO_ACR
521601605114421; PACEMOL; PACEMOL; NOT FOUND; 750MG CX. STRIP C/ 12 COMP.; NO_ACR
506502501112110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20 ; NO_ACR
505209401111115; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20  ; NO_ACR
521122103119116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 20; NO_ACR
506502502119119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM   CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
505209402116110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
