505205901134413; NECRO B6; NECRO B6; NOT FOUND; SOL OR CT 6 FLAC X 10 ML; NO_ACR
522702204113317; NORDETTE; NORDETTE; NOT FOUND; 0.15 MG + 0.03 MG DRG CT BL AL PLAS INC X 63; NO_ACR
502403901111413; NASTERID - A; NASTERID A; NOT FOUND; NASTERID A / 1 MG COM REV CT 2 BL AL PLAS INC X 15; NO_ACR
537700801171312; NASONEX; NASONEX; NOT FOUND; 0.5 MG/G SUS NAS CT FR PLAS OPC SPR X 120 ATOMIZACOES ; NO_ACR
537700802178310; NASONEX; NASONEX; NOT FOUND; 0.5 MG/G SUS NAS CT FR PLAS OPC SPR X 60 ATOMIZACOES ; NO_ACR
542413080000002; NAGLAZYME; NAGLAZYME; NOT FOUND; 5.0 MG SOL INJ CT FA VD INC X 5 ML; NO_ACR
535400201156411; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX 10 AMP VD INC X 4 ML; NO_ACR
535413080000903; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX AMP VD AMB X 4 ML; NO_ACR
535413080001003; NOREPINE; NOREPINE; NOT FOUND; 8 MG SOL INJ CX 10 AMP VD AMB X 4 ML; NO_ACR
505206302137413; NOVELMIN; NOVELMIN; NOT FOUND; LIQUIDO FR 30 ML; NO_ACR
521120402119111; NAPROXENO; NAPROXENO; NAPROXENO; 250 MG COM CT BL AL PVC X 15 ; NO_ACR
503600301113419; NAXOTEC; NAXOTEC; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 24 ; NO_ACR
521120401112113; NAPROXENO; NAPROXENO; NAPROXENO; 500 MG COM CT BL AL PVC X 20 ; NO_ACR
503600302111411; NAXOTEC; NAXOTEC; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 24 ; NO_ACR
510605401178414; NIQUITIN; NIQUITIN; NOT FOUND; 14 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
510605405114313; NIQUITIN; NIQUITIN; NOT FOUND; 2 MG PAS CT BL AL/AL X 36  ; NO_ACR
510605406110311; NIQUITIN; NIQUITIN; NOT FOUND; 2 MG PAS BL AL/AL X 4  ; NO_ACR
510605402174412; NIQUITIN; NIQUITIN; NOT FOUND; 21 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
510605407117311; NIQUITIN; NIQUITIN; NOT FOUND; 4 MG PAS CT BL AL/AL X 36  ; NO_ACR
510605408113318; NIQUITIN; NIQUITIN; NOT FOUND; 4 MG PAS BL AL/AL X 4  ; NO_ACR
510605404177419; NIQUITIN; NIQUITIN; NOT FOUND; 7 MG ADES TRANSD CT ENV AL PE X 7; NO_ACR
521124902116114; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; NO_ACR
514601302119419; NIXLIDE; NIXLIDE; NOT FOUND; 100 MG/ML COM CT BL AL PLAS INC X 12; NO_ACR
521124901136111; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
514601304138410; NIXLIDE; NIXLIDE; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
505206202132411; NIDAZOLIN; NIDAZOLIN; NOT FOUND; 100.000 UI-ML SUS OR CT FR VD AMB GOT X 50 ML; NO_ACR
505206201160411; NIDAZOLIN; NIDAZOLIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 40 G + APLIC; NO_ACR
532301601161114; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC ; NO_ACR
532301602166111; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CX 100 BG AL X 60 G (EMB HOSP) + 1400 APLIC; NO_ACR
502404001163113; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC DESC X 5 G; NO_ACR
521110201110314; NITRENCORD; NITRENCORD; NOT FOUND; 10 MG COM REV CT BL AL PLAST AMB X 30; NO_ACR
521110301115113; NITRENDIPINO; NITRENDIPINO; NITRENDIPINO; 10 MG COM REV CT BL AL PLAS AMB X 30; NO_ACR
521110202117312; NITRENCORD; NITRENCORD; NOT FOUND; 20 MG COM REV CT BL AL PLAST AMB X 30; NO_ACR
521110302111111; NITRENDIPINO; NITRENDIPINO; NITRENDIPINO; 20 MG COM REV CT BL AL PLAS AMB X 30  ; NO_ACR
522712080026006; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 140 (EMB HOSP); NO_ACR
522712080025906; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 28; NO_ACR
522712080026106; NITROFURANTOINA; NITROFURANTOINA; NITROFURANTOINA; 100 MG CAP GEL DURACT BL AL PLAS INC X 280 (EMB HOSP); NO_ACR
523500101151417; NPS; NPS; NOT FOUND; 50 MG PO INJ CX 25 FA VD AMB ; NO_ACR
528112050011806; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 14; NO_ACR
528112100015104; NORFLOXINOX; NORFLOXINOX; NOT FOUND; 400 MG COM REV CT STR AL X 14; NO_ACR
521110501114110; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 14; NO_ACR
505604903114417; NORFLURIN; NORFLURIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 6; NO_ACR
521110502110119; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT STR AL X 7; NO_ACR
505604901111410; NORFLURIN; NORFLURIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 700 (EMB HOSP) ; NO_ACR
510612702110412; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
510612703117410; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 28; NO_ACR
510612704113419; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
510612705111411; NEUPINE; NEUPINE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 7; NO_ACR
510612706116415; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
510612707112413; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; NO_ACR
510612708119411; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NO_ACR
510612701114414; NEUPINE; NEUPINE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 7; NO_ACR
522702101152311; NEUMEGA; NEUMEGA; NOT FOUND; 5 MG PO LIOF INJ CX FA VD INC + FA VD INC DIL X 1 ML; NO_ACR
521110402116417; NOOTRON; NOOTRON; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
521110403139410; NOOTRON; NOOTRON; NOT FOUND; 60 MG/ML SOL OR PED CT FR VD AMB X 110 ML; NO_ACR
519514030023318; NPLATE; NPLATE; NOT FOUND; 250 MCG PO LIOF SOL INJ CT FA VD TRANS ; NO_ACR
505206001161412; NEMICINA; NEMICINA; NOT FOUND; 3.5 MG/G POM DERM CT BG PLAS X 20 G; NO_ACR
505212080019703; NEMICINA; NEMICINA; NOT FOUND; 3.5MG/G POM DERM CT BG AL X 20G ; NO_ACR
542514020000104; NESH FERRO; NESH FERRO; NOT FOUND; (40 MG DE FERRO ELEMENTAR) COM REV CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
542513080000004; NESH FÓLICO; NESH FOLICO; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
510614090052604; NASOCLEAN; NASOCLEAN; NOT FOUND; 9 MG/ML SOL NAS CT FR AL X 100ML; NO_ACR
