520718503119411; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 15; TTB
520721901138112; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; TTB
520718803139114; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 CP MED  (EMB HOSP); TTB
520718801111115; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 100  (EMB. HOSP.); TTB
520718802116110; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 20; TTB
520718806111113; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 800 MG + 160 MG COM CT BL AL PVC INC X 10; TTB
520700902151111; SULFATO DE AMICACINA; SULFATO AMICACINA; SULFATO AMICACINA; 125 MG/ML SOL INJ CT AMP VD INC X 2 ML; TTB
520700903158118; SULFATO DE AMICACINA; SULFATO AMICACINA; SULFATO AMICACINA; 250 MG/ML SOL INJ CT 50 AMP VD INC X 2ML (EMB HOSP); TTB
520700906157112; SULFATO DE AMICACINA; SULFATO AMICACINA; SULFATO AMICACINA; 50 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML (EMB HOSP); TTB
520718901130111; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML ; TTB
520718902137111; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML SOL OR CT 50 FR VD AMB X 120 ML (EMB HOSP); TTB
520718903133118; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML SOL OR CT 50 FR PET AMB X 120 ML  (EMB HOSP); TTB
520718904131119; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 0.4 MG/ML SOL OR CT FR PET AMB X 120 ML  ; TTB
