520712070082606; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
520702302135411; ASMOFEN; ASMOFEN; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 30 ML ; TTB
520726101113418; ANSIRAX; ANSIRAX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; TTB
520701601112415; ANDROFLOXIN; ANDROFLOXIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; TTB
520701802118410; ANFLENE; ANFLENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
520702201118414; ARTINIZONA; ARTINIZONA; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; TTB
520702202114412; ARTINIZONA; ARTINIZONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; TTB
520726301155416; ANDROCORTIL; ANDROCORTIL; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC + AMP DIL POLIET INC X 2 ML (EMB HOSP); TTB
520726303158412; ANDROCORTIL; ANDROCORTIL; NOT FOUND; 100 MG PO LIOF CX 50 FA VD INC (EMB HOSP); TTB
520726302151414; ANDROCORTIL; ANDROCORTIL; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC+ AMP DIL POLIET INC X 4 ML (EMB HOSP); TTB
520726304154410; ANDROCORTIL; ANDROCORTIL; NOT FOUND; 500 MG PO LIOF CX 50 FA VD INC (EMB HOSP); TTB
520700203131411; AERODINI; AERODINI; NOT FOUND; 100 MCG/DOSE AER CT TB AL X 200 DOSES; TTB
520700204179418; AERODINI; AERODINI; NOT FOUND; 100 MCG/DOSE AER CT TB AL + ESPAC X 200 DOSES; TTB
520701502114428; ANALGESIN; ANALGESIN; NOT FOUND; 100 MG COM MAST CT ENV X 200; TTB
520701501118421; ANALGESIN; ANALGESIN; NOT FOUND; 500 MG COM CT ENV X 100; TTB
520700402116412; AFOPIC; AFOPIC; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); TTB
520700401111417; AFOPIC; AFOPIC; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20 ; TTB
