520723602111111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; TTB
520713010086406; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP) ; TTB
520705001111119; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 8 ; TTB
520705004119110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM CT BL AL PLAS INC X 80 (EMB HOSP); TTB
520713030087306; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CX 50 FA VD TRANS + 50 DIL AMP FR PLAS X 4ML (EMB HOSP); TTB
520705201151114; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CT FA VD INC + DIL AMP VD INC X 4 ML; TTB
520705202158112; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO SOL INJ CX 50 FA VD INC + 50 DIL AMP VD INC X 4 ML (EMB HOSP); TTB
520714070091806; CELECOXIBE; CELECOXIBE; CELECOXIBE; 100 MG CAP DURA CT BL AL PLAS TRANS X 20; TTB
520714070091906; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 10; TTB
520714070092006; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 15; TTB
520714070092106; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 30; TTB
520705804166113; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; TTB
520705805170114; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML ; TTB
520705801116115; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; TTB
520705802112113; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CX BL AL PLAS INC X 100 (EMB HOSP); TTB
520705803119111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; TTB
520705902168412; CETOCORT; CETOCORT; NOT FOUND; 20 MG + 0.5 MG/G POM DERM CT BG AL X 30 G; TTB
520727301167110; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G; TTB
520725103163112; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G ; TTB
520705901161414; CETOCORT; CETOCORT; NOT FOUND; 20 MG + 0.5 MG/G CREM DERM CT BG AL X 30 G; TTB
520725102167114; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; TTB
520725101160116; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; TTB
520732501136118; CETOPROFENO; CETOPROFENO; CETOPROFENO; 20 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; TTB
520732801131413; CETOFENID; CETOFENID; NOT FOUND; 20 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; TTB
520732502167114; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30G; TTB
520732802160417; CETOFENID; CETOFENID; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; TTB
520706105156117; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; TTB
520726401151110; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CX 100 AMP VD INC X 2ML (EMB HOSP); TTB
520726402156116; CIMETIDINA; CIMETIDINA; CIMETIDINA; 150 MG/ML SOL INJ CX 120 AMP VD INC X 2 ML (EMB HOSP); TTB
520706102114111; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 10; TTB
520706101118113; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 100 (EMB HOSP); TTB
520706106111117; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 20; TTB
520706103110111; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM CT  BL AL PLAS LAR X 40; TTB
520706104117118; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM CT  BL AL PLAS LAR X 16; TTB
520723001118413; CIPRANE; CIPRANE; NOT FOUND; 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 EST CALEND; TTB
520733204119111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 01; TTB
520733203112111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 02; TTB
520733202116113; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 04; TTB
520733201111118; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; TTB
520732701135115; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML; TTB
520706604136121; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120ML + CP MED; TTB
520706605132111; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED ; TTB
520706606139118; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); TTB
520706601137419; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 120ML + 50 CP MED (EMB. HOSP.); TTB
520706603131124; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX FR VD AMB X 120ML + CP MED; TTB
520706607135116; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED ; TTB
520706608131114; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); TTB
520720901118415; CARDICORON; CARDICORON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; TTB
520720902114413; CARDICORON; CARDICORON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; TTB
520728801112119; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CX BL AL PLAS INC X 100 (EMB HOSP); TTB
520728802119117; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 20; TTB
520713100088606; CLORIDRATO DE AMITRIPTILINA (PORT. 344/98 LISTA C1); CLORIDRATO AMITRIPTILINA PORT 344 98 LISTA C1; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 30; TTB
520724101159411; CLOCEF; CLOCEF; NOT FOUND; 1 G PO INJ CT FR AMP VD AMB+ AMP DIL X 3.0 ML ( EMB HOSP); TTB
520724103151418; CLOCEF; CLOCEF; NOT FOUND; 1 G PO INJ CX 50 FR AMP VD AMB (EMB HOSP); TTB
520724102155411; CLOCEF; CLOCEF; NOT FOUND; 2 G PO INJ CT FR AMP VD AMB (EMB HOSP); TTB
520724104158416; CLOCEF; CLOCEF; NOT FOUND; 2 G PO INJ CX 50 FR AMP VD AMB (EMB HOSP); TTB
520712010079806; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 14; TTB
520712010079906; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVDC INC X 14; TTB
520713070087906; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 7; TTB
520706401111416; CLINDAMIN - C; CLINDAMIN C; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; TTB
520725201114116; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; TTB
520712090083806; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 320(EMB HOSP); TTB
520724201110414; CORDIL; CORDIL; NOT FOUND; 60 MG COM CT BL AL PVDC LEITOSO X 50; TTB
520724202117412; CORDIL; CORDIL; NOT FOUND; 90 MG CAP AP CT FR VD AMB X 20; TTB
520712110085306; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 250 MG  SOL INJ IV CX 50 AMP VD INC X 20 ML(EMB HOSP); TTB
520706701158116; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML; TTB
520728301152111; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5  MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP); TTB
520729901171115; CLORIDRATO DE DORZOLAMIDA + MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML; TTB
520707401115411; CLORDOX; CLORDOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS X 15; TTB
520726901111118; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; TTB
520726902116113; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 70(EMB HOSP); TTB
520712060081906; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR GOT PLAS TRANSL X 20 ML; TTB
520730001152118; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 50 FA VD INC X 20 ML (EMB HOSP) ; TTB
520706801152111; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CT AMP VD INC X 2 ML; TTB
520714010089206; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 30; TTB
520714010089406; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 500 (EMB HOSP); TTB
520714010089306; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 60; TTB
520714100092806; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520728004115114; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM CT BL AL PLAS INC X 30; TTB
520728005111112; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM CT BL AL PLAS INC X 60; TTB
520728003119116; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 30; TTB
520728001116111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520728002112118; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 60; TTB
520714402131411; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; TTB
520713110089106; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 120 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
520714401151419; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML (EMB HOSP) ; TTB
520714403152110; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 120 AMP VD INC X 2 ML (EMB HOSP); TTB
520725301178116; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; TTB
520707801172410; COLIRIO TEUTO; COLIRIO TEUTO; NOT FOUND; 0.15MG/ML + 0.3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML; TTB
520725401172111; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NASAL CT FR PLAS OPC X 20 ML ; TTB
520725402179118; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS OPC X 10 ML; TTB
520725403175116; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS OPC X 30 ML ; TTB
520712060082206; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20MG COM REV CT BL AL PLAS INC X 20 ; TTB
520732401115119; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; TTB
520713100088806; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS TRANS X 20; TTB
520714020090606; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); TTB
520706901114112; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 10 BL AL PLAS AMB X 10 (EMB HOSP); TTB
520706903117119; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 3 BL AL PLAS AMB X 10; TTB
520706904113117; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 4 BL AL PLAS AMB X 10; TTB
520706906116113; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT 2 BL AL PLAS AMB X 10; TTB
520706907112111; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT 3 BL AL PLAS AMB X 10; TTB
520707503112118; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT ENV AL X 10 ; TTB
520707501111114; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CX ENV AL X 100 (EMB HOSP); TTB
520707502116111; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT ENV AL X 20; TTB
520707508114119; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; TTB
520707002156112; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX C/ 5 AMP VD AMB X 2 ML; TTB
520707505158115; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CT 120 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
520707504119116; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT ENV AL X 10; TTB
520707507118110; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CX ENV AL X 100 (EMB HOSP); TTB
520707506111112; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT ENV AL X 20; TTB
520730501112115; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; TTB
520730503115111; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 60; TTB
520733001161111; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20G; TTB
520733701112113; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP DURA CT STR AL X 500 (EMB HOSP); TTB
520733702119111; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP DURA CT STR AL X 8; TTB
520730601117119; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20 ; TTB
520730602113117; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; TTB
520728101110113; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; TTB
520728102117111; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP); TTB
520728103156110; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP); TTB
520728104152119; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 60 AMP VD AMB X 2 ML (EMB HOSP); TTB
520725501150118; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF INJ CT FA VD INC ; TTB
520725502157116; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF INJ CX 50 FA VD INC (EMB HOSP); TTB
520707101111117; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS LARANJA X 150 (EMB HOSP); TTB
520707102118115; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS LARANJA X 30 ; TTB
520725602161115; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; TTB
520707701161417; CLOTREN; CLOTREN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 50 G; TTB
520725601163114; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G; TTB
520729401134415; CETIRTEC; CETIRTEC; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + COP MED; TTB
520704801112413; CARDCOR; CARDCOR; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520704802119411; CARDCOR; CARDCOR; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20 ; TTB
520704602111417; CARBITAL; CARBITAL; NOT FOUND; 100 MG COM CT BL AL PLAS X 20; TTB
520704603159413; CARBITAL; CARBITAL; NOT FOUND; 200 MG/ML SOL INJ CT 60 AMP VD INC X 1 ML (EMB HOSP); TTB
520706301117412; CLAMIBEN; CLAMIBEN; NOT FOUND; 5 MG COM CT  BL AL PLAS INC X 30; TTB
520708002117417; CO-PRESSOTEC; CO PRESSOTEC; NOT FOUND; 20 MG + 12.50 MG COM CT ENV AL POLIET X 30 ; TTB
520708001110419; CO-PRESSOTEC; CO PRESSOTEC; NOT FOUND; 10 MG + 25 MG COM CT ENV AL POLIET X 30 ; TTB
520707902165411; COLPATRIN; COLPATRIN; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + APLIC; TTB
520723301138411; CANDITRAT; CANDITRAT; NOT FOUND; 100.000 UI/ML SUS OR CT 50 FR VD AMB X 50 ML (EMB HOSP); TTB
520723302134418; CANDITRAT; CANDITRAT; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML; TTB
520704301160419; CANDITRAT; CANDITRAT; NOT FOUND; 25.000UI/G CREM VAG BG AL X 60 G; TTB
520706003159419; CEVITA; CEVITA; NOT FOUND; 100 MG/ML SOL INJ CT 100 AMP VD AMB X 5 ML; TTB
520706005151415; CEVITA; CEVITA; NOT FOUND; 100 MG/ML SOL INJ CT 120 AMP VD AMB X 5 ML; TTB
