77003, CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, MD7,525071504114119, CARVEDILOL, CARVEDILOL, 25 MG COM CT BL AL/AL X 30, MD7
69735, CLOR ONDANSETRO, CLORIDRATO ONDANSETRONA, CPR REVEST 8 MG x 10, GM2,526125301117111, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 8 MG COM REV CT BL AL PLAS LEIT X 10, GM2
75780, DIENZEPAX, NOT FOUND, CPR 5 MG x 20, N_Q,519028801116416, DIENZEPAX, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, N_Q
68227, CLO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, CPR 75 MG x 20, LG6,538814701115110, CLORIDRATO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20, LG6
76393, ATENEUM, NOT FOUND, CPR 25 MG x 30, N_Q,519030001113414, ATENEUM, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, N_Q
58394, ENDCOFF, NOT FOUND, PAST FRAMBUE x 12, E3S,507712202111411, ENDCOFF, NOT FOUND, PAST MEL E LIMAO C/12UN, E3S
77280, PRAZY, NOT FOUND, CPR REVEST 20 MG x 28, E3S,507742801119411, PRAZY, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, E3S
68954, CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, N_Q,519023601119119, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CX BL AL PLAS INC X 30, N_Q
61519, CLORATADD D, NOT FOUND, XAR. 60 ML x 1, E3S,507708101134416, CLORATADD D, NOT FOUND, (D1) XPE FR C/60 ML, E3S
63025, SINVASTATINA, SINVASTATINA, CPR 40 MG x 10, MD7,525011712111115, SINVASTATINA, SINVASTATINA, 40 MG COM REVEST CT BL AL PLAS INC X 10, MD7
54733, VENOPRIL, NOT FOUND, CPR 25 MG x 16, LR3,524307902111413, VENOPRIL, NOT FOUND, 25 MG COM CT FR VD AMB X 16, LR3
74335, NAPROXENO, NAPROXENO, CPR 250 MG x 15, SDZ,511514701118113, NAPROXENO, NAPROXENO, 250 MG COM CT BL AL PLAS INC X 15, SDZ
73718, BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, SDZ,511514004115112, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL ALPLAS INC X 30, SDZ
76935, BENZIFLEX, NOT FOUND, CPR REVEST 10 MG x 30, E3S,507742901113413, BENZIFLEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 30, E3S
78146, SINVASTACOR, NOT FOUND, CPR REVEST 80 MG x 30, SDZ,511508507119415, SINVASTACOR, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, SDZ
77930, SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 2, E3S,507744508117413, SOLLEVARE, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 2, E3S
68505, TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, FAS,508708501114116, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS INC X 4, FAS
8786, PSICOSEDIN, NOT FOUND, CPR 25 MG x 20, FAS,508705803111417, PSICOSEDIN, NOT FOUND, 25 MG COMP REV CT BL AL PLAST INC X 20, FAS
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8,504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS INC X 20, BF8
48133, SYLADOR, NOT FOUND, CPR 50 MG x 10, S_A,530505103110415, SYLADOR, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 10, S_A
56806, CLORANA, NOT FOUND, CPR 25 MG x 30, S_A,530501201118418, CLORANA, NOT FOUND, 25 MG COM CT BL PLAS PAPEL X 30, S_A
77082, SCAFLAM, NOT FOUND, CPR 100 MG x 4, MQF,512404007118416, SCAFLAM, NOT FOUND, 100 MG COM CT BL AL PLAS X 4, MQF
70312, FENATIL, NOT FOUND, DRAG 25 MG x 20, N_Q,519020702119411, FENATIL, NOT FOUND, 25 MG DRG CT BL AL PLAS INC X 20, N_Q
66739, LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 7, GM2,526119001115119, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 7, GM2
75010, CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 30, E3S,507730802115112, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL AL PLAS LEIT X 30, E3S
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20, BF8,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, BF8
30739, ATLANSIL, NOT FOUND, CPR 200 MG x 20, S_A,530500604111316, ATLANSIL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, S_A
83343, CLOPIDO GRAN, NOT FOUND, CPR REVEST 75 MG x 28, LG6,538812201115417, CLOPIDO GRAN, NOT FOUND, 75 MG COM REV CT AL AL X 28, LG6
76261, PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, MD7,525009608114111, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
73623, ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 30, MD7,525070213116117, ALPRAZOLAM, ALPRAZOLAM, 2 MG COM CT BL AL PLAS INC X 30, MD7
71251, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 10 MG x 28, GM2,526116906117111, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 28, GM2
76777, CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 30, E3S,507738801118113, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM REV CT BL AL PLAS OPC X 30, E3S
79605, ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 30, MD7,525073515113115, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL/AL X 30, MD7
59103, OMEPRAZOL, OMEPRAZOL, CAPS 40 MG x 7, SDZ,511515903113110, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 7, SDZ
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601101116116, LORATADINA, LORATADINA, 10 MG COM CT BL AL PLAS INC X 12, BF8
66528, ALLEXOFEDRIN, NOT FOUND, CPR REVEST 120 MG x 10, E3S,507726901112415, ALLEXOFEDRIN, NOT FOUND, 120 MG COM REV CT BL AL/AL X 10, E3S
59079, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, MD7,525008006110118, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, MD7
66705, DEFLAZACORTE, DEFLAZACORTE, CPR 6 MG x 20, E3S,507728302119117, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 20, E3S
79568, VALSARTANA, VALSARTANA, CPR REVEST 320 MG x 30, E3S,507744402114119, VALSARTANA, VALSARTANA, 320 MG COM REV. CT BL AL/AL X 30, E3S
63003, DICLAC, NOT FOUND, CPR REVEST 50 MG x 20, SDZ,511503201119115, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, SDZ
30464, TIAPRIDAL, NOT FOUND, CPR 100 MG x 20, S_A,530505202119410, TIAPRIDAL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, S_A
51018, NEO VERPAMIL, NOT FOUND, CPR 80 MG x 20, N_Q,519010601115413, NEO VERPAMIL, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 20, N_Q
71312, CLO CLINDAMICIN, CLORIDRATO CLINDAMICINA MONOIDRATADO, CAPS 300 MG x 16, E3S,507735702119117, CLORIDRATO CLINDAMICINA, CLORIDRATO CLINDAMICINA MONOIDRATADO, 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 16, E3S
75216, TAVAGRAN, NOT FOUND, CPR REVEST 500 MG x 10, LG6,538817302114417, TAVAGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 10, LG6
67098, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 60, E3S,507729105112118, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 60, E3S
59060, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, MD7,525003906113112, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, MD7
72521, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, MD7,525068911111119, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS INC X 60, MD7
71447, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 10 MG x 20, E3S,507714008116114, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 10 MG CAP GEL DURA CT BL AL PLAS INC X 20, E3S
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, BF8
74874, ACID MEFENAMICO, ACIDO MEFENAMICO, CPR REVEST 500 MG x 12, MD7,525070501111110, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS AMB X 12, MD7
83357, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, MD7,525074114112116, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 8, MD7
77920, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, E3S,507742709115111, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS OPC X 4, E3S
68738, LIPANON, NOT FOUND, CAPS RETARD 250 MG x 15, FAS,508703302113410, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15, FAS
73871, BROMALEX, NOT FOUND, CPR 3 MG x 30, SDZ,511513801119415, BROMALEX, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 30, SDZ
77949, AH ZUL, NOT FOUND, CPR REVEST 25 MG x 4, LG6,538806303114415, AH ZUL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 4, LG6
78003, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, SDZ,511516704114115, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM CT BL AL PLAS INC X 8, SDZ
77927, SOLLEVARE, NOT FOUND, CPR REVEST 25 MG x 2, E3S,507744505118419, SOLLEVARE, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 2, E3S
74627, CAPTOTEC, NOT FOUND, CPR 25 MG x 60, SDZ,511501306118414, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, SDZ
77965, CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 8 MG x 30, SDZ,511516402118118, CANDESARTANA CILEXETILA, CANDESARTANA CILEXETILA, 8 MG COM CT BL AL/AL X 30, SDZ
73811, CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, E3S,507737702116114, CLORIDRATO TICLOPIDINA, CLORIDRATO TICLOPIDINA, 250 MG COM REV CT BL AL PLAS INC X 30, E3S
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, BF8,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20, BF8
69769, CLOR ONDANSETRO, CLORIDRATO ONDANSETRONA, CPR REVEST 8 MG x 10, E3S,507734301110110, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 8 MG COM REV CT BL AL PLAS LEIT X 10, E3S
71466, GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, LG6,538813801116110, GABAPENTINA, GABAPENTINA, 300 MG CAP GEL DURA CT BL AL PLAS OPC X 30, LG6
67981, NAPROXENO SOD, NAPROXENO SODICO, CPR REVEST 550 MG x 20, N_Q,519023801118116, NAPROXENO SODICO, NAPROXENO SODICO, 550 MG COM REV CT BL AL PLAS INC X 20, N_Q
77054, CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 15, E3S,507740702113115, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS OPC X 15, E3S
67047, CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 30, N_Q,519023702111113, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, N_Q
80310, FUM QUETIAPINA, NOT FOUND, CPR REVEST 25 MG x 14, SDZ,511517803116114, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 14, SDZ
