53458, CALAMYN , CALAMYN, NOT FOUND, LOC. 120 ML x 1, N_Q
102519, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, PO P/SUSP 250 MG 100 ML x 1 (/5ML), N_Q
78467, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS GEL 500 MG x 8, N_Q
62719, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 8, N_Q
70269, CEFANID , CEFANID, NOT FOUND, CPR 500 MG x 8, N_Q
84471, CENTROGOLD , CENTROGOLD, NOT FOUND, CAPS x 30, N_Q
84472, CENTROGOLD , CENTROGOLD, NOT FOUND, CAPS x 60, N_Q
68779, CENTROTABS , CENTROTABS, NOT FOUND, CPR REVEST x 30, N_Q
53331, CEPROFEN , CEPROFEN, NOT FOUND, CAPS 50 MG x 24, N_Q
70293, CETILPLEX , CETILPLEX, NOT FOUND, XAR. 20 MG 100 ML x 1 (/ML), N_Q
72783, CETILPLEX , CETILPLEX, NOT FOUND, GRAN ENVELO. 200 MG 5 G x 16, N_Q
72284, CETILPLEX , CETILPLEX, NOT FOUND, GRAN ENVELO. 100 MG 5 G x 16, N_Q
44028, CETIVIT , CETIVIT, NOT FOUND, GOTAS 20 ML x 1, N_Q
44027, CETIVIT , CETIVIT, NOT FOUND, CPR x 20, N_Q
33953, CETIVIT INJETAVEL , CETIVIT INJETAVEL, NOT FOUND, AMP. 500 MG 5 ML x 50, N_Q
59557, CETOCONAZOL CRE.MG , CETOCONAZOL CRE, NOT FOUND, CREME 20 MG 30 G x 1 (/G), N_Q
64497, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, N_Q
50960, CETONEO , CETONEO, NOT FOUND, CPR 200 MG x 10, N_Q
53329, CETONEO CREME , CETONEO CREME, NOT FOUND, CREME 20 MG 30 G x 1 (/G), N_Q
53330, CETONEO SHAMPOO , CETONEO SHAMPOO, NOT FOUND, XAMP 2 % 100 ML x 1, N_Q
75921, CETORO.TROMETAM.MG , CETORO TROMETAM, NOT FOUND, SOLN OFTAL 5 MG 5 ML x 1 (/ML), N_Q
64168, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR 200 MG x 10, N_Q
64169, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR 400 MG x 16, N_Q
50649, CIMETINAX , CIMETINAX, NOT FOUND, CPR 200 MG x 40, N_Q
85402, CIPROFIBRATO MG , CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30, N_Q
61801, CIPRONID , CIPRONID, NOT FOUND, CPR REVEST 500 MG x 14, N_Q
61800, CIPRONID , CIPRONID, NOT FOUND, CPR REVEST 500 MG x 6, N_Q
85242, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, N_Q
85240, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, N_Q
85241, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, N_Q
85244, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, N_Q
85243, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, N_Q
85238, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, N_Q
76206, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, N_Q
76203, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 14, N_Q
46054, CITROPLEX C , CITROPLEX C, NOT FOUND, GOTAS 200 MG 20 ML x 1 (/ML), N_Q
46053, CITROPLEX C , CITROPLEX C, NOT FOUND, CPR 500 MG x 20, N_Q
51027, CITROPLEX C INJETA , CITROPLEX C INJETA, NOT FOUND, AMP. 500 MG 5 ML x 50, N_Q
77195, CLANISTIL , CLANISTIL, NOT FOUND, SOLN OFTAL 0.25 MG 15 MG x 1 (/3), N_Q
54150, CLEAN HAIR , CLEAN HAIR, NOT FOUND, LIQD 60 ML x 1, N_Q
85403, CLO HIDROXIZINA MG , CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 120 ML x 1 (/ML), N_Q
59196, CLO LINCOMICINA MG , CLO LINCOMICINA, CLORIDRATO LINCOMICINA, AMP. 600 MG 2 ML x 1, N_Q
78433, CLO LINCOMICINA MG , CLO LINCOMICINA, CLORIDRATO LINCOMICINA, AMP. 600 MG 2 ML x 50, N_Q
57242, CLO LINCOMICINA MG , CLO LINCOMICINA, CLORIDRATO LINCOMICINA, AMP. 300 MG 1 ML x 1, N_Q
57243, CLO LINCOMICINA MG , CLO LINCOMICINA, CLORIDRATO LINCOMICINA, AMP. 300 MG 1 ML x 50, N_Q
63179, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, N_Q
63180, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 80 MG x 30, N_Q
75742, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CREME DERMAT 10 MG 20 G x 1 (/G), N_Q
86216, CLOR BETAXOLOL MG , CLOR BETAXOLOL, CLORIDRATO BETAXOLOL, SOLN OFTAL 5 MG 5 ML x 1 (/ML), N_Q
75175, CLOR DOPAMINA MG , CLOR DOPAMINA, CLORIDRATO DOPAMINA, AMP. 5 MG 10 ML x 50 (/ML), N_Q
75176, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, GOTAS 100 MG 10 ML x 1 (/ML), N_Q
85427, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS GEL 50 MG x 10, N_Q
57239, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 6 MG 120 ML x 1 (/ML), N_Q
57238, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 3 MG 120 ML x 1 (/ML), N_Q
85405, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAROPE ADLT 1.60 MG 120 ML x 1 (/ML), N_Q
85404, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAROPE INF 0.80 MG 120 ML x 1 (/ML), N_Q
66301, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR 25 MG x 20, N_Q
72252, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR 10 MG x 30, N_Q
72251, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR 5 MG x 30, N_Q
77870, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, GOTAS OFTAL 3.50 MG 5 ML x 1 (/ML), N_Q
72790, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, N_Q
64542, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, N_Q
76598, CLOR.DOBUTAMINA MG , CLOR DOBUTAMINA, CLORIDRATO DOBUTAMINA, AMP.INFUSION 250 MG 20 ML x 10, N_Q
64089, CLOR.FEXOFENADI.MG , CLOR FEXOFENADI, CLORIDRATO FEXOFENADINA, CPR REVEST 120 MG x 10, N_Q
64090, CLOR.FEXOFENADI.MG , CLOR FEXOFENADI, CLORIDRATO FEXOFENADINA, CPR REVEST 180 MG x 10, N_Q
101664, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 30, N_Q
77128, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, N_Q
57603, CLOR.METOCLOP.MG , CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, AMP. 5 MG 2 ML x 100 (/ML), N_Q
72701, CLOR.NAFAZOLINA MG , CLOR NAFAZOLINA, CLORIDRATO NAFAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (/ML), N_Q
131312, CLOR.OXIMETAZOL.MG , CLOR OXIMETAZOL, CLORIDRATO OXIMETAZOLINA, SOL NASAL 0.50 MG 30 ML x 1 (/ML), N_Q
75739, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, N_Q
76882, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 100 MG x 14, N_Q
75738, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, N_Q
75741, CLORANFENICOL MG , CLORANFENICOL, CLORANFENICOL, SOLN OFTAL 4 MG 10 ML x 1 (/ML), N_Q
70273, CLOSENID , CLOSENID, NOT FOUND, CPR 40 MG x 40, N_Q
65155, CLOTRIMAZOL CR.MG , CLOTRIMAZOL CR, NOT FOUND, CREME DERMAT 10 MG 20 G x 1 (/G), N_Q
77507, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CR.VAG. 6APL 10 MG 35 G x 1 (/G), N_Q
71453, CODERGINE , CODERGINE, NOT FOUND, CAPS 6 MG x 14, N_Q
101661, COLIRIO NEO BRASIL , COLIRIO NEO BRASIL, NOT FOUND, SOL OFTAL 20 ML x 1, N_Q
63703, CONCEPNOR , CONCEPNOR, NOT FOUND, CPR REVEST x 21, N_Q
76834, CONCEPNOR , CONCEPNOR, NOT FOUND, CPR REVEST x 63, N_Q
55779, CORTICORTEN , CORTICORTEN, NOT FOUND, CPR 20 MG x 20, N_Q
55778, CORTICORTEN , CORTICORTEN, NOT FOUND, CPR 5 MG x 20, N_Q
71882, CROMO.DISSODICO MG , CROMO DISSODICO, NOT FOUND, SOLN NASAL 40 MG 13 ML x 1 (/ML), N_Q
75557, CROMO.DISSODICO MG , CROMO DISSODICO, NOT FOUND, SOLN OFTAL 40 MG 5 ML x 1 (/ML), N_Q
58698, CROMOCATO , CROMOCATO, NOT FOUND, SOLN NASAL 4 % 13 ML x 1, N_Q
