521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 12 AMP DE 5 ML INJETAVEL, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001403111316, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COMP. 1 BL X 20, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 12 AMP DE 5 ML INJETAVEL, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001403111316, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COMP. 1 BL X 20, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 12 AMP DE 5 ML INJETAVEL, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001403111316, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COMP. 1 BL X 20, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 12 AMP DE 5 ML INJETAVEL, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001403111316, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COMP. 1 BL X 20, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 12 AMP DE 5 ML INJETAVEL, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001403111316, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COMP. 1 BL X 20, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML SOL INJ CX 12 AMP VD INC X 5 ML, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
521001201111412, MEMORIOL B6 200, MEMORIOL B6 200, NOT FOUND, 200 MG + 250 MG+ 6 MG+ + 20MG DRG CT 2 BL AL PLAS INC X 10, BAL
521001406153311, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML COM 50 AMP DE 1 ML INJETAVEL, BAL
521001405157313, MONOCORDIL, MONOCORDIL, NOT FOUND, 10 MG/ML SOL INJ CX 12 AMP VD INC X 5 ML, BAL
521001402115318, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001401119311, MONOCORDIL, MONOCORDIL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 20, BAL
521001404118314, MONOCORDIL, MONOCORDIL, NOT FOUND, 40 MG COM CT 2 BL AL PLAS INC X 15, BAL
521001408113317, MONOCORDIL, MONOCORDIL, NOT FOUND, 5 MG COM 3 BL X 10 SUBLINGUAL, BAL
521001409111318, MONOCORDIL, MONOCORDIL, NOT FOUND, 50 MG CAP RETARD CT 2 BL AL PLAS INC X 15, BAL
521002801110318, METADOXIL, METADOXIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS OPC X 30, BAL
