522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600602160411, CETONIL, CETONIL, NOT FOUND, CREME 20 MG/G TP DERM CX BISN 30 G, STF
522600603175410, CETONIL, CETONIL, NOT FOUND, SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600602160411, CETONIL, CETONIL, NOT FOUND, CREME 20 MG/G TP DERM CX BISN 30 G, STF
522600603175410, CETONIL, CETONIL, NOT FOUND, SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600602160411, CETONIL, CETONIL, NOT FOUND, CREME 20 MG/G TP DERM CX BISN 30 G, STF
522600603175410, CETONIL, CETONIL, NOT FOUND, SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600602160411, CETONIL, CETONIL, NOT FOUND, CREME 20 MG/G TP DERM CX BISN 30 G, STF
522600603175410, CETONIL, CETONIL, NOT FOUND, SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, 50 MG/ML + 10MG/ML + 0.08MG/ML+ 20.0 MCG/ML + 2 MCG/ML SUSP CX FR VD 250 ML, STF
522600602160411, CETONIL, CETONIL, NOT FOUND, CREME 20 MG/G TP DERM CX BISN 30 G, STF
522600603175410, CETONIL, CETONIL, NOT FOUND, SHAMPOO 20 MG/ML SOL TOP CX FR 100 ML, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600702165316, CLARIPEL, CLARIPEL, NOT FOUND, CREME 40 MG/G TP CX BISN 30 G, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G TP CX BISN 45 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 10 MG/G + 50 MG/G TP DERM CT AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 100 ML +, STF
522600902131415, CLORCIN-PED, CLORCIN PED, NOT FOUND, 375 MG/5 ML SUSP CX FR VD 100 ML, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT 01 FR VD AMB X 100 ML + SER DOS, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 30 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, SUS OR CT FR VD AMB X 250 ML, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G GEL DERM CT BG AL REV X 45 G, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
522600901133414, CLORCIN-PED, CLORCIN PED, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT 01 FR VD AMB X 100 ML + SER DOS, STF
522604001161317, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 30 G, STF
522604002168315, CLINDOXYL, CLINDOXYL, NOT FOUND, 1% + 5% GEL CT BG AL PLAS TRANS X 45 G, STF
522600501135411, CALCI-PED, CALCI PED, NOT FOUND, SUS OR CT FR VD AMB X 250 ML, STF
522600801163419, CLINAGEL, CLINAGEL, NOT FOUND, 10.3 MG/G GEL DERM CT BG AL REV X 45 G, STF
522600701169318, CLARIPEL, CLARIPEL, NOT FOUND, 40 MG/G GEL CT BG AL 30 G, STF
