526504401111411, DESERILA, DESERILA, NOT FOUND, 1 MG DRG CT FR VD AMB X 25, NVR
526505101111315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505102116310, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505104119317, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 14, NVR
526505103112319, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 28 , NVR
526505109110318, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505107118311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505108114311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 25 MG COM REV CT BL AL/AL X 28, NVR
526505105115315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5 MG COM REV CT BL AL/AL X 14 , NVR
526505106111313, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5MG COM REV CT BL AL/AL X 28, NVR
526530702113313, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530703111314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530701117315, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530704116311, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526530705112318, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530706119316, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530707115314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530708111312, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526504401111411, DESERILA, DESERILA, NOT FOUND, 1 MG DRG CT FR VD AMB X 25, NVR
526504501157411, DESFERAL, DESFERAL, NOT FOUND, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, NVR
526524601114115, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 14, NVR
526524602110113, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 20, NVR
526524702115117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT BL AL PVC/PE/PVDC X 20, NVR
526504601119112, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 1 BL AL PLAS INC X 20, NVR
526525002117311, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 160 MG COM REV + 20 MG COM REV CT 4 BL AL/AL 7 X 7, NVR
526525004111319, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 80 MG COM REV + 20 MG COM REV CT 4 BL AL/AL 7 X 7, NVR
526504803110310, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 14, NVR
526504804117319, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 28, NVR
526504812111316, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 14, NVR
526504811113315, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 28, NVR
526504810117211, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, NVR
526504809119212, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, NVR
526504808112311, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 14 , NVR
526504807116313, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 28, NVR
526505001115319, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND,  80 MG COM REV + 5 MG COM CT 4 BL AL/AL 7 X 7, NVR
526504901112318, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 160 MG COM REV + 5 MG CT 4 BL AL/AL 7 X 7 , NVR
526528606110315, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 14, NVR
526528604118319, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528607117313, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528602115312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528605114317, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528608113311, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528603111310, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528609111312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528601119314, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526505101111315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505102116310, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505104119317, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 14, NVR
526505103112319, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 28 , NVR
526505109110318, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505107118311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505108114311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 25 MG COM REV CT BL AL/AL X 28, NVR
526505105115315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5 MG COM REV CT BL AL/AL X 14 , NVR
526505106111313, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5MG COM REV CT BL AL/AL X 28, NVR
526530702113313, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530703111314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530701117315, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530704116311, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526530705112318, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530706119316, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530707115314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530708111312, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526504401111411, DESERILA, DESERILA, NOT FOUND, 1 MG DRG CT FR VD AMB X 25, NVR
526504501157411, DESFERAL, DESFERAL, NOT FOUND, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, NVR
526524601114115, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 14, NVR
526524602110113, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 20, NVR
526524702115117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT BL AL PVC/PE/PVDC X 20, NVR
526504601119112, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 1 BL AL PLAS INC X 20, NVR
526525002117311, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 160 MG COM REV + 20 MG COM REV CT 4 BL AL/AL 7 X 7, NVR
526525004111319, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 80 MG COM REV + 20 MG COM REV CT 4 BL AL/AL 7 X 7, NVR
526504803110310, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 14, NVR
526504804117319, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 28, NVR
526504812111316, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 14, NVR
526504811113315, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 28, NVR
526504810117211, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, NVR
526504809119212, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, NVR
526504808112311, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 14 , NVR
526504807116313, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 28, NVR
526505001115319, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND,  80 MG COM REV + 5 MG COM CT 4 BL AL/AL 7 X 7, NVR
526504901112318, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 160 MG COM REV + 5 MG CT 4 BL AL/AL 7 X 7 , NVR
526528606110315, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 14, NVR
526528604118319, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528607117313, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528602115312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528605114317, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528608113311, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528603111310, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528609111312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528601119314, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526505101111315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505102116310, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505104119317, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 14, NVR
526505103112319, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 28 , NVR
526505109110318, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505107118311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505108114311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 25 MG COM REV CT BL AL/AL X 28, NVR
526505105115315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5 MG COM REV CT BL AL/AL X 14 , NVR
526505106111313, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5MG COM REV CT BL AL/AL X 28, NVR
526530702113313, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530703111314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530701117315, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530704116311, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526530705112318, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530706119316, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530707115314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530708111312, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526504401111411, DESERILA, DESERILA, NOT FOUND, 1 MG DRG CT FR VD AMB X 25, NVR
526504501157411, DESFERAL, DESFERAL, NOT FOUND, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, NVR
526524601114115, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 14, NVR
526524602110113, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 20, NVR
526524702115117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT BL AL PVC/PE/PVDC X 20, NVR
526504601119112, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 1 BL AL PLAS INC X 20, NVR
526525002117311, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 160 MG COM REV + 20 MG COM REV CT BL AL/AL 28 + 28 , NVR
526525004111319, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 80 MG COM REV + 20 MG COM REV CT BL AL/AL 28 + 28 , NVR
526504803110310, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 14, NVR
526504804117319, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 28, NVR
526504812111316, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 14, NVR
526504811113315, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 28, NVR
526504810117211, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, NVR
526504809119212, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, NVR
526504808112311, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 14 , NVR
526504807116313, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 28, NVR
526504901112318, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 160 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NVR
526505001115319, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 80 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NVR
526528606110315, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 14, NVR
526528604118319, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528607117313, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528602115312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528605114317, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 10 MG COM REV CT BL AL/AL X 28, NVR
526528608113311, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528603111310, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 320 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526528609111312, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 14, NVR
526528601119314, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 80 MG + 5 MG COM REV CT BL AL/AL X 28, NVR
526505101111315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505102116310, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505104119317, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 14, NVR
526505103112319, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 160 MG + 25 MG COM REV CT BL AL/AL X 28 , NVR
526505109110318, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 14, NVR
526505107118311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 12.5 MG COM REV CT BL AL/AL X 28, NVR
526505108114311, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 320 MG + 25 MG COM REV CT BL AL/AL X 28, NVR
526505105115315, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5 MG COM REV CT BL AL/AL X 14 , NVR
526505106111313, DIOVAN HCT, DIOVAN HCT, NOT FOUND, 80 MG + 12.5MG COM REV CT BL AL/AL X 28, NVR
526530702113313, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530703111314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530701117315, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530704116311, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 12.5MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526530705112318, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 14 + 14, NVR
526530706119316, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 10MG COM CT BL AL/AL X 28 + 28, NVR
526530707115314, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 14 + 14, NVR
526530708111312, DIOVAN TRIPLO, DIOVAN TRIPLO, NOT FOUND, 160MG + 25MG COM REV + 5MG COM CT BL AL/AL X 28 + 28, NVR
526504401111411, DESERILA, DESERILA, NOT FOUND, 1 MG DRG CT FR VD AMB X 25, NVR
526504501157411, DESFERAL, DESFERAL, NOT FOUND, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, NVR
526524601114115, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 14, NVR
526524602110113, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA, 140 MG CAP GEL DURA CT BL AL PLAS INC X 20, NVR
526524702115117, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT BL AL PVC/PE/PVDC X 20, NVR
526504601119112, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 1 BL AL PLAS INC X 20, NVR
526525002117311, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 160 MG COM REV + 20 MG COM REV CT BL AL/AL 28 + 28 , NVR
526525004111319, DIOCOMB SI, DIOCOMB SI, NOT FOUND, 80 MG COM REV + 20 MG COM REV CT BL AL/AL 28 + 28 , NVR
526504803110310, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 14, NVR
526504804117319, DIOVAN, DIOVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 28, NVR
526504812111316, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 14, NVR
526504811113315, DIOVAN, DIOVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 28, NVR
526504810117211, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, NVR
526504809119212, DIOVAN, DIOVAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, NVR
526504808112311, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 14 , NVR
526504807116313, DIOVAN, DIOVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 28, NVR
526504901112318, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 160 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NVR
526505001115319, DIOVAN AMLO, DIOVAN AMLO, NOT FOUND, 80 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 , NVR
526528606110315, DIOVAN AMLO FIX, DIOVAN AMLO FIX, NOT FOUND, 160 MG + 10 MG COM REV CT BL AL/AL X 14, NVR
