1235201000025; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT STR AL X 12; RBY
1235200620038; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 14; RBY
1235200620046; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 20; RBY
1235200620054; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 14; RBY
1235200620062; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 20; RBY
1235201250013; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + SER DOS X 5 ML + CP MED ; RBY
1235201250021; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML 1FR OPC 22.5 ML SUSPENSAO; RBY
1235201120012; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; RBY
1235201120020; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; RBY
1235201120063; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 5; RBY
1235201120071; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 9; RBY
1235201580031; ALTIVA; ALTIVA; NOT FOUND; 120MG COM REV CT BL AL PLAS OPC X 10 ; RBY
1235201580064; ALTIVA; ALTIVA; NOT FOUND; 180MG COM REV CT BL AL PLAS OPC X 10; RBY
