510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT 4 STRIP X 4, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, EMBALAGEM COM 4 STR X 4 CAPS 150MG, GLD
510101801164319, TRI-LUMA CR, TRI LUMA CR, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA CR, TRI LUMA CR, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
510101801164319, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01 PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 15 G, GLD
510101802160317, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4 PCC + 0.05 PCC CREM DERM CT BG AL X 6G, GLD
510101803167315, TRI-LUMA, TRI LUMA, NOT FOUND, 0.01PCC + 4PCC + 0.05PCC CREM DERM CT BG AL X 30G, GLD
510101703111318, TETRALYSAL, TETRALYSAL, NOT FOUND, 150 MG CAP GEL DURA CT STR X 16, GLD
510101702115311, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 16, GLD
510101704118413, TETRALYSAL, TETRALYSAL, NOT FOUND, 300 MG CAP GEL DURA CT STR X 28, GLD
