513405001154414, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CX 50 FA VD INC, I_B
513414010021306, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CT FA VD TRANS X 17.5 ML, I_B
513414010021406, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 10 FA VD TRANS X 17.5 ML, I_B
513414010021506, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 25 FA VD TRANS X 17.5 ML, I_B
513414010021606, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 50 FA VD TRANS X 17.5 ML, I_B
513414010021706, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 100 FA VD TRANS X 17.5 ML, I_B
513414010021806, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CT FA VD TRANS X 17.5 ML + BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513414010021906, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 10 FA VD TRANS X 17.5 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513414010022006, MEROPENÉM TRI-HIDRATADO, MEROPENEM TRI HIDRATADO, NOT FOUND, 500 MG PO SOL INJ CX 50 FA VD TRANS X 17.5 ML + 50 BOLS PLAS TRANS SIST FECH X 100 ML (EMB HOSP), I_B
513403301150418, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC, I_B
513403303153414, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC MONOVIAL  , I_B
513403304151415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT 10 FA VD INC MONOVIAL , I_B
513403307159417, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP) , I_B
513403308155415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403309151413, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403310151413, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 50 FA VD INC , I_B
513403302157416, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC, I_B
513403305156410, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC MONOVIAL , I_B
513403306152419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC MONOVIAL  , I_B
513403311156419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403312152417, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403313159415, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC, I_B
513403314155413, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513413030020304, MOFILEN, MOFILEN, NOT FOUND, 500 MG COM REV CT BL AL/AL X 100, I_B
513413030020404, MOFILEN, MOFILEN, NOT FOUND, 500 MG COM REV CT BL AL/AL X 200 (EMB HOSP), I_B
513413030020204, MOFILEN, MOFILEN, NOT FOUND, 500 MG COM REV CT BL AL/AL X 50, I_B
513413030020504, MOFILEN, MOFILEN, NOT FOUND, 500 MG COM REV CT BL AL/AL X 500 (EMB HOSP), I_B
513403701159412, MORFENIL, MORFENIL, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML (REST HOSP), I_B
513403702155410, MORFENIL, MORFENIL, NOT FOUND, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (REST HOSP), I_B
