513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR., I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, 500 MG PO INJ CT 50 FA VD INC, I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
513405904154411, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 05 AMP VD IN X 1 ML (EMB HOSP), I_B
513405903158413, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 100 AMP VD IN X 1 ML (EMB HOSP), I_B
513405902151415, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT 50 AMP VD IN X 1 ML (EMB HOSP), I_B
513405901155417, OCITOC, OCITOC, NOT FOUND, 5 UI/ML SOL INJ CT AMP VD IN X 1 ML (EMB HOSP), I_B
513402401151418, OXACIL, OXACIL, NOT FOUND, 500 MG PO INJ CT 50 FA VD INC, I_B
513402402158416, OXACIL, OXACIL, NOT FOUND, CX. C/ 50 FR. C/ DIL, I_B
