506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100 MG/G SAB. CX C/ 60 G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250 MG / ML EMU CT FR C/ 60 ML, CM5
506405601167411, PEDILETAN PERMETRINA, PEDILETAN PERMETRINA, NOT FOUND, 10MG/ML CREME CT FR PLAST 60ML, CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 10, CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 20, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT 50 BL AL PLAS INC X 20 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100 MG/G SAB. CX C/ 60 G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250 MG / ML EMU CT FR C/ 60 ML, CM5
506405601167411, PEDILETAN PERMETRINA, PEDILETAN PERMETRINA, NOT FOUND, 10MG/ML CREME CT FR PLAST 60ML, CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 10, CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 20, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT 50 BL AL PLAS INC X 20 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100 MG/G SAB. CX C/ 60 G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250 MG / ML EMU CT FR C/ 60 ML, CM5
506405601167411, PEDILETAN PERMETRINA, PEDILETAN PERMETRINA, NOT FOUND, 10MG/ML CREME CT FR PLAST 60ML, CM5
506411101111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10    , CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 10, CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 20, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT 50 BL AL PLAS INC X 20 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100 MG/G SAB. CX C/ 60 G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250 MG / ML EMU CT FR C/ 60 ML, CM5
506405601167411, PEDILETAN PERMETRINA, PEDILETAN PERMETRINA, NOT FOUND, 10MG/ML CREME CT FR PLAST 60ML, CM5
506411101111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10    , CM5
506411102118118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15   , CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 10, CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 20, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT 50 BL AL PLAS INC X 20 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100 MG/G SAB. CX C/ 60 G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250 MG / ML EMU CT FR C/ 60 ML, CM5
506405601167411, PEDILETAN PERMETRINA, PEDILETAN PERMETRINA, NOT FOUND, 10MG/ML CREME CT FR PLAST 60ML, CM5
506411101111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10    , CM5
506411102118118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15   , CM5
506411401131418, PLAVOM, PLAVOM, NOT FOUND, 4 MG/ML CT FR PLAS OPC GOT X 10 ML, CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 10, CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50MG DRG CT BL AL PLAS INC X 20, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT 50 BL AL PLAS INC X 20 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100MG/G SAB CT FILME POLIPROPILENO X 60G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250MG/ML LOC EMU TOP CT FR VD AMB X 60 ML, CM5
506411401131418, PLAVOM, PLAVOM, NOT FOUND, 4 MG/ML CT FR PLAS OPC GOT X 10 ML, CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 10, CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506411101111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, CM5
506411102118118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 100 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
506405501170410, PARASIMED, PARASIMED, NOT FOUND, 100MG/G SAB CT FILME POLIPROPILENO X 60G, CM5
506405502134418, PARASIMED, PARASIMED, NOT FOUND, 250MG/ML LOC EMU TOP CT FR VD AMB X 60 ML, CM5
506411401131418, PLAVOM, PLAVOM, NOT FOUND, 4 MG/ML CT FR PLAS OPC GOT X 10 ML, CM5
506405701161415, PROBENXIL, PROBENXIL, NOT FOUND, 10MG GEL TOP CT BG AL X 60 G, CM5
506405702133415, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, CM5
506405703113418, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 10, CM5
506405704111419, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, CM5
506405705132411, PROBENXIL, PROBENXIL, NOT FOUND, 15MG/ML SUS ORAL CT 100 FR PLAS OPC GOT X 20 ML (EMB HOSP), CM5
506405706112412, PROBENXIL, PROBENXIL, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 1000 (EMB HOSP), CM5
506408201135118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG / ML CT FR OPC GOT X 15 ML, CM5
506408202115110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 20, CM5
506408203111119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT) , CM5
506411101111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, CM5
506411102118118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, CM5
506405804114411, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 100 ( EMB HOSP), CM5
506405802111413, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, CM5
506405801115415, PROPRAMED, PROPRAMED, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, CM5
506405803118411, PROPRAMED, PROPRAMED, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, CM5
