528101201119418, GASTROFTAL, GASTROFTAL, NOT FOUND, 20 PAST., PLB
528104701147415, GLYCELAX ADULTO, GLYCELAX ADULTO, NOT FOUND, 6 SUPOSITORIOS, PLB
528104801141419, GLYCELAX INFANTIL, GLYCELAX INFANTIL, NOT FOUND, 6 SUPOSITORIOS, PLB
528101301113411, GASTROPEPT, GASTROPEPT, NOT FOUND, 20 COMP., PLB
528101302136415, GASTROPEPT, GASTROPEPT, NOT FOUND, SUSP. ORAL 150 ML, PLB
528101201119418, GASTROFTAL, GASTROFTAL, NOT FOUND, 20 PAST., PLB
528101202131411, GASTROFTAL, GASTROFTAL, NOT FOUND, SUSP. 240 ML, PLB
528104701147415, GLYCELAX ADULTO, GLYCELAX ADULTO, NOT FOUND, 6 SUPOSITORIOS, PLB
528104801141419, GLYCELAX INFANTIL, GLYCELAX INFANTIL, NOT FOUND, 6 SUPOSITORIOS, PLB
528101301113411, GASTROPEPT, GASTROPEPT, NOT FOUND, 20 COMP., PLB
528101302136415, GASTROPEPT, GASTROPEPT, NOT FOUND, SUSP. ORAL 150 ML, PLB
528101201119418, GASTROFTAL, GASTROFTAL, NOT FOUND, 20 PAST., PLB
528101202131411, GASTROFTAL, GASTROFTAL, NOT FOUND, SUSP. 240 ML, PLB
