525421701150311; CETROTIDE; CETROTIDE; NOT FOUND; 0.25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS; M_S
525419301116114; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 28; M_S
525419302112112; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; M_S
525402801110110; CLORIDRATO DE SOTALOL; CLORIDRATO SOTALOL; CLORIDRATO SOTALOL; 160 MG COM CT FR PLAS OPC X 30; M_S
525402901115114; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV EST FR PLAS OPC X 30; M_S
525412010042703; CONCOR HCT; CONCOR HCT; NOT FOUND; 5 MG + 12.5 MG COM REV CT BL AL X 30 ; M_S
525412010042803; CONCOR HCT; CONCOR HCT; NOT FOUND; 10 MG + 25 MG COM REV CT BL AL X 30 ; M_S
525401701139410; CEBION GLICOSE; CEBION GLICOSE; NOT FOUND; 100 MG + 500 MG GRAN CT CART 10 ENV AL POLIET X 10; M_S
525401702119413; CEBION GLICOSE; CEBION GLICOSE; NOT FOUND; 100 MG + 500 MG GRAN CT CART 50 ENV AL POLIET X 10; M_S
525401902118313; CESTOX; CESTOX; NOT FOUND; 150 MG COM EST CAT BL AL PVC X 12; M_S
525402002110411; CISTICID; CISTICID; NOT FOUND; 500 MG COM EST CART FR PLAS OPC X 50 (EMB. HOSP.); M_S
525421601164310; CRINONE; CRINONE; NOT FOUND; 80 MG/G GEL VAG CT 15 ENV AL POLIET X 1 APLIC X 1.125 G; M_S
525421602160319; CRINONE; CRINONE; NOT FOUND; 80 MG/G GEL VAG CT 7 ENV AL POLIET X 1 APLIC X 1.125 G; M_S
525419401110411; COLPOTROFINE; COLPOTROFINE; NOT FOUND; 10 MG CAP GEL MOLE CT BL AL PLAS INC X 20; M_S
525419402168411; COLPOTROFINE; COLPOTROFINE; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 30 G + APLIC ; M_S
525402502113411; CLINFAR; CLINFAR; NOT FOUND; 10 MG COM REV CT CART BL AL PLAS INC X 10; M_S
525402501117411; CLINFAR; CLINFAR; NOT FOUND; 10 MG COM REV CT CART BL AL PLAS INC X 30; M_S
525402509118417; CLINFAR; CLINFAR; NOT FOUND; 20 MG COM REV CT CART BL AL PLAS INC X 10; M_S
525402504116416; CLINFAR; CLINFAR; NOT FOUND; 20 MG COM REV CT CART BL AL PLAS INC X 30 ; M_S
525402507115410; CLINFAR; CLINFAR; NOT FOUND; 40 MG COM REV CT  BL AL PLAS INC X 10  ; M_S
525402508111419; CLINFAR; CLINFAR; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; M_S
525402503111410; CLINFAR; CLINFAR; NOT FOUND; 5 MG COM REV CT CART BL AL PLAS INC X 30; M_S
525402506119412; CLINFAR; CLINFAR; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 10  ; M_S
525402505112414; CLINFAR; CLINFAR; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 30; M_S
525418901111417; CEBION ZINCO; CEBION ZINCO; NOT FOUND; 1000 MG + 10 MG COM EFEV CT TB PLAS X 10; M_S
