50568; ABSTEN S ; ABSTEN S; NOT FOUND; CPR 1 MG x 20; MD7
76274; ALOPURINOL MG ; ALOPURINOL; ALOPURINOL; CPR 300 MG x 30; MD7
73624; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; MD7
73629; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 30; MD7
73625; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; MD7
73627; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; MD7
73626; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; MD7
73628; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; MD7
73623; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; MD7
72833; ALZEPINOL ; ALZEPINOL; NOT FOUND; CPR REVEST 300 MG x 20; MD7
72832; ALZEPINOL ; ALZEPINOL; NOT FOUND; CPR REVEST 600 MG x 20; MD7
480; AMBRA-SINTO-T ; AMBRA SINTO T; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); MD7
481; AMBRA-SINTO-T ; AMBRA SINTO T; NOT FOUND; SUSP 100 MG 60 ML x 1 (/5ML); MD7
56665; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; MD7
56666; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; MD7
56667; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; MD7
56668; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 125 MG 150 ML x 1 (/5ML); MD7
61913; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 200 MG 100 ML x 1 (/5ML); MD7
56669; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 250 MG 150 ML x 1 (/5ML); MD7
61914; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 400 MG 100 ML x 1 (/5ML); MD7
56670; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 500 MG 150 ML x 1 (/5ML); MD7
544; AMPICIL ; AMPICIL; NOT FOUND; CAPS 500 MG x 6; MD7
74994; AMPICILINA MG ; AMPICILINA; AMPICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); MD7
74995; AMPICILINA MG ; AMPICILINA; AMPICILINA; PO P/SUSP 250 MG 60 ML x 1 (/5ML); MD7
84458; ANGIO II ; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7
84457; ANGIO II ; ANGIO II; ANGIOTENSINA II; CPR REVEST 320 MG x 30; MD7
84455; ANGIO II ; ANGIO II; ANGIOTENSINA II; CPR REVEST 80 MG x 30; MD7
150182; ARACELI ; ARACELI; NOT FOUND; CPR REVEST 75 MG x 28; MD7
150183; ARACELI ; ARACELI; NOT FOUND; CPR REVEST 75 MG x 84; MD7
59045; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; MD7
59043; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; MD7
59044; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; MD7
74933; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); MD7
74934; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); MD7
74935; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); MD7
74932; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7
79602; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; MD7
79600; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; MD7
79605; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; MD7
79606; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 80 MG x 30; MD7
49857; AVIRAL ; AVIRAL; NOT FOUND; CPR 200 MG x 25; MD7
72686; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 2; MD7
72688; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; MD7
72687; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 5; MD7
