538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000103151414, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000402159115, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 5 ML, A1F
538000101159418, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538000403155113, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 50 ML, A1F
538001201114112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A1F
538001202110110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A1F
538001203117119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001204113117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 7, A1F
538001205111118, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A1F
538001206116113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A1F
538001207112111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 280 (EMB HOSP), A1F
538001208119111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 7, A1F
538000502110118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 10, A1F
538000503117116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, A1F
538000504113114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 10, A1F
538000505111115, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, A1F
538000501114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 10, A1F
538000506116110, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, A1F
538000102155416, PANTIUM, PANTIUM, NOT FOUND, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
538000401152117, PACLITAXEL, PACLITAXEL, PACLITAXEL, 6 MG/ML SOL INJ IV CT FA VD INC X 16.7 ML, A1F
