508011302116319; PROFLAM; PROFLAM; NOT FOUND; 100 MG COM REV CT BL AL/AL X 12; EUF
508012110094403; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 7 ; EUF
508012110094803; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; EUF
508012110094903; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; EUF
508012110094703; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 7 ; EUF
508010507156411; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + AMP DIL X 10 ML; EUF
508010511153413; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + AMP PLAS DIL X 10 ML ; EUF
508010601152114; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); EUF
508010605158117; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 10 (EMB HOSP); EUF
508010702137110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; EUF
508010703117113; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; EUF
508010701114117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); EUF
508012405156117; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; 2 G + 250 MG PO LIOF SOL INJ CT 10 FA VD INC ; EUF
508012406152115; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; 4 G + 500 MG PO LIOF SOL INJ CT 10 FA VD INC; EUF
508014040102506; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EUF
508018501114119; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10  ; EUF
508018502110117; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20  ; EUF
508013120101306; PROMESTRIENO; PROMESTRIENO; PROMESTRIENO; 10 MG/G CREM VAG CT BL AL X 30 G + 20 APLIC; EUF
508016901166111; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; EUF
508016902162118; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G ; EUF
