511500101113110; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; SDZ
511512203137111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 75 ML + COL DOSAD; SDZ
511512202130111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 100 ML + COL DOSAD ; SDZ
511512201134113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 75 ML + COL DOSAD; SDZ
511512211131117; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; (80+11.4) MG/ML PO SUS OR CT FR VD AMB X 70 ML + DOSAD ; SDZ
511512101113114; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; SDZ
511512103116110; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 18; SDZ
511512102111115; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 24 ; SDZ
511500801115418; ATENOPRESS; ATENOPRESS; NOT FOUND; 100 MG COM BL AL PLAS INC X 28; SDZ
511500701110112; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 30; SDZ
511500804114412; ATENOPRESS; ATENOPRESS; NOT FOUND; 100 MG COM BL AL PLAS INC X 30; SDZ
511500704111111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 60; SDZ
511500802111416; ATENOPRESS; ATENOPRESS; NOT FOUND; 25 MG COM BL AL PLAS INC X 28; SDZ
511500702117110; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 30; SDZ
511500805110410; ATENOPRESS; ATENOPRESS; NOT FOUND; 25 MG COM BL AL PLAS INC X 30; SDZ
511500705116115; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 60; SDZ
511500803118414; ATENOPRESS; ATENOPRESS; NOT FOUND; 50 MG COM BL AL PLAS INC X 28; SDZ
511500703113119; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 30; SDZ
511500806117419; ATENOPRESS; ATENOPRESS; NOT FOUND; 50 MG COM BL AL PLAS INC X 30; SDZ
511500706112113; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
511500903112418; ATENORESE; ATENORESE; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; SDZ
511500904119416; ATENORESE; ATENORESE; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; SDZ
511516001113115; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 2; SDZ
511516002111116; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 3; SDZ
511516003116111; AZITROMICINA; AZITROMICINA; AZITROMICINA;  500 MG COM REV CT BL AL PLAS OPC X 5; SDZ
511500306114410; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 100 (SABOR CEREJA); SDZ
511512120056503; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 20 (SABOR CEREJA); SDZ
511512120056603; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 20 (SABOR MENTA) ; SDZ
511500312173318; AMIDALIN; AMIDALIN; NOT FOUND; 1MG/ML+5MG/ML SOL OR SPRAY CT FR VD INC X 25ML (SABOR LARANJA); SDZ
511500313171319; AMIDALIN; AMIDALIN; NOT FOUND; 1MG/ML+5MG/ML SOL OR SPRAY CT FR VD INC X 25ML (SABOR MENTA); SDZ
511500307110419; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 100 (SABOR LARANJA); SDZ
511500308117417; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 100 (SABOR MENTA); SDZ
511500303115416; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 20 (SABOR LARANJA); SDZ
511500310111412; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 100 (SABOR MEL LIMAO); SDZ
511500309113415; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 20 (SABOR MEL LIMAO); SDZ
511500311118410; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 20 (SABOR FRAMBOESA); SDZ
511500406119414; AMLOVASC; AMLOVASC; NOT FOUND; 10 MG COM CT BL AL PLAS LEIT X 30; SDZ
511500408111410; AMLOVASC; AMLOVASC; NOT FOUND; 5 MG COM CT BL AL PLAS LEIT X 30; SDZ
511510403112416; AROTIN; AROTIN; NOT FOUND; 20 MG COM REV CT  BL AL PLAS INC X 20; SDZ
511510401111412; AROTIN; AROTIN; NOT FOUND; 20 MG COM REV CT  BL AL PLAS INC X 30; SDZ
511500601116410; ANARTRIT; ANARTRIT; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 12; SDZ
