511507501117412, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 14, SDZ
511507502113410, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, SDZ
511507503111411, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 7 , SDZ
511507504116417, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, SDZ
511507505112415, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507506119413, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 7 , SDZ
511515401118116, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 14, SDZ
511515402114114, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, SDZ
511515403110112, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, SDZ
511515404117110, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507801110111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOL CT STR AL/AL X 10, SDZ
511507802117111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOLUV CT STR AL/AL X 15, SDZ
511511801111418, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 14, SDZ
511511802118416, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 28 , SDZ
511507901115417, PONTIN, PONTIN, NOT FOUND, 500 MG COM CT 2 BL AL PLAS AMB X 12, SDZ
511507902111415, PONTIN, PONTIN, NOT FOUND, 500 MG COM CT 30 BL AL PLAS AMB X 4, SDZ
511507901115417, PONTIN, PONTIN, NOT FOUND, 500 MG COM CT 2 BL AL PLAS AMB X 12, SDZ
511507902111415, PONTIN, PONTIN, NOT FOUND, 500 MG COM DISP BL AL PLAS AMB X 120, SDZ
511511801111418, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 14, SDZ
511511802118416, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 28 , SDZ
511515401118116, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 14, SDZ
511515402114114, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, SDZ
511515403110112, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, SDZ
511515404117110, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507501117412, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 14, SDZ
511507502113410, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, SDZ
511507503111411, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 7 , SDZ
511507504116417, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, SDZ
511507505112415, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507506119413, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 7 , SDZ
511507801110111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOL CT STR AL/AL X 10, SDZ
511507802117111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOLUV CT STR AL/AL X 15, SDZ
511507901115417, PONTIN, PONTIN, NOT FOUND, 500 MG COM CT 2 BL AL PLAS AMB X 12, SDZ
511507902111415, PONTIN, PONTIN, NOT FOUND, 500 MG COM DISP BL AL PLAS AMB X 120, SDZ
511511801111418, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 14, SDZ
511511802118416, PLAGREL, PLAGREL, NOT FOUND, 75 MG COM REV CT BL AL/AL X 28 , SDZ
511515401118116, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 14, SDZ
511515402114114, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 20 MG COM REV CT BL AL/AL X 28, SDZ
511515403110112, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, SDZ
511515404117110, PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507501117412, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 14, SDZ
511507502113410, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, SDZ
511507503111411, PANTOPAZ, PANTOPAZ, NOT FOUND, 20 MG COM REV CT BL AL/AL X 7 , SDZ
511507504116417, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, SDZ
511507505112415, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, SDZ
511507506119413, PANTOPAZ, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 7 , SDZ
511507801110111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOL CT STR AL/AL X 10, SDZ
511507802117111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG COM SOLUV CT STR AL/AL X 15, SDZ
