511501101117114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511510601119115, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
511510602115113, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511510603111111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), SDZ
511510604118111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 40, SDZ
511513703151111, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1000 MG PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML, SDZ
511501501115410, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 12, SDZ
511501502111419, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 6, SDZ
511501602116412, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT 03 BL AL PLAS INC X 10, SDZ
511501601111417, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, SDZ
511501701114116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT 4 BL AL PLAS INC X 10 , SDZ
511501703117112, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 20, SDZ
511501801119111, CIMETINA, CIMETINA, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20 , SDZ
511514501119418, CINTAG, CINTAG, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20, SDZ
511501901113415, CIPROBIOT, CIPROBIOT, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511501902111416, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511501903116411, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511510204111118, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511510202117119, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 3 BL AL PLAS INC X 10 , SDZ
511510205116113, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 4 BL AL PLAS INC X 7, SDZ
511502101110118, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 10 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502102117116, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 20 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502201115413, CLARILERG, CLARILERG, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 12, SDZ
511514401130411, CLAXAM, CLAXAM, NOT FOUND, 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR, SDZ
511514402110412, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV CT FR PLAS X 14, SDZ
511514403117410, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV FR PLAS X 20, SDZ
511502001116114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM REV CT BL AL PLAS INC X 14 , SDZ
511502005111117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511502003119110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, SDZ
511502004115119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511504103110111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 20, SDZ
511504102114113, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CP GEL DURA CT BL AL PLAS INC X 30, SDZ
511513203114118, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 1 G COM REV CT BL AL PLAS INC X 30, SDZ
511513201111111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, SDZ
511513202118111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, SDZ
511502602111117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502604112110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502603116112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT BL AL/AL X 10 , SDZ
511514102117111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 20, SDZ
511514101110111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 30, SDZ
511511502114113, CLORIDRATO DE SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 10                                                           , SDZ
511511501118115, CLORIDRATO DE SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, SDZ
511502401114119, CLORIDRATO DE SOTALOL, CLORIDRATO SOTALOL, CLORIDRATO SOTALOL, 160 MG COM CT BL AL PLAS INC X 20, SDZ
511509301115110, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CT BL AL PLAS BRANCO OPC X 10, SDZ
511509701113115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV AP CT BL AL PLAS BCO OPC X 20, SDZ
511509702111116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS BCO OPC X 30, SDZ
511509703116111, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
511502701118411, CO-ENAPROTEC, CO ENAPROTEC, NOT FOUND, 10 MG + 25 MG COM CT STR X 30, SDZ
511502702114411, CO-ENAPROTEC, CO ENAPROTEC, NOT FOUND, 20 MG + 12.5 MG COM CT STR X 30, SDZ
511502801112415, COR MIO, COR MIO, NOT FOUND, 200 MG COM CT 2 BL AL PLAS INC X 10, SDZ
511501101117114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501104116119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501105112117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501107115113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501108111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501301116413, CAPTOTEC, CAPTOTEC, NOT FOUND, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501302112411, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501304115418, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 4 BL AL PLAS INC X 14, SDZ
511501305111416, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, SDZ
511501306118414, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, SDZ
511501303119411, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501307114412, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, SDZ
511501401110417, CAPTOTEC HCT, CAPTOTEC HCT, NOT FOUND, 50 MG + 25 MG COM CT BL AL PLAS INC X 30, SDZ
511512902132117, CEFADROXILA, CEFADROXILA, CEFADROXILA, 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512901136119, CEFADROXILA, CEFADROXILA, CEFADROXILA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512903112111, CEFADROXILA, CEFADROXILA, CEFADROXILA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 08, SDZ
511510601119115, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
511510602115113, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511510603111111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), SDZ
511510604118111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 40, SDZ
511513703151111, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1000 MG PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML, SDZ
511501501115410, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 12, SDZ
511501502111419, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 6, SDZ
511501602116412, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT 03 BL AL PLAS INC X 10, SDZ
511501601111417, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, SDZ
511501701114116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT 4 BL AL PLAS INC X 10 , SDZ
511501703117112, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 20, SDZ
511501801119111, CIMETINA, CIMETINA, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20 , SDZ
511514501119418, CINTAG, CINTAG, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20, SDZ
511501901113415, CIPROBIOT, CIPROBIOT, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511501902111416, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511501903116411, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511510204111118, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511510202117119, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 3 BL AL PLAS INC X 10 , SDZ
511510205116113, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 4 BL AL PLAS INC X 7, SDZ
511502101110118, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 10 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502102117116, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 20 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502201115413, CLARILERG, CLARILERG, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 12, SDZ
511514401130411, CLAXAM, CLAXAM, NOT FOUND, 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR, SDZ
511514402110412, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV CT FR PLAS X 14, SDZ
511514403117410, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV FR PLAS X 20, SDZ
511502001116114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM REV CT BL AL PLAS INC X 14 , SDZ
511502005111117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511502003119110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, SDZ
511502004115119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511504103110111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 20, SDZ
511504102114113, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CP GEL DURA CT BL AL PLAS INC X 30, SDZ
511513203114118, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 1 G COM REV CT BL AL PLAS INC X 30, SDZ
511513201111111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, SDZ
511513202118111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, SDZ
511502602111117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502604112110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502603116112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT BL AL/AL X 10 , SDZ
511514102117111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 20, SDZ
511514101110111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 30, SDZ
511511502114113, CLORIDRATO DE SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 10                                                           , SDZ
511511501118115, CLORIDRATO DE SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, SDZ
511502401114119, CLORIDRATO DE SOTALOL, CLORIDRATO SOTALOL, CLORIDRATO SOTALOL, 160 MG COM CT BL AL PLAS INC X 20, SDZ
511509301115110, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CT BL AL PLAS BRANCO OPC X 10, SDZ
511509701113115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV AP CT BL AL PLAS BCO OPC X 20, SDZ
511509702111116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS BCO OPC X 30, SDZ
511509703116111, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
511502701118411, CO-ENAPROTEC, CO ENAPROTEC, NOT FOUND, 10 MG + 25 MG COM CT STR X 30, SDZ
511502702114411, CO-ENAPROTEC, CO ENAPROTEC, NOT FOUND, 20 MG + 12.5 MG COM CT STR X 30, SDZ
511502801112415, COR MIO, COR MIO, NOT FOUND, 200 MG COM CT 2 BL AL PLAS INC X 10, SDZ
511501101117114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501104116119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501105112117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501107115113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501108111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501301116413, CAPTOTEC, CAPTOTEC, NOT FOUND, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501302112411, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501304115418, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 4 BL AL PLAS INC X 14, SDZ
511501305111416, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, SDZ
511501306118414, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, SDZ
511501303119411, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501307114412, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, SDZ
511501401110417, CAPTOTEC HCT, CAPTOTEC HCT, NOT FOUND, 50 MG + 25 MG COM CT BL AL PLAS INC X 30, SDZ
511512902132117, CEFADROXILA, CEFADROXILA, CEFADROXILA, 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512901136119, CEFADROXILA, CEFADROXILA, CEFADROXILA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512903112111, CEFADROXILA, CEFADROXILA, CEFADROXILA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 08, SDZ
511510601119115, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, SDZ
511510602115113, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511510603111111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP), SDZ
511510604118111, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 40, SDZ
511513703151111, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1000 MG PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML, SDZ
511501501115410, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 12, SDZ
511501502111419, CETIHEXAL, CETIHEXAL, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 6, SDZ
511501602116412, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT 03 BL AL PLAS INC X 10, SDZ
511501601111417, CETOHEXAL, CETOHEXAL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, SDZ
511501701114116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT 4 BL AL PLAS INC X 10 , SDZ
511501703117112, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 20, SDZ
511501801119111, CIMETINA, CIMETINA, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20 , SDZ
511514501119418, CINTAG, CINTAG, NOT FOUND, 200 MG COM CT BL AL PLAS AMB X 20, SDZ
511501901113415, CIPROBIOT, CIPROBIOT, NOT FOUND, 250 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511501902111416, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511501903116411, CIPROBIOT, CIPROBIOT, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511510204111118, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 2 BL AL PLAS INC X 7, SDZ
511510202117119, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 3 BL AL PLAS INC X 10 , SDZ
511510205116113, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT 4 BL AL PLAS INC X 7, SDZ
511502101110118, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 10 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502102117116, CITRATO DE TAMOXIFENO, CITRATO TAMOXIFENO, CITRATO TAMOXIFENO, 20 MG COM REV BL AL PLAS BCO OPC X 30, SDZ
511502201115413, CLARILERG, CLARILERG, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 12, SDZ
511514401130411, CLAXAM, CLAXAM, NOT FOUND, 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR, SDZ
511514402110412, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV CT FR PLAS X 14, SDZ
511514403117410, CLAXAM, CLAXAM, NOT FOUND, 875 MG + 125 MG COM REV FR PLAS X 20, SDZ
511502001116114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM REV CT BL AL PLAS INC X 14 , SDZ
511502005111117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
511502003119110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, SDZ
511502004115119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6 , SDZ
511504103110111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 20, SDZ
511504102114113, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CP GEL DURA CT BL AL PLAS INC X 30, SDZ
511513203114118, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 1 G COM REV CT BL AL PLAS INC X 30, SDZ
511513201111111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, SDZ
511513202118111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, SDZ
511502602111117, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502604112110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT 2 BL AL/AL X 10, SDZ
511502603116112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 300 MG COM REV CT BL AL/AL X 10 , SDZ
511514102117111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 20, SDZ
511514101110111, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS BCO X 30, SDZ
