504902103118415, METFORM, METFORM, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, BRT
504902102111417, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP), BRT
504902105110411, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT FR PLAS OPC X 30, BRT
504902101115419, METFORM, METFORM, NOT FOUND, 850MG COM VER CT 3 BL AL PLAS INC X 10, BRT
504902103118415, METFORM, METFORM, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, BRT
504902104114413, METFORM, METFORM, NOT FOUND, 500 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP), BRT
504902102111417, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP), BRT
504902105110411, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT FR PLAS OPC X 30, BRT
504902101115419, METFORM, METFORM, NOT FOUND, 850MG COM VER CT 3 BL AL PLAS INC X 10, BRT
504902103118415, METFORM, METFORM, NOT FOUND, 500 MG COM REV CT 3 BL AL PLAS INC X 10, BRT
504902104114413, METFORM, METFORM, NOT FOUND, 500 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP), BRT
504902105110411, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT FR PLAS OPC X 30, BRT
504902101115419, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT BL AL PLAS INC X 30, BRT
504902102111417, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), BRT
504902101115419, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT BL AL PLAS INC X 30, BRT
504902102111417, METFORM, METFORM, NOT FOUND, 850 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), BRT
