68392; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; PZ8
70502; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 50; PZ8
63094; PRATICILIN ; PRATICILIN; NOT FOUND; CAPS 500 MG x 300; PZ8
63164; PRATICILIN ; PRATICILIN; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); PZ8
63096; PRATICILIN ; PRATICILIN; NOT FOUND; SUSP 250 MG 60 ML x 50 (/5ML); PZ8
69626; PRATIDERM ; PRATIDERM; NOT FOUND; POM.DERMAT 60 G x 1; PZ8
76337; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 20; PZ8
76339; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 30; PZ8
76338; PRATIFOLIN ; PRATIFOLIN; NOT FOUND; CPR REVEST 5 MG x 400; PZ8
72819; PRATIGEL ; PRATIGEL; NOT FOUND; POM. 20 G x 1; PZ8
87544; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 135 G x 1; PZ8
72880; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 45 G x 1; PZ8
72881; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 45 G x 50; PZ8
87543; PRATIGLOS ; PRATIGLOS; NOT FOUND; POM. 90 G x 1; PZ8
73614; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 10 MG x 300; PZ8
67999; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 14; PZ8
64935; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 28; PZ8
75336; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 280; PZ8
68000; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 30; PZ8
67110; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 300; PZ8
81776; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 320; PZ8
70558; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 350; PZ8
145116; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 60; PZ8
145117; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 20 MG x 90; PZ8
70325; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 40 MG x 10; PZ8
85719; PRATIPRAZOL ; PRATIPRAZOL; NOT FOUND; CAPS 40 MG x 300; PZ8
73901; PRATSORIN ; PRATSORIN; NOT FOUND; SOLN NASAL 9 MG 30 ML x 1 (/ML); PZ8
73902; PRATSORIN ; PRATSORIN; NOT FOUND; SOLN NASAL 9 MG 45 ML x 1 (/ML); PZ8
73903; PRATSORIN-H ; PRATSORIN H; NOT FOUND; SPRAY NASAL 30 MG 60 ML x 1 (/ML); PZ8
75312; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; PZ8
75313; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 20; PZ8
160373; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 600; PZ8
75311; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; PZ8
160372; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 600; PZ8
77039; PROMETAZINA MG ; PROMETAZINA; PROMETAZINA; CAPS 25 MG x 20; PZ8
89966; PROMETAZINA MG ; PROMETAZINA; PROMETAZINA; CPR REVEST 25 MG x 120; PZ8
67149; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); PZ8
67151; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); PZ8
135047; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOL CAP 0.50 MG 50 G x 1 (/G); PZ8
