67798, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME 1 MG 10 G x 1 (/G), PZ8
75268, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 210, PZ8
85431, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 280, PZ8
74991, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 840, PZ8
74463, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), PZ8
74701, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 60 ML x 1 (/5ML), PZ8
75067, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 500 MG 150 ML x 1 (/5ML), PZ8
76588, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 12, PZ8
76589, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 21, PZ8
75968, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 480, PZ8
106155, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 840, PZ8
74464, AMPICILINA MG , AMPICILINA, AMPICILINA, SUSP 250 MG 150 ML x 1 (/5ML), PZ8
137027, AMPICILINA MG , AMPICILINA, AMPICILINA, SUSP 50 MG 60 ML x 1 (/ML), PZ8
94137, AMPICILINA MG , AMPICILINA, AMPICILINA, SUSP 50 MG 60 ML x 50 (/ML), PZ8
62899, AMPLOBIOTIC , AMPLOBIOTIC, NOT FOUND, CAPS 500 MG x 300, PZ8
72939, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, PZ8
73164, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 600, PZ8
94138, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 280, PZ8
72938, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, PZ8
73165, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 600, PZ8
72937, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, PZ8
73166, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 600, PZ8
74703, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 1 G x 1, PZ8
74704, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 1 G x 150, PZ8
75920, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 120, PZ8
166133, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 150, PZ8
74430, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, PZ8
74535, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, PZ8
78230, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 300, PZ8
74707, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 450, PZ8
164468, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 5, PZ8
74705, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 200 MG 15 ML x 1 (/5ML), PZ8
74706, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 200 MG 22.5 ML x 1 (/5ML, PZ8
131343, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 900 MG 22.5 ML x 50, PZ8
