531300405113311, DAFLON, DAFLON, NOT FOUND, 500 - 60 COMP. REV., SVR
531300405113311, DAFLON, DAFLON, NOT FOUND, 500 - 60 COMP. REV., SVR
531300403110315, DAFLON, DAFLON, NOT FOUND, 500MG 15 COMP. REV., SVR
531300404117313, DAFLON, DAFLON, NOT FOUND, 500MG 30 COMP. REV., SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 15 COMPRIMIDOS, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 COMPRIMIDOS, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 60 COMPRIMIDOS, SVR
531300405113311, DAFLON, DAFLON, NOT FOUND, 500 - 60 COMP. REV., SVR
531300403110315, DAFLON, DAFLON, NOT FOUND, 500MG 15 COMP. REV., SVR
531300404117313, DAFLON, DAFLON, NOT FOUND, 500MG 30 COMP. REV., SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 15 COMPRIMIDOS, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 COMPRIMIDOS, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 60 COMPRIMIDOS, SVR
531300405113311, DAFLON, DAFLON, NOT FOUND, 500 - 60 COMP. REV., SVR
531300403110315, DAFLON, DAFLON, NOT FOUND, 500MG 15 COMP. REV., SVR
531300404117313, DAFLON, DAFLON, NOT FOUND, 500MG 30 COMP. REV., SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 15 COMPRIMIDOS, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 COMPRIMIDOS, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 60 COMPRIMIDOS, SVR
531300405113311, DAFLON, DAFLON, NOT FOUND, 500 - 60 COMP. REV., SVR
531300403110315, DAFLON, DAFLON, NOT FOUND, 500MG 15 COMP. REV., SVR
531300404117313, DAFLON, DAFLON, NOT FOUND, 500MG 30 COMP. REV., SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 15 COMPRIMIDOS, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 COMPRIMIDOS, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 60 COMPRIMIDOS, SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 15, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CX BL AL PLAS INC X 30, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CX BL AL PLAS INC X 60, SVR
531300403110315, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 15, SVR
531300404117313, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 30, SVR
531300405113311, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 60, SVR
531300601117316, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 15, SVR
531300602113314, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CX BL AL PLAS INC X 30, SVR
531300603111315, DIAMICRON MR, DIAMICRON MR, NOT FOUND, 30 MG COM CX BL AL PLAS INC X 60, SVR
531300403110315, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 15, SVR
531300404117313, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 30, SVR
531300405113311, DAFLON 500, DAFLON 500, NOT FOUND, 450 + 50 MG COM REV CT BL AL PLAS INC X 60, SVR
