507902402152417; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML ; EQX
507914060011004; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011104; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 150 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011603; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011703; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011803; SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507902102159416; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 100 ML; EQX
507902107150417; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML; EQX
507902103155414; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML; EQX
507902104151412; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML; EQX
507902101152418; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 50 ML; EQX
507902105158410; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML; EQX
507902106154419; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX; SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML; EQX
507902202153411; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 12 FA PLAS TRANS SIST FECH X 1000 ML ; EQX
507902201157411; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 40 FA PLAS TRANS SIST FECH X 250 ML; EQX
507902203151410; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 48 FA PLAS TRANS SIST FECH X 250 ML; EQX
507902204156416; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 24 FA PLAS TRANS SIST FECH X 500 ML; EQX
507902205152414; SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX; SOLUCAO GLICOFISIOLOGICA EQUIPLEX; NOT FOUND; (9 MG + 50 MG)/ML SOL INJ IV CX 20 FA PLAS TRANS SIST FECH X 500 ML; EQX
507914060011504; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 250 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011403; SOLUCAO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507914060011204; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 120 MG/ML SOL RET CX 48 FR PE X 250 ML; EQX
507914060011304; SOLUÇÃO DE GLICERINA; SOLUCAO GLICERINA; NOT FOUND; 120 MG/ML SOL RET CX 24 FR PE X 500 ML; EQX
507901514151414; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 100 ML; EQX
507901509158414; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; EQX
507901512159418; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
507901513155416; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
507901515158412; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 50 ML; EQX
507901510156411; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML; EQX
507901511152411; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; EQX
507901517150419; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 100 AMP PE X 20 ML; EQX
507901518157417; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PE X 20 ML; EQX
507901516154410; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 750 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
507902301151415; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
507902304150411; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
507902302158413; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
507902303154411; SOLUCAO DE MANITOL EQUIPLEX; SOLUCAO MANITOL EQUIPLEX; NOT FOUND; 200 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML ; EQX
