1031100120021; GLICO FISIOLÓGICA; GLICO FISIOLOGICA; NOT FOUND; 2X1 FR 500ML; H_I
1031100130084; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; BOLSA 100ML; H_I
1031100130106; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML ; H_I
1031100130394; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; BOLSA 500ML; H_I
1031100130076; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; BOLSA 50ML; H_I
1031100120127; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; AMP 10ML; H_I
1031100130165; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 20 ML; H_I
1031100130143; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 250ML; H_I
1031100130127; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 500ML; H_I
1031100130602; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML; H_I
1031100130637; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100130610; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100130629; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100130671; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100130696; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100130688; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100130599; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031101390012; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ML SOL INJ IV CX 100 AMP VD INC X 5 ML; H_I
1031101390020; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ ML SOL INJ IV CX 100 AMP VD INC X 10 ML; H_I
1031101390047; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; H_I
1031101390039; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 5 ML; H_I
1031100130742; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PP TRANS SIST FECH X 100 ML (EMB HOSP); H_I
1031100130831; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PVC TRANS SIST FECH X 100 ML (EMB HOSP); H_I
1031100130920; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PE TRANS SIST FECH X 100 ML (EMB HOSP); H_I
1031100131986; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100131978; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100132001; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100131994; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100132028; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031100132011; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100131412; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML; H_I
1031100131420; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 100 ML; H_I
1031100131439; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 100 ML; H_I
1031100131447; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML ; H_I
1031100131455; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100131463; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100131471; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; H_I
1031100131481; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100131498; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100131501; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; H_I
1031100131511; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100131528; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
