1031100570041; CEFALOTIM; CEFALOTIM; NOT FOUND; 1 G PO INJ CT 50 FA VD INC + AMP DIL X 4 ML; H_I
1031100110032; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 500ML 0.9% C/TAMPA; H_I
1031100410028; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; AMP 10ML 17.55%; H_I
1031100410036; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; AMP 10ML 20%; H_I
1031100410044; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; AMP 20ML 20%; H_I
1031100110423; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; H_I
1031100110431; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR; H_I
1031100110083; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031100110059; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML; H_I
1031100110067; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100110075; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100110040; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML; H_I
1031100110172; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; BOLSA 1000ML; H_I
1031100110131; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; BOLSA 100ML; H_I
1031100110156; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; BOLSA 250ML; H_I
1031100110164; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; BOLSA 500ML; H_I
1031100110121; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; BOLSA 50ML; H_I
1031100110377; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML  ; H_I
1031100110415; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 06 BOLS PE TRANS SIST FECH X 2000 ML  ; H_I
1031100110407; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML  ; H_I
1031100110393; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML  ; H_I
1031100110385; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML  ; H_I
1031100110369; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML; H_I
1031100110350; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML; H_I
1031100110342; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML; H_I
1031100110334; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML; H_I
1031100110318; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML ; H_I
1031100110474; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 80 BOLS PVC TRANS SIST FECH  X 100 ML (EMB HOSP)  ; H_I
1031100110563; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 80 BOLS PP TRANS SIST FECH X 100 ML (EMB HOSP)  ; H_I
1031100110652; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 80 BOLS PE TRANS SIST FECH X 100 ML (EMB HOSP)   ; H_I
1031100111179; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML; H_I
1031100111187; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 100 ML; H_I
1031100111195; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 100 ML ; H_I
1031100111209; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH 250 ML; H_I
1031100111217; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100111225; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100111233; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; H_I
1031100111241; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML ; H_I
1031100111251; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML  ; H_I
1031100111268; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML ; H_I
1031100111276; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML ; H_I
1031100111284; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ BOLS PVC TRANS SIST FECH X 1000 ML ; H_I
1031101430073; CLORIDRATO DE LIDOCAINA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG / ML SOL INJ CT 100 FA VD TRANS X 20 ML (EMB HOSP); H_I
1031101430014; CLORIDRATO DE LIDOCAINA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 10 MG / ML SOL INJ CX 200 AMP PLAS TRANS X 5 ML (EMB HOSP); H_I
1031100780011; CLORID.METOCLOPRAMIDA; CLORID METOCLOPRAMIDA; NOT FOUND; AMP 2ML; H_I
1031101360016; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 01 AMP VD AMB X 2 ML; H_I
1031101360024; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); H_I
1031101360032; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); H_I
1031101360040; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 1 AMP VD AMB X 4 ML; H_I
1031101360059; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 50 AMP VD AMB X 4 ML (EMB HOSP); H_I
1031101360067; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML (EMB HOSP); H_I
1031101410048; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 100 AMP VD TRANS X 1 ML; H_I
1031101410064; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 100 AMP VD TRANS X 2 ML ; H_I
1031101000052; CYMEVIR; CYMEVIR; NOT FOUND; 1 MG/ML SOL INJ CT BOLS PLAS X 250 ML(PRE-DIL CLORETO DE SODIO); H_I
1031101000095; CYMEVIR; CYMEVIR; NOT FOUND; 1 MG/ML SOL INJ CT BOLS PLAS X 500 ML(PRE-DIL GLICOSE); H_I
1031101000079; CYMEVIR; CYMEVIR; NOT FOUND; 1 MG/ML SOL INJ CT BOLS PLAS X 500 ML(PRE-DIL CLORETO DE SODIO); H_I
1031101000044; CYMEVIR; CYMEVIR; NOT FOUND; 1 MG/ML SOL INJ CT BOLS PLAS X 250 ML(PRE-DIL GLICOSE); H_I
1031101000176; CYMEVIR; CYMEVIR; NOT FOUND; 1.0 MG/ML SOL INJ CT 01 BOLS PLAS X 100 ML(PRE DILUIDA EM CLORETO DE SODIO); H_I
