1624100190015; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CT FR PLAS AMB X 100 ML + COP; M1L
1624100010254; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 250 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010246; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 250 BL AL PLAS LAR X 8; M1L
1624100010238; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 4 (EMB HOSP); M1L
1624100010221; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010211; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CX 250 BL AL PLAS LAR X 4 (EMB HOSP); M1L
1624100010203; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CX 250 BL AL PLAS LAR X 4; M1L
1624100010191; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CX 250 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010181; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CX 250 BL AL PLAS LAR X 8; M1L
1624100010173; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 250 BL AL PLAS X 4 (EMB HOSP); M1L
1624100010165; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 250 BL AL PLAS LAR X 4; M1L
1624100010157; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 250 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010149; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 250 BL AL PLAS LAR X 8; M1L
