74384; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME. 1 MG 10 G x 1 (/G); TTB
71306; ANDROCORTIL ; ANDROCORTIL; NOT FOUND; F.AMP S/DILU 500 MG x 50; TTB
69803; ANDROCORTIL ; ANDROCORTIL; NOT FOUND; F.AMP SOLV 100 MG 2 ML x 1; TTB
69802; ANDROCORTIL ; ANDROCORTIL; NOT FOUND; F.AMP SOLV 500 MG 5 ML x 1; TTB
57292; ANDROFLOXIN ; ANDROFLOXIN; NOT FOUND; CPR 400 MG x 14; TTB
55706; ANDROLIP ; ANDROLIP; NOT FOUND; CPR 10 MG x 30; TTB
46751; ANFLENE ; ANFLENE; NOT FOUND; CAPS 10 MG x 15; TTB
46752; ANFLENE ; ANFLENE; NOT FOUND; CAPS 20 MG x 15; TTB
67524; ANSIRAX ; ANSIRAX; NOT FOUND; CPR 2 MG x 20; TTB
53160; ANTIDIN ; ANTIDIN; NOT FOUND; CPR 150 MG x 20; TTB
103890; ANTI-OX ; ANTI OX; ANTIMONIUM OXYDATUM; CAPS GELATIN x 30; TTB
56053; ANTITENSIN ; ANTITENSIN; NOT FOUND; CPR 40 MG x 40; TTB
56054; ANTITENSIN ; ANTITENSIN; NOT FOUND; CPR 80 MG x 20; TTB
87340; APEFER BC ; APEFER BC; NOT FOUND; XAROPE 240 ML x 1; TTB
90025; ARNICA ; ARNICA; NOT FOUND; GEL . 60 G x 1; TTB
90033; ARNICA CONFREI ; ARNICA CONFREI; NOT FOUND; GEL . 60 G x 1; TTB
55113; ARTINIZONA ; ARTINIZONA; NOT FOUND; CPR 20 MG x 10; TTB
54637; ARTINIZONA ; ARTINIZONA; NOT FOUND; CPR 20 MG x 20; TTB
54636; ARTINIZONA ; ARTINIZONA; NOT FOUND; CPR 5 MG x 20; TTB
53319; ASMOFEN ; ASMOFEN; NOT FOUND; CPR 1 MG x 20; TTB
53320; ASMOFEN ; ASMOFEN; NOT FOUND; SOLN ORAL 1 MG 30 ML x 1 (/ML); TTB
53321; ASMOFEN ; ASMOFEN; NOT FOUND; XAR. 1 MG 120 ML x 1 (/5ML); TTB
75842; ATELIDONA ; ATELIDONA; NOT FOUND; CPR 12.5 MG x 30 (/50); TTB
75843; ATELIDONA ; ATELIDONA; NOT FOUND; CPR 12.5 MG x 60 (/50); TTB
75844; ATELIDONA ; ATELIDONA; NOT FOUND; CPR 25 MG x 30 (/100); TTB
75845; ATELIDONA ; ATELIDONA; NOT FOUND; CPR 25 MG x 60 (/100); TTB
62801; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 28; TTB
95871; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 60; TTB
113651; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 28; TTB
113652; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; TTB
69647; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; TTB
95866; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 60; TTB
74531; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); TTB
75403; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 60 (/50); TTB
74532; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); TTB
75404; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); TTB
56099; ATEPRESS ; ATEPRESS; NOT FOUND; CPR 100 MG x 28; TTB
57454; ATEPRESS ; ATEPRESS; NOT FOUND; CPR 50 MG x 28; TTB
85255; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; TTB
87166; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 60; TTB
85256; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; TTB
87168; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 60; TTB
54106; ATROMICIN ; ATROMICIN; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; TTB
100128; A-Z ; A Z; NOT FOUND; CAPS GELATIN x 60; TTB
72769; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 2; TTB
72770; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; TTB
82779; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 5; TTB
