1049100180157; JP FISIOLÓGICO; JP FISIOLOGICO; NOT FOUND; 9 MG/ML SOL INJ IV CX 50 BOLS PVC SIST FECH X 100 ML; JPI
1049100200433; JP GLICOSE 10%; JP GLICOSE 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 10 BOLS PVC SIST FECH X 1000 ML; JPI
1049100200301; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 90 FR PE TRANS SIST FECH X 100 ML; JPI
1049100200281; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 BOLS PVC SIST FECH X 1000 ML; JPI
1049100200352; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 12 FR PE TRANS SIST FECH X 1000 ML; JPI
1049100200271; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 BOLS PVC SIST FECH X 500 ML; JPI
1049100200328; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 FR PE TRANS SIST FECH X 250 ML; JPI
1049100200255; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 50 BOLS PVC SIST FECH X 100 ML; JPI
1049100200344; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 24 FR PE TRANS SIST FECH X 500 ML; JPI
1049100200263; JP GLICOSE 5%; JP GLICOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX 35 BOLS PVC SIST FECH X 250 ML; JPI
1049100120019; JP MANITOL; JP MANITOL; NOT FOUND; AMP SOL INJ CX COM 30; JPI
1049100120091; JP MANITOL; JP MANITOL; NOT FOUND; 200 MG/ML SOL INJ IV CX 35 BOLS PVC SIST FECH X 250 ML; JPI
1049100120111; JP MANITOL; JP MANITOL; NOT FOUND; 200 MG/ML SOL INJ IV CX 40 FR PLAS SIST FECH X 250 ML; JPI
