524308701118419, ACEROGRIP C, ACEROGRIP C, NOT FOUND, 1 G COM EFV CT PLAS OPC X 10, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS 15 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS EXTEMP CT FR PLAS OPC + FLAC DIL X 15 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
524300405137115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML, LR3
524300406133113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML, LR3
524300401115117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/ 350 CPS, LR3
524300402111115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/12 CAPSULAS - G, LR3
524300403118113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/21 CAPSULAS - G, LR3
524300404114111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG C/700 CAPSULAS -, LR3
524300501111113, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 300 CPS, LR3
524300502116119, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/ 600 CPS, LR3
524300503112117, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/12 CAPSULAS - GE, LR3
524300504119115, AMPICILINA, AMPICILINA, AMPICILINA, 500 MG C/24 CAPSULAS - GE, LR3
524300701178416, AZITROSOL, AZITROSOL, NOT FOUND, 600 MG PO SUS EXTEMP CT FR PLAS OPC + FLAC DIL X 15 ML, LR3
524308901133411, AMBROFLUX, AMBROFLUX, NOT FOUND, 3 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524308902131412, AMBROFLUX, AMBROFLUX, NOT FOUND, 6 MG/ML XPE CT FR PLAS OPC X 120 ML, LR3
524300601130411, APETIBE, APETIBE, NOT FOUND, SOLUCAO 240 ML, LR3
524300101138413, ALCAFELOL, ALCAFELOL, NOT FOUND, LIQUIDO 150 ML, LR3
