508303302132118, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED, FM_
508302906131119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302907138117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302908134115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508302909130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302910139110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302911135119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302912131117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508303302132118, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED, FM_
508303303139116, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 120 ML + CP MED, FM_
508303304135114, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 100 ML + CP MED, FM_
508303305131112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, FM_
508303306138110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 100 ML + 100 CP MED (EMB HOSP) , FM_
508303308130117, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303307134119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 100 ML + 100 CP MED (EMB HOSP), FM_
508303309137115, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303310135112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303301136111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508303311131110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303312138119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508300802150412, DICLOFARMA, DICLOFARMA, NOT FOUND, 25MG/3ML CX 5 AMPOLAS, FM_
508300801154414, DICLOFARMA, DICLOFARMA, NOT FOUND, AMPOLA VIDRO INCOLOR 3 ML, FM_
508300903151414, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508300902155416, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), FM_
508302901131110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML, FM_
508302902136116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML, FM_
508302903132114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, FM_
508302904139112, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, FM_
508302905135110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302906131119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302907138117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302908134115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508302909130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302910139110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302911135119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302912131117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508303302132118, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED, FM_
508303303139116, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 120 ML + CP MED, FM_
508303304135114, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 100 ML + CP MED, FM_
508303305131112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, FM_
508303306138110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 100 ML + 100 CP MED (EMB HOSP) , FM_
508303308130117, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303307134119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 100 ML + 100 CP MED (EMB HOSP), FM_
508303309137115, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303310135112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303301136111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508303311131110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303312138119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508300802150412, DICLOFARMA, DICLOFARMA, NOT FOUND, 25MG/3ML CX 5 AMPOLAS, FM_
508300803157410, DICLOFARMA, DICLOFARMA, NOT FOUND, 75 MG/3ML SOL INJ CX 100 AMP VD INC X 3 ML                                                          , FM_
508300801154414, DICLOFARMA, DICLOFARMA, NOT FOUND, AMPOLA VIDRO INCOLOR 3 ML, FM_
508300903151414, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508300902155416, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), FM_
508302901131110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML, FM_
508302902136116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML, FM_
508302903132114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, FM_
508302904139112, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, FM_
508302905135110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302906131119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302907138117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302908134115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508302909130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302910139110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302911135119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302912131117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508303302132118, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED, FM_
508303303139116, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 120 ML + CP MED, FM_
508303304135114, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 100 ML + CP MED, FM_
508303305131112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, FM_
508303306138110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 100 ML + 100 CP MED (EMB HOSP) , FM_
508303308130117, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303307134119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 100 ML + 100 CP MED (EMB HOSP), FM_
508303309137115, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303310135112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303301136111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508303311131110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303312138119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508300802150412, DICLOFARMA, DICLOFARMA, NOT FOUND, 25MG/3ML CX 5 AMPOLAS, FM_
508300803157410, DICLOFARMA, DICLOFARMA, NOT FOUND, 75 MG/3ML SOL INJ CX 100 AMP VD INC X 3 ML                                                          , FM_
508300801154414, DICLOFARMA, DICLOFARMA, NOT FOUND, AMPOLA VIDRO INCOLOR 3 ML, FM_
508300903151414, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508300902155416, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), FM_
508302901131110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML, FM_
508302902136116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML, FM_
508302903132114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, FM_
508302904139112, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, FM_
508302905135110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302906131119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302907138117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302908134115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508302909130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302910139110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302911135119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302912131117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508303302132118, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED, FM_
508303303139116, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR PET AMB X 120 ML + CP MED, FM_
508303304135114, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 100 ML + CP MED, FM_
508303305131112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, FM_
508303306138110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 100 ML + 100 CP MED (EMB HOSP) , FM_
508303308130117, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR PET AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303307134119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 100 ML + 100 CP MED (EMB HOSP), FM_
508303309137115, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 100 FR VD AMB X 120 ML + 100 CP MED (EMB HOSP), FM_
508303310135112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303301136111, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR PET AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508303311131110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), FM_
508303312138119, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), FM_
508300802150412, DICLOFARMA, DICLOFARMA, NOT FOUND, 25MG/3ML CX 5 AMPOLAS, FM_
508300803157410, DICLOFARMA, DICLOFARMA, NOT FOUND, 75 MG/3ML SOL INJ CX 100 AMP VD INC X 3 ML                                                          , FM_
508300801154414, DICLOFARMA, DICLOFARMA, NOT FOUND, AMPOLA VIDRO INCOLOR 3 ML, FM_
508300903151414, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), FM_
508300902155416, DIPIFARMA, DIPIFARMA, NOT FOUND, 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), FM_
508302901131110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML, FM_
508302902136116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML, FM_
508302903132114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, FM_
508302904139112, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, FM_
508302905135110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302906131119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302907138117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
508302908134115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP), FM_
508302909130113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP), FM_
508302910139110, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP), FM_
508302911135119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP), FM_
