508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
508302701157418, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 100 AMP VD AMB X 5 ML, FM_
508302702153416, VITAMINA C, VITAMINA C, NOT FOUND, 0.500G + 0.1157G + 0.0005G + 0.005G / 5 ML SOL INJ CX COM 50 AMP VD AMB X 5 ML, FM_
508302703151417, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 100 AMP VD AMB X 5ML, FM_
508302704156412, VITAMINA C, VITAMINA C, NOT FOUND, 1.00G + 0.2315G + 0.00075G + 0.0075G / 5ML SOL INJ CX COM 50 AMP VD AMB X 5ML, FM_
