508300201157412; CLORETO DE SÓDIO + CLORETO DE CÁLCIO + ASSOCIAÇÕES FARMACE; CLORETO SODIO CLORETO CALCIO ASSOCIACOES FARMACE; NOT FOUND; NA 138.0 + K 2.0 MEQ SOL HD ACD GAL PLAS INC X 5000 ML + 8.4% SOL BIC GAL X 5000 ML; FM_
508304216132111; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
508304201135111; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CT FR PLAS AMB X 100ML + CP MED; FM_
508304206137110; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 100 FR PLAS AMB X 100ML + 100 CP MED (EMB HOSP); FM_
508304207133119; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 60 FR PLAS AMB X 100ML + 60 CP MED (EMB HOSP); FM_
508304214131118; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); FM_
508304203138116; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 100 FR PLAS AMB X 120ML + 100 CP MED (EMB HOSP); FM_
508304204134114; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 60 FR PLAS AMB X 120 ML +60 CP MED (EMB HOSP); FM_
508304205130112; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; FM_
508304215136113; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
508302601152112; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); FM_
508302602159110; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML ; FM_
508302603155119; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); FM_
