1049713680014; CHOFRAFIG; CHOFRAFIG; NOT FOUND; SOL OR CT 12 FLAC INC X 10 ML; U_Q
1049713270037; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G ; U_Q
1049711820013; CLOXAZ; CLOXAZ; NOT FOUND; 1 MG COM CT 2 BL AL PLAS INC X 10; U_Q
1049711820021; CLOXAZ; CLOXAZ; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 10; U_Q
1049711820031; CLOXAZ; CLOXAZ; NOT FOUND; 4 MG COM CT 2 BL AL PLAS INC X 10; U_Q
1049712090027; CODEX; CODEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 12; U_Q
1049712090019; CODEX; CODEX; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS INC X 12; U_Q
1049702220017; CICLOGYN; CICLOGYN; NOT FOUND; 0.075 MG + 0.03 MG DRG CT EST CALEND X 21; U_Q
1049702860024; CICLO 21; CICLO 21; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 63; U_Q
1049702860016; CICLO 21; CICLO 21; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; U_Q
1049700200094; CORTISONAL; CORTISONAL; NOT FOUND; 100 MG PO INJ CT 50 FA VD INC; U_Q
1049700200057; CORTISONAL; CORTISONAL; NOT FOUND; 100 MG PO INJ CT FA VD INC + AMP DIL X 2 ML; U_Q
1049700200124; CORTISONAL; CORTISONAL; NOT FOUND; 500 MG PO INJ CT 50 FA VD INC; U_Q
1049700200140; CORTISONAL; CORTISONAL; NOT FOUND; 500 MG PO INJ CT FA VD INC + AMP DIL X 4 ML ; U_Q
1049700200049; CORTISONAL; CORTISONAL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; U_Q
