1049711500019; DEXACOBAL; DEXACOBAL; NOT FOUND; SOL INJ CT 3 AMP X 2 ML + 3 AMP X 1 ML; U_Q
1049713410025; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL DERM CT BG AL X 60 G; U_Q
1049713410017; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL DERM CT BG AL X 30 G; U_Q
1049712320014; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; U_Q
1049702040027; DORMIUM; DORMIUM; NOT FOUND; 5 MG/5ML SOL INJ CT 5 AMP VD INC X 5 ML; U_Q
1049702040061; DORMIUM; DORMIUM; NOT FOUND; 50MG/10ML SOL INJ CT 5 AMP VD INC X 10 ML; U_Q
1049702040035; DORMIUM; DORMIUM; NOT FOUND; 15 MG/3ML SOL INJ CT 5 AMP VD INC X 3 ML; U_Q
1049702040019; DORMIUM; DORMIUM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 20; U_Q
1049702040094; DORMIUM; DORMIUM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 30; U_Q
1049712340104; DOXAPROST; DOXAPROST; NOT FOUND; 1 MG COM CT 3 BL AL PLAS INC X 10; U_Q
1049712340090; DOXAPROST; DOXAPROST; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 10; U_Q
1049712340023; DOXAPROST; DOXAPROST; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 10; U_Q
1049712340112; DOXAPROST; DOXAPROST; NOT FOUND; 8 MG COM CT BL AL PLAS INC X 10; U_Q
1049712340041; DOXAPROST; DOXAPROST; NOT FOUND; 2 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP); U_Q
1049712340015; DOXAPROST; DOXAPROST; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 10; U_Q
1049712340082; DOXAPROST; DOXAPROST; NOT FOUND; 4 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP); U_Q
1049712340058; DOXAPROST; DOXAPROST; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 10; U_Q
1049712340031; DOXAPROST; DOXAPROST; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; U_Q
1049712340066; DOXAPROST; DOXAPROST; NOT FOUND; 4 MG COM CT 2 BL AL PLAS INC X 10; U_Q
1049712340120; DOXAPROST; DOXAPROST; NOT FOUND; 8 MG COM CT 3 BL AL PLAS INC X 10; U_Q
1049712340074; DOXAPROST; DOXAPROST; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; U_Q
1049700190048; DERMS; DERMS; NOT FOUND; 50 MG/G + 5 MG/G POM DERM CT BG AL X 30 G; U_Q
