159008, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 16 MG x 30 (/12.), LG6
70294, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME 20 MG 30 G x 1 (/G), LG6
69768, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, GEL. 25 MG 30 G x 1 (/G), LG6
69923, CETORO.TROMETAM.MG , CETORO TROMETAM, NOT FOUND, CPR SL 10 MG x 10, LG6
68318, CETORO.TROMETAM.MG , CETORO TROMETAM, NOT FOUND, SOLN OFTAL 0.50 % 5 ML x 1, LG6
76489, CICLOPIROX OLAM.MG , CICLOPIROX OLAM, CICLOPIROX OLAMINA, SOLN TOP. 10 MG 15 ML x 1 (/ML, LG6
62445, CIPROCILIN , CIPROCILIN, NOT FOUND, CPR REVEST 250 MG x 14, LG6
62444, CIPROCILIN , CIPROCILIN, NOT FOUND, CPR REVEST 250 MG x 6, LG6
62447, CIPROCILIN , CIPROCILIN, NOT FOUND, CPR REVEST 500 MG x 14, LG6
73877, CIPROFL+DEXAMET MG , CIPROFL DEXAMET, NOT FOUND, SOLN OFTAL 5 ML x 1, LG6
78499, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 1, LG6
77958, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, LG6
77954, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, LG6
78498, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, LG6
77955, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, LG6
77956, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, LG6
77957, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, LG6
68726, CIT.ORF+D.S+CAF MG , CIT ORF D S CAF, NOT FOUND, GOTAS 20 ML x 1, LG6
83414, CITAFORIN , CITAFORIN, NOT FOUND, CPR REVEST 20 MG x 30, LG6
77592, CLEANKINOL , CLEANKINOL, NOT FOUND, CREME 30 G x 1, LG6
77828, CLEANKINOL , CLEANKINOL, NOT FOUND, GEL. 30 G x 1, LG6
78712, CLO DOR+MAL TIM MG , CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL 5 ML x 1, LG6
76469, CLO DORZOLAMIDA MG , CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML, LG6
68179, CLO DOXICICLINA MG , CLO DOXICICLINA, CLORIDRATO DOXICICLINA, CPR REVEST 100 MG x 15, LG6
78728, CLO HIDROXIZINA MG , CLO HIDROXIZINA, NOT FOUND, CPR 25 MG x 30, LG6
77233, CLO HIDROXIZINA MG , CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 120 ML x 1 (/ML), LG6
96332, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 15 MG x 15, LG6
96335, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 30 MG x 15, LG6
76775, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 10 MG x 30, LG6
76776, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, LG6
71641, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CREME 10 MG 20 G x 1 (/G), LG6
69100, CLO TETR+ANFO B MG , CLO TETR ANFO B, NOT FOUND, CR.VAG.10APL 45 G x 1, LG6
73675, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 20, LG6
73676, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, LG6
76493, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 14, LG6
76492, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 30, LG6
128848, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 37.5 MG x 30, LG6
113409, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 75 MG x 30, LG6
68226, CLO.ANFEPRAMONA MG , CLO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, CPR 25 MG x 20, LG6
68227, CLO.ANFEPRAMONA MG , CLO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, CPR 75 MG x 20, LG6
74901, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 30, LG6
68223, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, GOTAS 2.50 MG 20 ML x 1 (/ML), LG6
83343, CLOPIDO-GRAN , CLOPIDO GRAN, NOT FOUND, CPR REVEST 75 MG x 28, LG6
81138, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR 75 MG x 28, LG6
69098, CLOR BETAXOLOL MG , CLOR BETAXOLOL, CLORIDRATO BETAXOLOL, SOLN OFTAL 5 MG 5 ML x 1 (/ML), LG6
94191, CLOR NARATRIPTA MG , CLOR NARATRIPTA, CLORIDRATO NARATRIPTANA, CPR REVEST 2.50 MG x 10, LG6
94193, CLOR NARATRIPTA MG , CLOR NARATRIPTA, CLORIDRATO NARATRIPTANA, CPR REVEST 2.50 MG x 4, LG6
68197, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS 50 MG x 10, LG6
69097, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XPE AD S/A 30 MG 120 ML x 1 (/5M, LG6
69096, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XPE INF S/A 15 MG 120 ML x 1 (/5, LG6
77269, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XPE ADLT 8 MG 120 ML x 1 (/5ML, LG6
69099, CLOR. LIDOCAINA MG , CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, GEL TOP. 20 MG 30 G x 1 (/G), LG6
68199, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, LG6
68225, CLOR.AMILO+HCT MG , CLOR AMILO HCT, NOT FOUND, CPR 2.50 MG x 30 (/25), LG6
68224, CLOR.AMILO+HCT MG , CLOR AMILO HCT, NOT FOUND, CPR 5 MG x 30 (/50), LG6
74902, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 20, LG6
85093, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 30, LG6
85089, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REV A P 150 MG x 60, LG6
76494, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 15, LG6
76495, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, LG6
82423, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 15, LG6
82424, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 30, LG6
76778, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 14, LG6
77723, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, LG6
68171, CLOR.CLOMIPRAMI.MG , CLOR CLOMIPRAMI, CLORIDRATO CLOMIPRAMINA, CPR 10 MG x 20, LG6
68172, CLOR.CLOMIPRAMI.MG , CLOR CLOMIPRAMI, CLORIDRATO CLOMIPRAMINA, CPR 25 MG x 20, LG6
68173, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50, LG6
68175, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 60 MG x 50, LG6
161218, CLOR.DULOXETINA MG , CLOR DULOXETINA, CLORIDRATO DULOXETINA, CAP LIB PROL 30 MG x 15, LG6
161216, CLOR.DULOXETINA MG , CLOR DULOXETINA, CLORIDRATO DULOXETINA, CAP LIB PROL 30 MG x 30, LG6
161217, CLOR.DULOXETINA MG , CLOR DULOXETINA, CLORIDRATO DULOXETINA, CAP LIB PROL 60 MG x 30, LG6
71445, CLOR.FENOXAZOLI.MG , CLOR FENOXAZOLI, CLORIDRATO FENOXAZOLINA, GOTAS NA AD 1 MG 10 ML x 1 (/ML, LG6
68183, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, LG6
68181, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CPR REVEST 20 MG x 30, LG6
68184, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, GOTAS 20 MG 20 ML x 1 (/ML), LG6
68186, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 1 G x 30, LG6
68190, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, LG6
68193, CLOR.METOCLOP.MG , CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML), LG6
68194, CLOR.NAFAZOLINA MG , CLOR NAFAZOLINA, CLORIDRATO NAFAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (, LG6
70403, CLOR.ONDANSETRO MG , CLOR ONDANSETRO, CLORIDRATO ONDANSETRONA, CPR REVEST 8 MG x 10, LG6
86490, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, LG6
68652, CLOR.PROPRA+HCT MG , CLOR PROPRA HCT, NOT FOUND, CPR 40 MG x 30 (/25), LG6
75923, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, LG6
71640, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, XPE 75 MG 120 ML x 1 (/5ML), LG6
69525, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 100 MG x 14, LG6
69524, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, LG6
70271, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, LG6
55426, CLORASEPTIC , CLORASEPTIC, NOT FOUND, SPRAY 25 ML x 1, LG6
68781, CLOTRI+AC.DEXAM.MG , CLOTRI AC DEXAM, NOT FOUND, CREME 40 G x 1, LG6
68200, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CR.VAG. 6APL 10 MG 35 G x 1 (/G), LG6
72910, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CREME DERMAT 10 MG 20 G x 1 (/G), LG6
32471, COBAGLOBAL , COBAGLOBAL, NOT FOUND, CPR x 16, LG6
52458, COBAGLOBAL , COBAGLOBAL, NOT FOUND, XAR. 100 ML x 1, LG6
2621, COLIRIO LEGRAND , COLIRIO LEGRAND, NOT FOUND, COLIRIO 20 ML x 1, LG6
97410, CORIZZ DIA , CORIZZ DIA, NOT FOUND, CPR x 100, LG6
97408, CORIZZ DIA , CORIZZ DIA, NOT FOUND, CPR x 24, LG6
93541, CORIZZ NOITE , CORIZZ NOITE, NOT FOUND, CPR x 200, LG6
93540, CORIZZ NOITE , CORIZZ NOITE, NOT FOUND, CPR x 24, LG6
