55744, GELMAX , GELMAX, NOT FOUND, CPR PAP.&.CA x 24, E3S
64729, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, E3S

78673, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, E3S

55381, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 100, E3S

57620, GELMAX , GELMAX, NOT FOUND, SAC.EF.LIMAO 5 G x 100, E3S

95602, GEROVITAL PHYTUS , GEROVITAL PHYTUS, NOT FOUND, CAPS x 60, E3S

78674, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, E3S

63621, GLOSSALIV , GLOSSALIV, NOT FOUND, POM. 45 G x 1, E3S

95684, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, E3S

66030, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), E3S

72146, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 300 MG x 30, E3S

72147, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 400 MG x 30, E3S

71613, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, E3S

54422, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 20, E3S

140507, GLIMATIN , GLIMATIN, NOT FOUND, CPR REVEST 400 MG x 30, E3S

61748, GLICLAZIDA MG , GLICLAZIDA, GLICLAZIDA, CPR 80 MG x 30, E3S

77304, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, E3S

92356, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 100, E3S

92355, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 24, E3S

71612, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, E3S

66735, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, GM2

71374, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, GM2

71375, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, GM2

76656, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, GM2

76981, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, GM2

66732, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, GM2

80432, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, GM2

80434, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, GM2

80433, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, GM2

75645, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 1, GM2

66733, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, GM2

75646, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 2, GM2

66736, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 66.6 MG 120 ML x 1 (/5ML), GM2

76980, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, GM2

69109, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), LG6

68248, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, LG6

77306, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, LG6

77136, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), LG6

78705, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, LG6

47917, GENTAGRAN , GENTAGRAN, NOT FOUND, POM. OFTAL 0.30 % 3 G x 1, LG6

68247, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, LG6

68734, GLIANSOR , GLIANSOR, NOT FOUND, CPR 2 MG x 30, LG6

68249, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), LG6

77137, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), LG6

71466, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, LG6

71465, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, LG6

68246, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, LG6

72333, GLIANSOR , GLIANSOR, NOT FOUND, CPR 1 MG x 30, LG6

68735, GLIANSOR , GLIANSOR, NOT FOUND, CPR 4 MG x 30, LG6

55210, GLYFUCAN , GLYFUCAN, NOT FOUND, CAPS 150 MG x 1, LG6

71566, GINKOTAB , GINKOTAB, NOT FOUND, CPR 80 MG x 30, LR3

71567, GINKOTAB , GINKOTAB, NOT FOUND, CPR 120 MG x 30, LR3

63897, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 30, MD7

72520, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, MD7

72521, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, MD7

72519, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, MD7

72523, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, MD7

63898, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 15, MD7

78996, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR SULCADO 5 MG x 30, MD7

78997, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR SULCADO 5 MG x 60, MD7

72522, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, MD7

154111, GLYCARE , GLYCARE, NOT FOUND, SAB LIQ FAC 120 ML x 1, MQF

31742, GARASONE , GARASONE, NOT FOUND, COLIRIO 10 ML x 1, MQF

154112, GLYCARE , GLYCARE, NOT FOUND, SAB BARRA 90 G x 1, MQF

64731, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 50, N_Q

54509, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 100, N_Q

76884, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE CEREJ 13.3 MG 120 ML x 1 (/ML), N_Q

85409, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, N_Q

77810, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, N_Q

47456, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 280 MG 2 ML x 1, N_Q

45905, GONOL , GONOL, NOT FOUND, PO/SUSP DOSE x 1, N_Q

54864, GLIONIL , GLIONIL, NOT FOUND, CPR 5 MG x 30, N_Q

63012, GESTROCON , GESTROCON, NOT FOUND, CR.VAG.C/APL 0.625 MG 25 G x 1 (/G), N_Q

62387, GARBITAL , GARBITAL, NOT FOUND, CPR 100 MG x 20, N_Q

54623, GINO-TERACIN B , GINO TERACIN B, NOT FOUND, CR.VAG.10APL 45 G x 1, N_Q

76414, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, N_Q

66567, GERIVIX , GERIVIX, NOT FOUND, DRAG x 30, N_Q

76411, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, N_Q

128856, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, N_Q

59592, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 160 MG 2 ML x 1, N_Q

50982, GONOL , GONOL, NOT FOUND, PO P/SUSP 60 ML x 1, N_Q

75939, GERIVIX , GERIVIX, NOT FOUND, DRAG x 50, N_Q

76885, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), N_Q

78836, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, N_Q

47556, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 80 MG 2 ML x 1, N_Q

65587, GLIMERAN , GLIMERAN, NOT FOUND, CPR 2 MG x 30, N_Q

64078, GESTRADIOL , GESTRADIOL, NOT FOUND, CPR x 21, N_Q

47144, GURGOL , GURGOL, NOT FOUND, DISCOS x 100, DNF

32067, GELOL , GELOL, NOT FOUND, AERO 60 ML x 1, DNF

56724, GELOL , GELOL, NOT FOUND, LIN. 45 ML x 1, DNF

4856, GELOL , GELOL, NOT FOUND, POM. 20 G x 1, DNF

55744, GELMAX , GELMAX, NOT FOUND, CPR PAP.&.CA x 24, E3S

57523, GRIPEN , GRIPEN, NOT FOUND, CPR F x 12, E3S

80384, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 1 MG x 30, E3S

64730, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, E3S

77171, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, E3S

32665, GLICERIN , GLICERIN, NOT FOUND, SUP INF x 6, E3S

32666, GLICERIN , GLICERIN, NOT FOUND, SUP AD x 6, E3S

33695, GELMAX , GELMAX, NOT FOUND, SUSP 240 ML x 1, E3S

80380, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 2 MG x 30, E3S

67717, GLIBENDIAB , GLIBENDIAB, NOT FOUND, CPR 5 MG x 30, E3S

77303, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, E3S

80383, GLYCOPIRIDA , GLYCOPIRIDA, NOT FOUND, CPR 4 MG x 30, E3S

69681, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 60, E3S

68107, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 13.3 MG 120 ML x 1 (/ML), E3S

61768, GYNAZOLE-1 , GYNAZOLE 1, NOT FOUND, CR.VAG. 1APL 2 % 5 G x 1, E3S

54423, GEROVITAL , GEROVITAL, NOT FOUND, CAPS x 60, E3S

92352, GRIPEN DIA , GRIPEN DIA, NOT FOUND, CPR x 24, E3S

55746, GELMAX , GELMAX, NOT FOUND, SUSP PAP/CAS 240 ML x 1, E3S

71904, GRIPEN , GRIPEN, NOT FOUND, CAPS F x 20, E3S

64575, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, E3S

55745, GELMAX , GELMAX, NOT FOUND, CPR PAP.&.CA x 120, E3S

80178, GABANEURIN , GABANEURIN, NOT FOUND, CPR REVEST 600 MG x 27, E3S

92354, GRIPEN DIA , GRIPEN DIA, NOT FOUND, CPR x 100, E3S

57619, GELMAX , GELMAX, NOT FOUND, SAC.EF.LIMAO 5 G x 20, E3S

49196, GELMAX , GELMAX, NOT FOUND, CPR MASC x 24, E3S

72559, GELMAX DIM , GELMAX DIM, NOT FOUND, SUSP ORAL 240 ML x 1, E3S

69682, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 60, E3S

50284, GELMAX , GELMAX, NOT FOUND, CPR MASC x 120, E3S

78921, GASTROBENE NF , GASTROBENE NF, NOT FOUND, CAPS 10 MG x 20, E3S

64729, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, E3S

78673, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, E3S

55381, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 100, E3S

57620, GELMAX , GELMAX, NOT FOUND, SAC.EF.LIMAO 5 G x 100, E3S

95602, GEROVITAL PHYTUS , GEROVITAL PHYTUS, NOT FOUND, CAPS x 60, E3S

78674, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, E3S

63621, GLOSSALIV , GLOSSALIV, NOT FOUND, POM. 45 G x 1, E3S

95684, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, E3S

66030, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), E3S

72146, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 300 MG x 30, E3S

72147, GABANEURIN , GABANEURIN, NOT FOUND, CAPS GELATIN 400 MG x 30, E3S

71613, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, E3S

54422, GELMAX , GELMAX, NOT FOUND, SACH.EF.ABAC 5 G x 20, E3S

140507, GLIMATIN , GLIMATIN, NOT FOUND, CPR REVEST 400 MG x 30, E3S

61748, GLICLAZIDA MG , GLICLAZIDA, GLICLAZIDA, CPR 80 MG x 30, E3S

77304, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, E3S

92356, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 100, E3S

92355, GRIPEN NOITE , GRIPEN NOITE, NOT FOUND, CPR x 24, E3S

71612, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, E3S

32860, GINGILONE , GINGILONE, NOT FOUND, POM. 10 G x 1, FAS

4929, GINGILONE , GINGILONE, NOT FOUND, CPR x 10, FAS

66735, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, GM2

71374, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, GM2

71375, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, GM2

76656, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, GM2

76981, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, GM2

66732, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, GM2

80432, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, GM2

80434, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, GM2

80433, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, GM2

75645, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 1, GM2

66733, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, GM2

75646, GLYFLUCAN , GLYFLUCAN, NOT FOUND, CAPS 150 MG x 2, GM2

66736, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 66.6 MG 120 ML x 1 (/5ML), GM2

76980, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, GM2

69109, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), LG6

68248, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, LG6

77306, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, LG6

77136, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), LG6

78705, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, LG6

47917, GENTAGRAN , GENTAGRAN, NOT FOUND, POM. OFTAL 0.30 % 3 G x 1, LG6

68247, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, LG6

68734, GLIANSOR , GLIANSOR, NOT FOUND, CPR 2 MG x 30, LG6

68249, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), LG6

77137, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), LG6

71466, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, LG6

71465, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, LG6

68246, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, LG6

72333, GLIANSOR , GLIANSOR, NOT FOUND, CPR 1 MG x 30, LG6

68735, GLIANSOR , GLIANSOR, NOT FOUND, CPR 4 MG x 30, LG6

55210, GLYFUCAN , GLYFUCAN, NOT FOUND, CAPS 150 MG x 1, LG6

55008, GASTROL , GASTROL, NOT FOUND, PO EFER NARA 5 G x 12, LR3

55005, GASTROL , GASTROL, NOT FOUND, SUSP LIMAO 250 ML x 1, LR3

55006, GASTROL , GASTROL, NOT FOUND, PO EFE.LIMAO 5 G x 12, LR3

71566, GINKOTAB , GINKOTAB, NOT FOUND, CPR 80 MG x 30, LR3

55009, GASTROL , GASTROL, NOT FOUND, PO EFER NARA 5 G x 50, LR3

55531, GASTROL , GASTROL, NOT FOUND, PO EFER ABA. 5 G x 50, LR3

47219, GASTROL , GASTROL, NOT FOUND, SUSP 250 ML x 1, LR3

55007, GASTROL , GASTROL, NOT FOUND, PO EFE.LIMAO 5 G x 50, LR3

49835, GASTROL , GASTROL, NOT FOUND, PASTI.MASTIC x 20, LR3

52100, GASTROL TC , GASTROL TC, NOT FOUND, PASTI.MASTIC x 30, LR3

55530, GASTROL , GASTROL, NOT FOUND, PO EFER ABA. 5 G x 12, LR3

65158, GASTROL , GASTROL, NOT FOUND, SUSP PAPAIA 250 ML x 1, LR3

71567, GINKOTAB , GINKOTAB, NOT FOUND, CPR 120 MG x 30, LR3

52101, GASTROL TC , GASTROL TC, NOT FOUND, SUSP 240 ML x 1, LR3

65290, GASTROL , GASTROL, NOT FOUND, PO EFE.PAPAI 5 G x 50, LR3

68418, GASTROL , GASTROL, NOT FOUND, PASTI.MASTIC x 200, LR3

63897, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 30, MD7

72520, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, MD7

72521, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, MD7

72519, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, MD7

72523, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, MD7

63898, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 15, MD7

78996, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR SULCADO 5 MG x 30, MD7

78997, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR SULCADO 5 MG x 60, MD7

72522, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, MD7

154111, GLYCARE , GLYCARE, NOT FOUND, SAB LIQ FAC 120 ML x 1, MQF

31742, GARASONE , GARASONE, NOT FOUND, COLIRIO 10 ML x 1, MQF

154112, GLYCARE , GLYCARE, NOT FOUND, SAB BARRA 90 G x 1, MQF

70347, GINKOLIS C/O , GINKOLIS C O, NOT FOUND, CREME 15 ML x 1, N2E

74221, GINKOLIS R O , GINKOLIS R O, NOT FOUND, GEL OLHOS 15 ML x 1, N2E

70338, GINKOLIS A/R , GINKOLIS A R, NOT FOUND, CREME 30 ML x 1, N2E

64731, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 50, N_Q

54509, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 100, N_Q

76884, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE CEREJ 13.3 MG 120 ML x 1 (/ML), N_Q

85409, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, N_Q

77810, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, N_Q

47456, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 280 MG 2 ML x 1, N_Q

45905, GONOL , GONOL, NOT FOUND, PO/SUSP DOSE x 1, N_Q

54864, GLIONIL , GLIONIL, NOT FOUND, CPR 5 MG x 30, N_Q

63012, GESTROCON , GESTROCON, NOT FOUND, CR.VAG.C/APL 0.625 MG 25 G x 1 (/G), N_Q

62387, GARBITAL , GARBITAL, NOT FOUND, CPR 100 MG x 20, N_Q

54623, GINO-TERACIN B , GINO TERACIN B, NOT FOUND, CR.VAG.10APL 45 G x 1, N_Q

76414, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, N_Q

66567, GERIVIX , GERIVIX, NOT FOUND, DRAG x 30, N_Q

76411, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, N_Q

128856, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, N_Q

59592, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 160 MG 2 ML x 1, N_Q

50982, GONOL , GONOL, NOT FOUND, PO P/SUSP 60 ML x 1, N_Q

75939, GERIVIX , GERIVIX, NOT FOUND, DRAG x 50, N_Q

76885, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), N_Q

78836, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, N_Q

47556, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 80 MG 2 ML x 1, N_Q

65587, GLIMERAN , GLIMERAN, NOT FOUND, CPR 2 MG x 30, N_Q

64078, GESTRADIOL , GESTRADIOL, NOT FOUND, CPR x 21, N_Q

73556, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, S_A

28224, GARDENAL , GARDENAL, NOT FOUND, GOTAS INF 40 MG 20 ML x 1 (/ML), S_A

73557, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, S_A

73559, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, S_A

28012, GARDENAL , GARDENAL, NOT FOUND, CPR 50 MG x 20, S_A

47705, GINO-LOPROX , GINO LOPROX, NOT FOUND, CR.VAG. 6APL 1 % 35 G x 1, S_A

4805, GARDENAL , GARDENAL, NOT FOUND, CPR 100 MG x 20, S_A

77018, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, S_A

77019, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 60, S_A

73558, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, S_A

73560, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, S_A

