519001601175417, CALAMYN, CALAMYN, NOT FOUND, LOCAO CREMOSA (FR C/120ML), N_Q
519002303119118, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM CT 2 BL AL PLAS INC X 8, N_Q
519002403156414, CITROPLEX, CITROPLEX, NOT FOUND, INJ 500MG (CX C/50 AMP C/5ML), N_Q
519030401170415, CLANISTIL, CLANISTIL, NOT FOUND, 0.25 MG/ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML, N_Q
519002501115410, CLARINEO, CLARINEO, NOT FOUND, 250MG COM REV CT BL AL PLAS AMB X 8, N_Q
519002601179410, CLEAN HAIR, CLEAN HAIR, NOT FOUND, 10MG LOC EMUL CT FR PLAS OP X 60ML, N_Q
519029101177119, CLORANFENICOL, CLORANFENICOL, CLORANFENICOL, 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, N_Q
519021301118110, CLORIDRATO DE AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM CT BL AL PLAS INC X 20, N_Q
519021403115110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, N_Q
519021401112114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500MG COM REVES CT BL AL PLAS INC X 6, N_Q
519027601156114, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML (EMB HOSP) , N_Q
519027602152112, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 50 AMP VD INC X 20 ML (EMB HOSP), N_Q
519027701150118, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), N_Q
519006404157115, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP), N_Q
519006403150117, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP), N_Q
519006401158110, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 300MG (CX C/1 AMP C/ 1ML), N_Q
519006402154119, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 600MG (CX C/1 AMP C/2ML), N_Q
519026101176118, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CT FR PLAS INC GOT X 30 ML, N_Q
519002801119111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT 2 BL AL PLAS INC X 15, N_Q
519002803111116, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 80 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519029001164112, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10MG/G CREM DERM CT BG AL X 20G, N_Q
519027801139116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 100MG/ML SOL OR CT FR PLAS AMB GOT X 10ML, N_Q
519021501168111, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20, N_Q
519020401119412, CODERGINE, CODERGINE, NOT FOUND, 6 MG CAP GEL DURA CT BL AL PLAS X 14, N_Q
519021903118410, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525, N_Q
519021902111412, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525 (EMB HOSP), N_Q
519021901115414, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG+0.030 MG DRG CT BL AL PLAS INC X 21, N_Q
519020501156417, CONSTRICTION, CONSTRICTION, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, N_Q
519002904112411, CORTICORTEN, CORTICORTEN, NOT FOUND, 20 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002901113415, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, N_Q
519002903116411, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002902111416, CORTICORTEN, CORTICORTEN, NOT FOUND, CP 20MG (CX C/2 BL C/10), N_Q
519003001175412, CROMOCATO, CROMOCATO, NOT FOUND, SOL NASAL 40MG (FRPL C/ 13ML), N_Q
519025801174111, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ ML SOL NAS CT FR PLAS OPC SPR X 13 ML + APLIC, N_Q
519025802170118, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519001601175417, CALAMYN, CALAMYN, NOT FOUND, LOCAO CREMOSA (FR C/120ML), N_Q
519001704111111, CAPOTRIL, CAPOTRIL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519001701110414, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 12.5MG (CX C/1 BL C/30), N_Q
519001702117412, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 25MG (CX C/1 BL C/16), N_Q
519001703113410, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 50MG (CX C/3 BL C/10), N_Q
519023601119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CX BL AL PLAS INC X 30, N_Q
519023606110111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CX BL AL PLAS INC X 30, N_Q
519023609111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CX BL AL PLAS INC X 30, N_Q
519023701113112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, N_Q
519023702111113, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, N_Q
519022401132113, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE AD 50MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519022402139111, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE INF 20MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519020301114419, CEFACLOREN, CEFACLOREN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, N_Q
519030301117415, CEFANID, CEFANID, NOT FOUND, 500 MG COM CT ENV AL X 8, N_Q
519021201156118, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1G PO SOL INJ IV CX 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP), N_Q
519002001112412, CEPROFEN, CEPROFEN, NOT FOUND, 50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12, N_Q
519025502134418, CETILPLEX, CETILPLEX, NOT FOUND, 100MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025503130416, CETILPLEX, CETILPLEX, NOT FOUND, 200MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025501138411, CETILPLEX, CETILPLEX, NOT FOUND, 20MG/ML XPE CT FR VD AMB X 100ML, N_Q
519002102113112, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAST INC X 10, N_Q
519002101168118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, CREME 20MG/GR (BG AL C/30GR), N_Q
519002204161418, CETONEO, CETONEO, NOT FOUND, 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), N_Q
519002201111411, CETONEO, CETONEO, NOT FOUND, CP 200MG (CX C/1 BL C/10), N_Q
519002202169411, CETONEO, CETONEO, NOT FOUND, CREME 20MG/GR (BG AL C/30GR), N_Q
519002203173412, CETONEO, CETONEO, NOT FOUND, SHAMPOO (FR C/100ML), N_Q
519028401177116, CETOROLACO DE TROMETAMOL, CETOROLACO TROMETAMOL, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519002301116111, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM CT 1 BL AL PLAS INC X 10, N_Q
519002303119118, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM CT 2 BL AL PLAS INC X 8, N_Q
519002403156414, CITROPLEX, CITROPLEX, NOT FOUND, INJ 500MG (CX C/50 AMP C/5ML), N_Q
519030401170415, CLANISTIL, CLANISTIL, NOT FOUND, 0.25 MG/ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML, N_Q
519002501115410, CLARINEO, CLARINEO, NOT FOUND, 250MG COM REV CT BL AL PLAS AMB X 8, N_Q
519002601179410, CLEAN HAIR, CLEAN HAIR, NOT FOUND, 10MG LOC EMUL CT FR PLAS OP X 60ML, N_Q
519029101177119, CLORANFENICOL, CLORANFENICOL, CLORANFENICOL, 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, N_Q
519021301118110, CLORIDRATO DE AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM CT BL AL PLAS INC X 20, N_Q
519021403115110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, N_Q
519021401112114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500MG COM REVES CT BL AL PLAS INC X 6, N_Q
519027601156114, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML (EMB HOSP) , N_Q
519027602152112, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 50 AMP VD INC X 20 ML (EMB HOSP), N_Q
519027701150118, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), N_Q
519006404157115, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP), N_Q
519006403150117, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP), N_Q
519006401158110, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 300MG (CX C/1 AMP C/ 1ML), N_Q
519006402154119, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 600MG (CX C/1 AMP C/2ML), N_Q
519026101176118, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CT FR PLAS INC GOT X 30 ML, N_Q
519002801119111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT 2 BL AL PLAS INC X 15, N_Q
519002803111116, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 80 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519029001164112, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10MG/G CREM DERM CT BG AL X 20G, N_Q
519027801139116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 100MG/ML SOL OR CT FR PLAS AMB GOT X 10ML, N_Q
519021501168111, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20, N_Q
519020401119412, CODERGINE, CODERGINE, NOT FOUND, 6 MG CAP GEL DURA CT BL AL PLAS X 14, N_Q
519021903118410, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525, N_Q
519021902111412, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525 (EMB HOSP), N_Q
519021901115414, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG+0.030 MG DRG CT BL AL PLAS INC X 21, N_Q
519020501156417, CONSTRICTION, CONSTRICTION, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, N_Q
519002904112411, CORTICORTEN, CORTICORTEN, NOT FOUND, 20 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002901113415, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, N_Q
519002903116411, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002902111416, CORTICORTEN, CORTICORTEN, NOT FOUND, CP 20MG (CX C/2 BL C/10), N_Q
519003001175412, CROMOCATO, CROMOCATO, NOT FOUND, SOL NASAL 40MG (FRPL C/ 13ML), N_Q
519025801174111, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ ML SOL NAS CT FR PLAS OPC SPR X 13 ML + APLIC, N_Q
519025802170118, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519001601175417, CALAMYN, CALAMYN, NOT FOUND, LOCAO CREMOSA (FR C/120ML), N_Q
519001704111111, CAPOTRIL, CAPOTRIL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519001701110414, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 12.5MG (CX C/1 BL C/30), N_Q
519001702117412, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 25MG (CX C/1 BL C/16), N_Q
519001703113410, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 50MG (CX C/3 BL C/10), N_Q
519023601119119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CX BL AL PLAS INC X 30, N_Q
519023606110111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CX BL AL PLAS INC X 30, N_Q
519023609111117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CX BL AL PLAS INC X 30, N_Q
519023701113112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, N_Q
519023702111113, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 30, N_Q
519022401132113, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE AD 50MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519022402139111, CARBOCISTEINA, CARBOCISTEINA, CARBOCISTEINA, XPE INF 20MG/ML (FR C/100ML) + COPO MEDIDA, N_Q
519020301114419, CEFACLOREN, CEFACLOREN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, N_Q
519030301117415, CEFANID, CEFANID, NOT FOUND, 500 MG COM CT ENV AL X 8, N_Q
519021201156118, CEFTRIAXONA SÓDICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1G PO SOL INJ IV CX 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP), N_Q
519002001112412, CEPROFEN, CEPROFEN, NOT FOUND, 50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12, N_Q
519025502134418, CETILPLEX, CETILPLEX, NOT FOUND, 100MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025503130416, CETILPLEX, CETILPLEX, NOT FOUND, 200MG GRAN CT 16 ENV KRAFT POLIET X 5G, N_Q
519025501138411, CETILPLEX, CETILPLEX, NOT FOUND, 20MG/ML XPE CT FR VD AMB X 100ML, N_Q
519002102113112, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAST INC X 10, N_Q
519002101168118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, CREME 20MG/GR (BG AL C/30GR), N_Q
519002204161418, CETONEO, CETONEO, NOT FOUND, 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), N_Q
519002201111411, CETONEO, CETONEO, NOT FOUND, CP 200MG (CX C/1 BL C/10), N_Q
519002202169411, CETONEO, CETONEO, NOT FOUND, CREME 20MG/GR (BG AL C/30GR), N_Q
519002203173412, CETONEO, CETONEO, NOT FOUND, SHAMPOO (FR C/100ML), N_Q
519028401177116, CETOROLACO DE TROMETAMOL, CETOROLACO TROMETAMOL, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519002301116111, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM CT 1 BL AL PLAS INC X 10, N_Q
519002303119118, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM CT 2 BL AL PLAS INC X 8, N_Q
519002403156414, CITROPLEX, CITROPLEX, NOT FOUND, INJ 500MG (CX C/50 AMP C/5ML), N_Q
519030401170415, CLANISTIL, CLANISTIL, NOT FOUND, 0.25 MG/ML + 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML, N_Q
519002501115410, CLARINEO, CLARINEO, NOT FOUND, 250MG COM REV CT BL AL PLAS AMB X 8, N_Q
519002601179410, CLEAN HAIR, CLEAN HAIR, NOT FOUND, 10MG LOC EMUL CT FR PLAS OP X 60ML, N_Q
519029101177119, CLORANFENICOL, CLORANFENICOL, CLORANFENICOL, 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, N_Q
519021301118110, CLORIDRATO DE AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 25 MG COM CT BL AL PLAS INC X 20, N_Q
519021403115110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, N_Q
519021401112114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500MG COM REVES CT BL AL PLAS INC X 6, N_Q
519027601156114, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML (EMB HOSP) , N_Q
519027602152112, CLORIDRATO DE DOBUTAMINA, CLORIDRATO DOBUTAMINA, CLORIDRATO DOBUTAMINA, 12.5 MG/ML SOL INJ CX 50 AMP VD INC X 20 ML (EMB HOSP), N_Q
519027701150118, CLORIDRATO DE DOPAMINA, CLORIDRATO DOPAMINA, CLORIDRATO DOPAMINA, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), N_Q
519006404157115, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP), N_Q
519006403150117, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP), N_Q
519006401158110, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 300MG (CX C/1 AMP C/ 1ML), N_Q
519006402154119, CLORIDRATO DE LINCOMICINA, CLORIDRATO LINCOMICINA, CLORIDRATO LINCOMICINA, INJ 600MG (CX C/1 AMP C/2ML), N_Q
519026101176118, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CT FR PLAS INC GOT X 30 ML, N_Q
519002801119111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT 2 BL AL PLAS INC X 15, N_Q
519002803111116, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 80 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519029001164112, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10MG/G CREM DERM CT BG AL X 20G, N_Q
519027801139116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 100MG/ML SOL OR CT FR PLAS AMB GOT X 10ML, N_Q
519021501168111, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20, N_Q
519020401119412, CODERGINE, CODERGINE, NOT FOUND, 6 MG CAP GEL DURA CT BL AL PLAS X 14, N_Q
519021903118410, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525, N_Q
519021902111412, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG + 0.030 MG DRG CT BL AL PLAS INC X 525 (EMB HOSP), N_Q
519021901115414, CONCEPNOR, CONCEPNOR, NOT FOUND, 0.15 MG+0.030 MG DRG CT BL AL PLAS INC X 21, N_Q
519020501156417, CONSTRICTION, CONSTRICTION, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML, N_Q
519002904112411, CORTICORTEN, CORTICORTEN, NOT FOUND, 20 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002901113415, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, N_Q
519002903116411, CORTICORTEN, CORTICORTEN, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 500 ( EMB HOSP), N_Q
519002902111416, CORTICORTEN, CORTICORTEN, NOT FOUND, CP 20MG (CX C/2 BL C/10), N_Q
519003001175412, CROMOCATO, CROMOCATO, NOT FOUND, SOL NASAL 40MG (FRPL C/ 13ML), N_Q
519025801174111, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ ML SOL NAS CT FR PLAS OPC SPR X 13 ML + APLIC, N_Q
519025802170118, CROMOGLICATO DISSODICO, CROMOGLICATO DISSODICO, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, N_Q
519001601175417, CALAMYN, CALAMYN, NOT FOUND, LOCAO CREMOSA (FR C/120ML), N_Q
519001704111111, CAPOTRIL, CAPOTRIL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, N_Q
519001701110414, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 12.5MG (CX C/1 BL C/30), N_Q
519001702117412, CAPOTRIL, CAPOTRIL, NOT FOUND, CP 25MG (CX C/1 BL C/16), N_Q
