502302402150311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML + 9.1 MCG/ML SOL INJ CX 6 FA VD INC X 20ML 0.5% COM EPINEFRINA, AZN
502302403157311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML SOL INJ CX 6 FA VD INC X 20 ML 0.5% SEM VASOCONSTRITOR, AZN
502302503151313, MERONEM IV, MERONEM IV, NOT FOUND, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302501159317, MERONEM IV, MERONEM IV, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC, AZN
502302504158311, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302502155315, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT X 10 FA VD INC, AZN
502302402150311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML + 9.1 MCG/ML SOL INJ CX 6 FA VD INC X 20ML 0.5% COM EPINEFRINA, AZN
502302403157311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML SOL INJ CX 6 FA VD INC X 20 ML 0.5% SEM VASOCONSTRITOR, AZN
502302503151313, MERONEM IV, MERONEM IV, NOT FOUND, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302501159317, MERONEM IV, MERONEM IV, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC, AZN
502302504158311, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302502155315, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT X 10 FA VD INC, AZN
502302402150311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML + 9.1 MCG/ML SOL INJ CX 6 FA VD INC X 20ML 0.5% COM EPINEFRINA, AZN
502302403157311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML SOL INJ CX 6 FA VD INC X 20 ML 0.5% SEM VASOCONSTRITOR, AZN
502302503151313, MERONEM IV, MERONEM IV, NOT FOUND, 1 G PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302501159317, MERONEM IV, MERONEM IV, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC, AZN
502302504158311, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML, AZN
502302502155315, MERONEM IV, MERONEM IV, NOT FOUND, 500 MG PO INJ CT X 10 FA VD INC, AZN
502302403157311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML SOL INJ CX 6 FA VD INC X 20 ML, AZN
502302402150311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML + 9.1 MCG/ML SOL INJ CX 6 FA VD INC X 20 ML, AZN
502302501159317, MERONEM, MERONEM, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC, AZN
502302503151313, MERONEM, MERONEM, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML (EMB HOSP), AZN
502302504158311, MERONEM, MERONEM, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML (EMB HOSP), AZN
502302502155315, MERONEM, MERONEM, NOT FOUND, 500 MG PO INJ CT X 10 FA VD INC, AZN
502302403157311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML SOL INJ CX 6 FA VD INC X 20 ML, AZN
502302402150311, MARCAÍNA, MARCAINA, NOT FOUND, 5 MG/ML + 9.1 MCG/ML SOL INJ CX 6 FA VD INC X 20 ML, AZN
502302501159317, MERONEM, MERONEM, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC, AZN
502302503151313, MERONEM, MERONEM, NOT FOUND, 1000 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML (EMB HOSP), AZN
502302504158311, MERONEM, MERONEM, NOT FOUND, 500 MG PO INJ CT 10 FA VD INC + 10 BOLS PLAS FLEX X 100 ML (EMB HOSP), AZN
502302502155315, MERONEM, MERONEM, NOT FOUND, 500 MG PO INJ CT X 10 FA VD INC, AZN
