525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525905701116415, CECOFENE, CECOFENE, NOT FOUND, 100 MG COM REV CT BL AL/AL X 12, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525905901115110, cloridrato de ciprofloxacino, CLORIDRATO DE CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14 , MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS X 10, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25MG BLISTER COM 30 COMP, MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT 3 BL AL PLAS X 10, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525905701116415, CECOFENE, CECOFENE, NOT FOUND, 100 MG COM REV CT BL AL/AL X 12, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200MG BLISTER C/ 40CPRS, MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400MG BLISTER C/ 20CPRS, MB9
525905901115110, cloridrato de ciprofloxacino, CLORIDRATO DE CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14 , MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, BISNAGA 10GR, MB9
525905701116415, CECOFENE, CECOFENE, NOT FOUND, 100 MG COM REV CT BL AL/AL X 12, MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G  , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT BL AL PLAS X 30 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 30, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT BL AL PLAS X 30, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525903902114413, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200 MG BLISTER C/ 40CPRS, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400 MG BLISTER C/ 20CPRS, MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525905901115110, cloridrato de ciprofloxacino, CLORIDRATO DE CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14 , MB9
525906001118413, CICLATRY, CICLATRY, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 14, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
525905701116415, CECOFENE, CECOFENE, NOT FOUND, 100 MG COM REV CT BL AL/AL X 12, MB9
525900601164417, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G  , MB9
525900602160415, CORTITOP, CORTITOP, NOT FOUND, 1.0 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP) , MB9
525900304119417, CAPTOLAB, CAPTOLAB, NOT FOUND, 12.5 MG COM CT BL AL PLAS X 30 , MB9
525900302116410, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 30, MB9
525900307118411, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 60, MB9
525900306111413, CAPTOLAB, CAPTOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS X 750 , MB9
525900305115415, CAPTOLAB, CAPTOLAB, NOT FOUND, 50 MG COM CT BL AL PLAS X 30, MB9
525903901118415, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525903902114413, CEFAGEL, CEFAGEL, NOT FOUND, 500 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10, MB9
525900403117412, CETOCONALAB, CETOCONALAB, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MB9
525900401165411, CETOCONALAB, CETOCONALAB, NOT FOUND, BATAO C/ 30G CREME, MB9
525900402171413, CETOCONALAB, CETOCONALAB, NOT FOUND, FRASCO 100ML XAMPOO, MB9
525900501119411, CIMETILAB, CIMETILAB, NOT FOUND, 200 MG BLISTER C/ 40CPRS, MB9
525904601118116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40 , MB9
525900502115418, CIMETILAB, CIMETILAB, NOT FOUND, 400 MG BLISTER C/ 20CPRS, MB9
525904602114114, CIMETIDINA, CIMETIDINA, CIMETIDINA, 400 MG COM REV CT BL AL PLAS INC X 20 , MB9
525905901115110, cloridrato de ciprofloxacino, CLORIDRATO DE CIPROFLOXACINO, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14 , MB9
525906001118413, CICLATRY, CICLATRY, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 14, MB9
525903601114414, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT 4 BL AL PLAS X 10, MB9
525903803116418, CARDIX, CARDIX, NOT FOUND, 40 MG COM CT BL AL PLAS X 1000, MB9
525903801113411, CARDIX, CARDIX, NOT FOUND, 80 MG COM CT 2 BL AL PLAS X 10, MB9
525904701163113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G , MB9
525904702161114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC , MB9
