73676; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; LG6;5,08026E+14; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INCX 30; EUF
61100; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; MD7;5,29905E+14; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; RBY
63614; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; BF8;5,06905E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
63983; ALBENDAZOL; ALBENDAZOL; CPR MASC 400 MG x 1; E3S;5,285E+14; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1; PZ8
67807; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 75 MG x 20; E3S;5,26121E+14; CLORIDRATO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20; GM2
71282; PARACETAMOL; PARACETAMOL; SUSP ORAL 32 MG 60 ML x 1 (/ML); GM2;5,2501E+14; PARACETAMOL; PARACETAMOL; 32MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED; MD7
60013; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; LR3;5,25001E+14; AMOXICILINA; AMOXICILINA; 500MG CAPS GELAT DURA CT 3 BL AL PLAST INC X 7; MD7
63657; HEMOBLOCK; NOT FOUND; CPR 250 MG x 24; E3S;5,26106E+14; HEMOBLOCK; NOT FOUND; 250 MG COM CT STR X 24; GM2
66678; ATENOLOL; ATENOLOL; CPR 25 MG x 30; GM2;5,38808E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS OPC X 30; LG6
63850; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ;5,25012E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REVEST CT 3 BL AL PLAS INC X 10; MD7
68161; BETAMETASONA; BETAMETASONA; CPR 0.50 MG x 20; LG6;5,31605E+14; BETAMETASONA; BETAMETASONA; 0.5MG COM CT BL AL PLAS BCO LEIT X 20; NO_ACR
56377; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; MD7;5,00104E+14; CAPTOPRIL; CAPTOPRIL; 25MG COM CT BL AL PLAS INC X 30; AOB
56677; AZI; NOT FOUND; CPR 500 MG x 3; E3S;5,11516E+14; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 3; SDZ
63691; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S;5,26119E+14; ATENOLOL CLORTALIDONA; NOT FOUND; 50/12.5 MG C/30COMP; GM2
76647; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; GM2;5,00513E+14; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30; A4H
68767; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; GM2;5,26114E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; GM2
79622; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 7; MD7;5,25069E+14; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 7; MD7
58377; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MD7;5,11503E+14; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT 2 BL AL/AL X 10; SDZ
66739; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 7; GM2;5,07727E+14; LANSOPRAZOL; LANSOPRAZOL; 30MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7; E3S
71447; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 20; E3S;5,26117E+14; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; GM2
75582; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; N_Q;5,07724E+14; TENOXICAM; TENOXICAM; 20MG 1 BL X 10 COMP-LG; E3S
64447; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; E3S;5,26114E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG 3BLT C/10COMP; GM2
73834; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; E3S;5,21109E+14; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
56576; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); E3S;5,26125E+14; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
70871; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; LG6;5,19023E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20MG COM CT ENV AL X 30; N_Q
74944; CLOR PAROXETINA; CLORIDRATO PAROXETINA HEMI-HIDRATADO; CPR REVEST 20 MG x 30; MD7;5,08708E+14; CLORIDRATO PAROXETINA; CLORIDRATO PAROXETINA HEMI-HIDRATADO; 20 MG COM REV CT FR PLAS OPC X 30; FAS
77281; PRAZY; NOT FOUND; CPR REVEST 40 MG x 28; E3S;5,07743E+14; PRAZY; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; E3S
66551; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); E3S;5,02405E+14; PROPINATO CLOBETASOL; NOT FOUND; 0.5 MG/G POM DERM CT BG AL X 30 G; NO_ACR
79561; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 30; E3S;5,07744E+14; VALSARTANA; VALSARTANA; 160 MG COM REV CT BL AL AL X 30; E3S
45295; QUADRIDERM; NOT FOUND; POM. 20 G x 1; MQF;5,12404E+14; QUADRIDERM; NOT FOUND; CREME BG C/ 20 G; MQF
57761; MEBENDAZOL SUSP; NOT FOUND; SUSP 20 MG 30 ML x 1 (/ML); E3S;5,06314E+14; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS ORAL CT FR VD AMB X 30 ML; CF2
64555; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; E3S;5,07726E+14; ACETO TRIA SULF NEO GRAM NIST; NOT FOUND; CR BISN X 30G; E3S
69602; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 100 MG x 14; E3S;5,07734E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS LEIT X 14; E3S
62534; CLO; NOT FOUND; CPR REVEST 10 MG x 20; E3S;5,11611E+14; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CT BG AL X 20 G; HPO
77063; DIPROSONE; NOT FOUND; CREME 0.64 MG 10 G x 1 (/G); MQF;5,12402E+14; DIPROSONE; NOT FOUND; 0.64 MG/G POM DERM CT BG AL X 10 G   ; MQF
66094; BEZAFIBRATO; BEZAFIBRATO; CPR REVEST 200 MG x 20; GM2;5,38808E+14; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS LEIT X 20; LG6
69848; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/ML); GM2;5,409E+14; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML+CP MED; NO_ACR
59047; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; MD7;5,00103E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS INC X 30; AOB
68264; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; LG6;5,01505E+14; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; ATX
75942; HIDROQUINONA; HIDROQUINONA; GEL DERMAT. 40 MG 30 G x 1 (/G); LG6;5,388E+14; HIDROQUINONA; HIDROQUINONA; 40 MG/G GEL CT BG AL X 30; LG6
64432; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; BF8;5,31621E+14; MALENA; NOT FOUND; 20 MG COM CT BL AL/AL X 30; NO_ACR
80681; FUM QUETIAPINA; NOT FOUND; CPR REVEST 25 MG x 30; GM2;5,26136E+14; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; GM2
71641; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CREME 10 MG 20 G x 1 (/G); LG6;5,38802E+14; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
58253; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 0.20 MG 120 ML x 1 (/ML); MD7;5,06408E+14; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML; CM5
76778; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 250 MG x 14; LG6;5,001E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 250 MG COM REVES CT 2 BL AL PLAS INC X 7; AOB
62740; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; BF8;5,28529E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; PZ8
78307; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; GM2;5,29906E+14; SINVASTATINA; SINVASTATINA; 10 MG COM CT BL AL PLAS INC X 30; RBY
69305; ALBENDAZOL; ALBENDAZOL; CPR MASC 200 MG x 2; GM2;5,26118E+14; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS LEIT X 2; GM2
76245; CLO SIBUTRAMINA; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CAPS 10 MG x 30; E3S;5,08024E+14; CLORIDRATO SIBUTRAMINA MONOHIDRATADO; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
63613; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; BF8;5,07731E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG 3 BLT C/ 10 COMP; E3S
58872; MELOXICAM; MELOXICAM; CPR 15 MG x 10; MD7;5,28528E+14; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; PZ8
61767; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CPR REVEST 100 MG x 10; E3S;5,25305E+14; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 100 MG/ML SOL OR CT FR VD AMB CGT X 10 ML; NO_ACR
62475; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; N_Q;5,371E+14; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100 (EMB FRAC); NO_ACR
64077; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; N_Q;5,046E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BF8
63249; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; MD7;5,00101E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; AOB
67223; DESONIDA; DESONIDA; LOC. 0.50 MG 60 G x 1 (/G); MD7;5,07727E+14; DESONIDA; DESONIDA; 0.5 MG LOC CREM CT FR PLAS OPC X 60 G; E3S
53811; FLOXATRAT; NOT FOUND; CPR 400 MG x 14; LR3;5,24304E+14; FLOXATRAT; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 14; LR3
55559; QUADRILON; NOT FOUND; POM. 15 G x 1; N_Q;5,19015E+14; QUADRILON; NOT FOUND; POM (BISN AL C/15GR); N_Q
76789; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); LG6;5,21125E+14; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; NO_ACR
57021; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; E3S;5,25001E+14; BROMAZEPAM; BROMAZEPAM; 6MG C/ 20 COMPR; MD7
76788; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 10; GM2;5,0641E+14; IBUPROFENO; IBUPROFENO; 400 MG COM REV CT BL AL PLAS INC X 10 ; CM5
68218; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); LG6;5,26119E+14; DICLOFENACO RESINATO; NOT FOUND; 15MG/ML SUS OR CT FR PLAS OPC GOT X 20ML; GM2
69369; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; GM2;5,29905E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; RBY
58238; DUCTOPRIL; NOT FOUND; CPR 25 MG x 16; N_Q;5,16704E+14; DUCTOPRIL; NOT FOUND; COMP 25MG (CX C/01 BL C/16); NO_ACR
66693; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; GOTAS 20 MG 20 ML x 1 (/ML); GM2;5,07714E+14; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR PLAS TRANS GOT X 20 ML; E3S
64432; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; BF8;5,25303E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; NO_ACR
77154; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; E3S;5,26132E+14; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; GM2
61788; OSTEOFORM; NOT FOUND; CPR 70 MG x 4; E3S;5,26109E+14; OSTEOFORM; NOT FOUND; 70 MG 1 BL X 4 COMP; GM2
75739; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; N_Q;5,25419E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
77136; GLAMIGAN; NOT FOUND; SOLN OFTAL 0.30 MG 3 ML x 1 (/ML); LG6;5,26133E+14; GLAMIGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; GM2
68306; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; E3S;5,31618E+14; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL PLAS LEIT X 60; NO_ACR
76497; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; GM2;5,001E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REVES CT 2 BL AL PLAS INC X 7; AOB
62752; PREDNISONA; PREDNISONA; CPR 20 MG x 10; BF8;5,38809E+14; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS LEIT X 10; LG6
63660; OMEPRAZOL; OMEPRAZOL; CAPS GELATIN 20 MG x 7; E3S;5,25418E+14; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT BL AL/AL X 7; NO_ACR
67097; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; E3S;5,26114E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; GM2
80433; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; GM2;5,25418E+14; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
68206; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; LG6;5,04613E+14; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; BF8
59104; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; E3S;5,27905E+14; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); P7B
56380; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; MD7;5,29901E+14; CAPTOPRIL; CAPTOPRIL; 50.0 MG COM CT BL AL PLAS INC X 30; RBY
73800; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; BF8;5,01504E+14; ACICLOVIR; ACICLOVIR; 200 MG COM CT FR PLAS OPC X 25; ATX
58166; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; GM2;5,253E+14; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
58331; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; MD7;5,25004E+14; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT C/ 2 BL AL PLAS INC X 14 (GEN); MD7
76161; OXIMAX; NOT FOUND; CAP INAL REF 200 Y x 30; MQF;5,12403E+14; OXIMAX; NOT FOUND; 200MCG C/INALADOR X 30 CAPS; MQF
63654; DIMETICONA; DIMETICONA; CPR 40 MG x 20; E3S;5,06314E+14; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; CF2
66725; ESPIRONOLACTONA; ESPIRONOLACTONA; CPR 100 MG x 15; GM2;5,07713E+14; ESPIRONOLACTONA; ESPIRONOLACTONA; 100MG 1 BL X 15 COMP; E3S
56380; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; MD7;5,19024E+14; CAPTOPRIL; CAPTOPRIL; 50 MG COM CX BL AL PLAS INC X 30; N_Q
68307; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; E3S;5,31618E+14; TOPIRAMATO; TOPIRAMATO; 50 MG COM REV CT BL AL PLAS LEIT X 60; NO_ACR
57202; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; E3S;5,07724E+14; TENOXICAM; TENOXICAM; 20 MG COM REV CT BL AL PLAS INC X 10; E3S
59638; TRIATEC; NOT FOUND; CPR 5 MG x 15; S_A;5,02813E+14; TRIATEC; NOT FOUND; 5.0 MG COM CT BL AL/AL X 15; NO_ACR
66093; BETAMETASONA; BETAMETASONA; GOTAS 0.50 MG 15 ML x 1 (/ML); GM2;5,31605E+14; BETAMETASONA; BETAMETASONA; 0.5MG/ML SOL OR CT FR VD AMB X 15ML; NO_ACR
70869; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; LG6;5,11504E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; SDZ
70397; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; E3S;5,00514E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; A4H
71453; CODERGINE; NOT FOUND; CAPS 6 MG x 14; N_Q;5,1902E+14; CODERGINE; NOT FOUND; 6 MG CAP GEL DURA CT BL AL PLAS X 14; N_Q
71375; GABAPENTINA; GABAPENTINA; CAPS 400 MG x 30; GM2;5,01504E+14; GABAPENTINA; GABAPENTINA; CAPS 400 MG FR X 30; ATX
63155; CETORO TROMETAM; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); E3S;5,3161E+14; CETOROLACO TROMETAMINA; NOT FOUND; 5 MG/ML SOL OFT ESTERIL CT FR PLAST OPC GOT X 5 ML; NO_ACR
76395; ATENEUM; NOT FOUND; CPR 100 MG x 30; N_Q;5,1903E+14; ATENEUM; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; N_Q
61925; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 40 MG x 28; MD7;5,26115E+14; PANTOPRAZOL; PANTOPRAZOL; 40MG COM REVES CT BL AL PLAS BCO LEIT X 28; GM2
58907; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; E3S;5,11516E+14; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 3; SDZ
57701; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; E3S;5,07706E+14; CLARITROMICINA; CLARITROMICINA; 500 MG 1 BL X 10 COMP; E3S
11; AAS; NOT FOUND; CPR 100 MG x 200 (INF); S_A;5,02822E+14; AAS INFANTIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 200 (EMB MULT); NO_ACR
76492; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; LG6;5,38801E+14; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; LG6
64463; RIFAMICINA; RIFAMICINA; SPRAY 10 MG 20 ML x 1 (/ML); E3S;5,26114E+14; RIFAMICINA; RIFAMICINA; 10MG/ML SOL TOP SPRAY CT FR VD AMB X 20ML; GM2
56559; CETOCONAZOL; CETOCONAZOL; CREME 30 G x 1 (/G); E3S;5,07706E+14; CETOCONAZOL; CETOCONAZOL; CREME BISN C/ 30G; E3S
73469; DIELOFT; NOT FOUND; CPR REVEST 100 MG x 20; MD7;5,25069E+14; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; MD7
59102; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 28; SDZ;5,25304E+14; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 28; NO_ACR
58459; VALER BETAMETA; VALERATO BETAMETASONA; CREME 30 G x 1; MD7;5,08013E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; CT BISN AL 30G POMADA; EUF
61512; LANZ; NOT FOUND; CAPS 30 MG x 14; E3S;5,00505E+14; LANZOL; NOT FOUND; 30 MG CAP GEL LIB RETARD CT FR PLAS OPC X 14; A4H
58103; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; E3S;5,27905E+14; CETOCONAZOL; CETOCONAZOL; 200MG COM CT BL AL PLAS INCX 30; P7B
73717; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; SDZ;5,25001E+14; BROMAZEPAM; BROMAZEPAM; 6 MG C/ 20 COMPR; MD7
69157; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 50 MG 100 ML x 1 (/ML); LG6;5,25106E+14; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; MDQ
64441; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; E3S;5,26118E+14; ALPRAZOLAM B1; NOT FOUND; 0.5 MG 2BLT C/ 10COMP; GM2
52872; EMIDRAT; NOT FOUND; SOLN GUARANA 500 ML x 1; E3S;5,07712E+14; EMIDRAT; NOT FOUND; SOL SABOR CEREJA FR C/500ML; E3S
