1134300690092; CARDIORON; CARDIORON; NOT FOUND; INJ.CX100 AMPX3ML; HPO
1134300770096; CIPROFLOXAN; CIPROFLOXAN; NOT FOUND; INJ. CX1 FR PLASTICOX100ML; HPO
1134300770037; CIPROFLOXAN; CIPROFLOXAN; NOT FOUND;  500MGCART.C/14 CPR; HPO
1134301510012; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 25 AMP VD AMB X 5 ML (EMB HOSP); HPO
1134301510020; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301510047; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP); HPO
1134300630030; CLINDAMICIL; CLINDAMICIL; NOT FOUND; 300MG CX50AMPX2ML; HPO
1134300630045; CLINDAMICIL; CLINDAMICIL; NOT FOUND; 600MGC/100AMPX4ML; HPO
1134300620035; CLINDAMICIL; CLINDAMICIL; NOT FOUND; 300 MG  CAP GEL DURA CX 2 BL AL PLAS INC X 8; HPO
1134300620043; CLINDAMICIL; CLINDAMICIL; NOT FOUND; 300 MG CAP GEL DURA CX 10 BL AL PLAS INC X 10 (EMB HOSP); HPO
1134301660014; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; HPO
1134301660022; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); HPO
1134300090095; CLOFAN; CLOFAN; NOT FOUND; 60 MG / ML XPE CT 50 FR VD AMB X 150 ML; HPO
1134300090087; CLOFAN; CLOFAN; NOT FOUND; 60 MG / ML XPE CT 50 FR VD AMB X 100 ML; HPO
1134300470025; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% CX C/100 AMPX10ML; HPO
1134300470041; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 10% CX C/100 AMPX10ML; HPO
1134301230087; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); HPO
1134301230125; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); HPO
1134301230095; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED; HPO
1134301230052; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; HPO
1134301230044; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); HPO
1134301230036; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP); HPO
1134301230028; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; HPO
1134301230117; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 CP MED(EMB HOSP); HPO
1134301230060; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; HPO
1134301230109; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; HPO
1134301230133; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; HPO
1134301230141; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; HPO
1134301230151; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); HPO
1134301230079; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); HPO
1134301230011; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS AMB X 100 ML + CP MED; HPO
1134301230168; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); HPO
1134301220030; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 50 MG/ML SOL INJ IV CX 100 EST AMP VD AMB X 3 ML (EMB HOSP); HPO
1134301220022; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 50 MG/ML SOL INJ IV CX 100 AMP VD AMB X 3 ML (EMB HOSP); HPO
1134301680023; CLORIDRATO DE BUPIVACAÍNA + GLICOSE; CLORIDRATO BUPIVACAINA GLICOSE; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ IV CX 50 AMP VD INC X 4 ML (EMB HOSP); HPO
1134301680015; CLORIDRATO DE BUPIVACAÍNA + GLICOSE; CLORIDRATO BUPIVACAINA GLICOSE; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ IV CX 100 AMP VD INC X 4 ML (EMB HOSP); HPO
1134301170025; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ML SOL INJ CX 10 AMP VD INC X 20 ML(EMB HOSP); HPO
1134301160021; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML(EMB HOSP)  ; HPO
1134301690029; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; HPO
1134301690037; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; HPO
1134301690053; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); HPO
1134301690010; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 7; HPO
1134301690045; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 70 (EMB HOSP); HPO
1134301020023; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP); HPO
1134301020015; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/G SOL INJ CX 25 FA VD INC X 20ML; HPO
1134301120028; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/G GEL TOP CT BG AL X 30G; HPO
1134301120011; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/G GEL TOP CX 100 BG AL X 30G (EMB HOSP) ; HPO
1134301600011; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1000 MG COM CX BL AL PLAS X 500 (EMB HOSP); HPO
1134301600021; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1000 MG COM CT BL AL PLAS X 30; HPO
1134301490011; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP) ; HPO
1134301280033; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134301280025; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
1134301280017; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; HPO
1134301770022; CLORIDRATO DE NALOXONA; CLORIDRATO NALOXONA; CLORIDRATO NALOXONA; 0.4 MG/ ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP); HPO
1134301770014; CLORIDRATO DE NALOXONA; CLORIDRATO NALOXONA; CLORIDRATO NALOXONA; 0.4 MG/ ML SOL INJ CX 10 AMP VD AMB X 1 ML (EMB HOSP) ; HPO
1134301570015; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; HPO
1134301570031; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; HPO
1134301570023; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); HPO
1134301270011; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ IV CT 5 AMP VD INC X 2 ML; HPO
1134301270021; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ IV CT 5 AMP VD INC X 4 ML; HPO
1134301270038; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ IV CX 100 AMP VD INC X 2 ML (EMB HOSP); HPO
1134301270046; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ IV CX 100 AMP VD INC X 4 ML (EMB HOSP); HPO
1134301400012; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML ; HPO
1134301400020; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HPO
1134301500017; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CT BG AL X 20 G ; HPO
1134301500025; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CX 50 BG AL X 20 G (EMB HOSP); HPO
1134301500033; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM CX 100 BG AL X 20 G (EMB HOSP); HPO
1134301700024; CLORIDRATO DE TIAMINA; CLORIDRATO TIAMINA; CLORIDRATO TIAMINA; 300 MG COM REV CT BL AL PLAS AMB X 500; HPO
1134301700016; CLORIDRATO DE TIAMINA; CLORIDRATO TIAMINA; CLORIDRATO TIAMINA; 300 MG COM REV CT BL AL PLAS AMB X 30; HPO
1134301560036; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); HPO
1134301560044; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); HPO
1134301560028; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; HPO
1134301560011; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; HPO
1134301740018; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS AMB X 10; HPO
1134301740026; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CX BL AL PLAS AMB X 100 (EMB HOSP); HPO
1134301740034; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CX BL AL PLAS AMB X 500 (EMB HOSP); HPO
1134301450011; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; HPO
1134301450028; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CX 100 BG AL X 35 G + 600 APLIC (EMB HOSP); HPO
1134301450036; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CX 50 BG AL X 35 G + 300 APLIC (EMB HOSP); HPO
