505208001118416, TANDENE, TANDENE, NOT FOUND, CX 30 COMP, BNK
505209901163416, TECOMAX, TECOMAX, NOT FOUND, 8.0 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, BNK
505208101112411, TETRACINA, TETRACINA, NOT FOUND, 500 MG CAP GEL DURA CT 25 STR X 4 (EMB FRAC), BNK
505208201168417, TIADOL, TIADOL, NOT FOUND, POMADA TB 20 G, BNK
505208202172418, TIADOL, TIADOL, NOT FOUND, SABONETE 65 G, BNK
505208301138412, TOSSILERG, TOSSILERG, NOT FOUND, FR 100 ML, BNK
505208401167414, TRICOLPEX, TRICOLPEX, NOT FOUND, TB 40 G, BNK
505208301138412, TOSSILERG, TOSSILERG, NOT FOUND, FR 100 ML, BNK
505208101112411, TETRACINA, TETRACINA, NOT FOUND, 500 MG CAP GEL DURA CT 25 STR X 4 (EMB FRAC), BNK
505208401167414, TRICOLPEX, TRICOLPEX, NOT FOUND, TB 40 G, BNK
505208001118416, TANDENE, TANDENE, NOT FOUND, CX 30 COMP, BNK
505209901163416, TECOMAX, TECOMAX, NOT FOUND, 8.0 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, BNK
505208201168417, TIADOL, TIADOL, NOT FOUND, POMADA TB 20 G, BNK
505208202172418, TIADOL, TIADOL, NOT FOUND, SABONETE 65 G, BNK
505208301138412, TOSSILERG, TOSSILERG, NOT FOUND, FR 100 ML, BNK
505208101112411, TETRACINA, TETRACINA, NOT FOUND, 500 MG CAP GEL DURA CT 25 STR X 4 (EMB FRAC), BNK
505208401167414, TRICOLPEX, TRICOLPEX, NOT FOUND, TB 40 G, BNK
505208001118416, TANDENE, TANDENE, NOT FOUND, CX 30 COMP, BNK
505209901163416, TECOMAX, TECOMAX, NOT FOUND, 8.0 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, BNK
505208201168417, TIADOL, TIADOL, NOT FOUND, POMADA TB 20 G, BNK
505208202172418, TIADOL, TIADOL, NOT FOUND, SABONETE 65 G, BNK
