505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, CX 12 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505206901170418, PÓ ANTISSÉPTICO BUNKER, PO ANTISSEPTICO BUNKER, NOT FOUND, FR 60 G, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, CX 10 COMP, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, CX 12 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505206901170418, PÓ ANTISSÉPTICO BUNKER, PO ANTISSEPTICO BUNKER, NOT FOUND, FR 60 G, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, CX 10 COMP, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, CX 12 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505206901170418, PÓ ANTISSÉPTICO BUNKER, PO ANTISSEPTICO BUNKER, NOT FOUND, FR 60 G, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, CX 10 COMP, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, CX 12 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505206901170418, PÓ ANTISSÉPTICO BUNKER, PO ANTISSEPTICO BUNKER, NOT FOUND, FR 60 G, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, CX 10 COMP, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, CX 12 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505206901170418, PÓ ANTISSÉPTICO BUNKER, PO ANTISSEPTICO BUNKER, NOT FOUND, FR 60 G, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, 10 MG COM CT STR X 12, BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 10, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
505206801117418, PLAMIVON, PLAMIVON, NOT FOUND, 10 MG COM CT STR X 12, BNK
505206802113416, PLAMIVON, PLAMIVON, NOT FOUND, CX 100 COMP, BNK
505206803136411, PLAMIVON, PLAMIVON, NOT FOUND, FR 10 ML GOTAS, BNK
505207001114412, PROPACOR, PROPACOR, NOT FOUND, CLOR.40 MG CX 20 COMP, BNK
505207002110410, PROPACOR, PROPACOR, NOT FOUND, CLOR.80 MG CX 20 COMP, BNK
505209401111115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 20 COMP(BL 2 X 10), BNK
505209402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG CX 200 COMP(BL 50 X 4), BNK
505206601118410, PENTRAL, PENTRAL, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 10, BNK
505206702178419, PIODREX, PIODREX, NOT FOUND, FR 60 ML PERMETRINA 1%, BNK
505206701171410, PIODREX, PIODREX, NOT FOUND, LOCAO FR.60 ML (PERMETRINA 5%), BNK
505206703174417, PIODREX, PIODREX, NOT FOUND, SABONETE 100 GR ( PERMETRINA 1%), BNK
